"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","Actual","Projection_reg","Projection_reg_split","ValueWR","Ownership.Pctg.Pred"
"RB","David Johnson (7941961)","David Johnson",7941961,10100,"NO@Ari 04:05PM ET","Ari","David","Johnson","NO",25.68,22.6,2,0.194192377495463,0,23.1469825864627,23.9564652447547,0,19.0588139518659
"RB","Le'Veon Bell (7941994)","Le'Veon Bell",7941994,9800,"Pit@Cin 01:00PM ET","Pit","Le'Veon","Bell","Cin",26.44,29.4,2,0.166332665330661,0,27.0291969751518,27.9728504109917,0,23.5302471913097
"RB","LeSean McCoy (7941911)","LeSean McCoy",7941911,8900,"Cle@Buf 01:00PM ET","Buf","LeSean","McCoy","Cle",20.4,22.1,4,0.130208333333333,0,20.5501622802106,21.2677512072793,0,22.9538235884785
"WR","Antonio Brown (7942140)","Antonio Brown",7942140,8400,"Pit@Cin 01:00PM ET","Pit","Antonio","Brown","Cin",20.66,21.3,1,0.288577154308617,0,20.2480252348132,20.9553157703704,0,7.65641639321563
"WR","Mike Evans (7942019)","Mike Evans",7942019,8300,"TB@Dal 08:30PM ET","TB","Mike","Evans","Dal",20.21,20.4,1,0.314465408805031,0,19.5796086830384,20.2636549157201,0,10.3626312859217
"RB","Ezekiel Elliott (7941896)","Ezekiel Elliott",7941896,8200,"TB@Dal 08:30PM ET","Dal","Ezekiel","Elliott","TB",19.68,20.2,5,0.0888888888888889,0,19.2408220802168,19.9129511232458,0,14.8715580561705
"WR","Julio Jones (7942105)","Julio Jones",7942105,8100,"SF@Atl 04:05PM ET","Atl","Julio","Jones","SF",19.75,20.5,1,0.253863134657837,0,19.428232324672,20.1068533218663,0,NA
"WR","Odell Beckham Jr. (7942076)","Odell Beckham",7942076,8000,"Det@NYG 01:00PM ET","NYG","Odell","Beckham","Det",20.98,19,1,0.292338709677419,0,19.1902377402547,19.8612078657896,0,NA
"WR","A.J. Green (7942141)","A.J. Green",7942141,7400,"Pit@Cin 01:00PM ET","Cin","A.J.","Green","Pit",18.05,20.3,1,0.227368421052632,0,18.5717898571066,19.2201225177968,0,NA
"WR","Jordy Nelson (7941998)","Jordy Nelson",7941998,7300,"GB@Chi 01:00PM ET","GB","Jordy","Nelson","Chi",18.74,17.1,1,0.252390057361377,0,17.2083873570039,17.8100308094273,0,14.1468124970326
"QB","Matt Ryan (7941859)","Matt Ryan",7941859,7300,"SF@Atl 04:05PM ET","Atl","Matt","Ryan","SF",21.64,21.7,0,0,0,20.8902031676535,21.6200719357228,0,NA
"WR","T.Y. Hilton (7942081)","T.Y. Hilton",7942081,7200,"Ind@Min 01:00PM ET","Ind","T.Y.","Hilton","Min",16.87,19,1,0.277327935222672,0,17.3718056000009,17.9782411840324,0,9.14071911814477
