"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Projection_reg","Projection_reg_split","RankTargets","RollingTargetPctg","ValueWR"
"RB","Devonta Freeman (8080039)","Devonta Freeman",8080039,5900,"Sea@Atl 04:35PM ET","Atl","Devonta","Freeman","Sea",13.55,14.7,13.5610993384757,13.8711697575006,3,0.122040072859745,0
"RB","LeGarrette Blount (8080024)","LeGarrette Blount",8080024,5800,"Hou@NE 08:15PM ET","NE","LeGarrette","Blount","Hou",12.72,9.1,10.056799432851,10.2183557079441,9,0.013745704467354,0
"WR","DeAndre Hopkins (8080069)","DeAndre Hopkins",8080069,5800,"Hou@NE 08:15PM ET","Hou","DeAndre","Hopkins","NE",14.35,12.8,12.7870735329934,13.0391668097873,1,0.268456375838926,0
"WR","Randall Cobb (8080104)","Randall Cobb",8080104,5700,"GB@Dal 04:40PM ET","GB","Randall","Cobb","Dal",13.23,13.4,12.6987572804997,12.9752444723843,3,0.140378548895899,0
"RB","Lamar Miller (8080028)","Lamar Miller",8080028,5600,"Hou@NE 08:15PM ET","Hou","Lamar","Miller","NE",13.71,11.1,11.5744074472123,11.7841384811962,5,0.0671140939597315,0
"WR","Tyreek Hill (8080098)","Tyreek Hill",8080098,5500,"Pit@KC 01:05PM ET","KC","Tyreek","Hill","Pit",12.3,15.6,13.5935843263017,13.937228793974,2,0.154696132596685,0
"QB","Alex Smith (8080011)","Alex Smith",8080011,5400,"Pit@KC 01:05PM ET","KC","Alex","Smith","Pit",15.73,18.8,16.7299315462146,17.1377043325696,14,0.00368324125230203,0
"RB","Ty Montgomery (8080060)","Ty Montgomery",8080060,5300,"GB@Dal 04:40PM ET","GB","Ty","Montgomery","Dal",11.34,12.4,11.4047943980622,11.6669813487906,4,0.0914826498422713,0
"RB","Spencer Ware (8080049)","Spencer Ware",8080049,5200,"Pit@KC 01:05PM ET","KC","Spencer","Ware","Pit",12.74,13.5,12.5676712201417,12.8503522116963,6,0.0791896869244936,0
"QB","Brandon Weeden (8080002)","Brandon Weeden",8080002,5000,"Hou@NE 08:15PM ET","Hou","Brandon","Weeden","NE",0,0,0,0,0,0,0
"QB","Brock Osweiler (8080003)","Brock Osweiler",8080003,5000,"Hou@NE 08:15PM ET","Hou","Brock","Osweiler","NE",15.44,13.2,13.4327899148829,13.6882599876457,15,0.00167785234899329,0
"QB","Tom Savage (8080004)","Tom Savage",8080004,5000,"Hou@NE 08:15PM ET","Hou","Tom","Savage","NE",0,0,0,0,0,0,0
"QB","Jimmy Garoppolo (8080005)","Jimmy Garoppolo",8080005,5000,"Hou@NE 08:15PM ET","NE","Jimmy","Garoppolo","Hou",0,0,0,0,15,0.00171821305841924,0
