"Yoenis Cespedes_NYM","Hunter Pence_SF","Buster Posey_SF","Evan Longoria_TB","Brandon Belt_SF","Eduardo Nunez_SF","Denard Span_SF","Jose Reyes_NYM","Joe Panik_SF","Mallex Smith_TB","Curtis Granderson_NYM","Brandon Crawford_SF","Brad Miller_TB","Steven Souza_TB","David Wright_NYM","Asdrubal Cabrera_NYM","Wilson Ramos_TB","Kevin Kiermaier_TB","Lucas Duda_NYM","Neil Walker_NYM","Jay Bruce_NYM","Michael Conforto_NYM","Colby Rasmus_TB","Corey Dickerson_TB","Jarrett Parker_SF","Logan Morrison_TB","Matt Duffy_TB","Nick Hundley_SF","Wilmer Flores_NYM","Mac Williamson_SF","Kelby Tomlinson_SF","Jake Bauers_TB","Tim Beckham_TB","Travis d'Arnaud_NYM","Brandon Nimmo_NYM","Aaron Hill_SF","Gorkys Hernandez_SF","Chris Marrero_SF","Conor Gillaspie_SF","Juan Lagares_NYM","Curt Casali_TB","Derek Norris_TB","Daniel Robertson_TB","Luke Maile_TB","Peter Bourjos_TB","Rene Rivera_NYM","Jesus Sucre_TB","Rickie Weeks_TB"
0.5,0,0,0,0,0,0,-2,0,0,-2.5,0,0,0,0,-8,0,0,-5.5,-2,6,0,0,0,0,0,0,0,-3.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,-1.5,0,0
0,25.3333333333333,0,0,48.6666666666667,-33,-16,0,-14.6666666666667,0,0,-3.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6.66666666666667,-4,-5.33333333333333,0,0,0,0,0,0,0,0,0
0,19.3333333333333,17.3333333333333,0,42.6666666666667,-18,-10,0,-19.6666666666667,0,0,-14.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,-13.3333333333333,-6,-3.33333333333333,0,0,0,0,0,0,0,0,0
0,0,0,97,0,0,0,0,0,-23.5,0,0,44,-18,0,0,0,99,0,0,0,0,0,-48.5,0,100,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,-39.5,0,0,5,0,0,0
0,0,0,0,105.333333333333,-48,-26,0,-46.3333333333333,0,0,-31.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,-26.6666666666667,-14,-8.66666666666667,0,0,0,0,0,0,0,0,0
0,0,0,0,0,63,27,0,-4.5,0,0,-28.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-60,-3,9,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,12,0,2,0,0,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20,0,4,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,8,0,0,10,0,0,0,0,32,0,0,22,8,-24,0,0,0,0,0,0,0,14,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,6,0,0
0,0,0,0,0,0,0,0,36.3333333333333,0,0,40.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24,56.6666666666667,12,0.666666666666667,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,26.3333333333333,0,0,-5.33333333333333,-0.166666666666667,0,0,0,-12,0,0,0,0,0,50.5,0,6.66666666666667,0,0,0,0,0,0,-11.1666666666667,0,0,0,0,0,0,0,0,37.6666666666667,0,0,-10,0,0,0
0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,40,0,0,27.5,10,-30,0,0,0,0,0,0,0,17.5,0,0,0,0,-2.5,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0
0,0,0,0,0,0,0,0,0,0,0,54.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28,83.3333333333333,14,-2.66666666666667,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,21.3333333333333,-9.33333333333333,0,0,0,48,0,0,0,0,0,-12,0,53.3333333333333,0,0,0,0,0,0,14.6666666666667,0,0,0,0,0,0,0,0,-10.6666666666667,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,4.33333333333333,0,0,0,-21,0,0,0,0,0,0.5,0,-25.3333333333333,0,0,0,0,0,0,-5.66666666666667,0,0,0,0,0,0,0,0,1.16666666666667,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,88,0,-96,0,0,0,0,0,0,0,56,0,0,0,0,-8,0,0,0,0,0,0,0,0,0,0,0,24,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,-27,0,120,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,-24,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.5,0,-66,0,0,0,0,0,0,0,38.5,0,0,0,0,-5.5,0,0,0,0,0,0,0,0,0,0,0,16.5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,22,8,-24,0,0,0,0,0,0,0,14,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,-42,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,-18,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,8,0,0,0,0,0,0,-22.5,0,0,0,0,0,0,0,0,72.5,0,0,-19,0,0,0
