"","X","X2017.04.02","X2017.04.03","X2017.04.04","X2017.04.05"
"1","Paul Goldschmidt_ARI",8,NA,18,11
"2","Jose Altuve_HOU",NA,NA,3,0
"3","Carlos Correa_HOU",NA,NA,2,6
"4","Josh Donaldson_TOR",NA,11,NA,3
"5","Nelson Cruz_SEA",NA,NA,0,7
"6","George Springer_HOU",NA,NA,5,27
"7","Robinson Cano_SEA",NA,NA,7,2
"8","Jean Segura_SEA",NA,NA,0,19
"9","Jose Bautista_TOR",NA,2,NA,3
"10","Freddie Freeman_ATL",NA,14,NA,2
"11","Yoenis Cespedes_NYM",NA,4,NA,5
"12","Hunter Pence_SF",5,NA,11,15
"13","Buster Posey_SF",2,NA,4,10
"14","AJ Pollock_ARI",24,NA,10,17
"15","Evan Longoria_TB",21,NA,7,2
"16","Kyle Seager_SEA",NA,NA,5,8
"17","Brandon Belt_SF",4,NA,10,24
"18","Jake Lamb_ARI",0,NA,20,7
"19","Eduardo Nunez_SF",25,NA,10,13
"20","Alex Bregman_HOU",NA,NA,0,7
"21","Denard Span_SF",6,NA,NA,NA
"22","Yasmany Tomas_ARI",0,NA,0,10
"23","Jose Reyes_NYM",NA,4,NA,0
"24","Matt Kemp_ATL",NA,5,NA,21
"25","Evan Gattis_HOU",NA,NA,2,14
"26","Joe Panik_SF",12,NA,17,5
"27","Mallex Smith_TB",3,NA,NA,10
"28","Curtis Granderson_NYM",NA,5,NA,0
"29","Carlos Beltran_HOU",NA,NA,0,6
"30","Brandon Crawford_SF",10,NA,21,7
"31","David Peralta_ARI",0,NA,0,NA
"32","Troy Tulowitzki_TOR",NA,0,NA,0
"33","Brad Miller_TB",8,NA,0,0
"34","Kendrys Morales_TOR",NA,4,NA,3
"35","Devon Travis_TOR",NA,6,NA,5
"36","Steven Souza_TB",2,NA,6,5
"37","David Wright_NYM",NA,NA,NA,NA
"38","Asdrubal Cabrera_NYM",NA,18,NA,2
"39","Ender Inciarte_ATL",NA,0,NA,4
"40","Josh Reddick_HOU",NA,NA,3,5
"41","Mitch Haniger_SEA",NA,NA,7,11
"42","Brandon Drury_ARI",3,NA,9,7
"43","Chris Owings_ARI",8,NA,5,26
"44","Wilson Ramos_TB",NA,NA,NA,NA
"45","Kevin Kiermaier_TB",21,NA,3,3
"46","Lucas Duda_NYM",NA,13,NA,2
"47","Neil Walker_NYM",NA,4,NA,0
"48","Jay Bruce_NYM",NA,10,NA,22
"49","Michael Conforto_NYM",NA,NA,NA,NA
"50","Norichika Aoki_HOU",NA,NA,NA,NA
"51","Russell Martin_TOR",NA,4,NA,2
"52","Colby Rasmus_TB",NA,NA,NA,NA
"53","Corey Dickerson_TB",5,NA,NA,19
"54","Nick Markakis_ATL",NA,0,NA,12
"55","Brian McCann_HOU",NA,NA,14,NA
"56","Danny Valencia_SEA",NA,NA,8,0
"57","Jeremy Hazelbaker_ARI",NA,NA,NA,NA
"58","Jarrett Parker_SF",0,NA,NA,0
"59","Logan Morrison_TB",24,NA,NA,8
"60","Matt Duffy_TB",NA,NA,NA,NA
"61","Brandon Phillips_ATL",NA,3,NA,5
"62","Yuli Gurriel_HOU",NA,NA,NA,NA
"63","Taylor Motter_SEA",NA,NA,NA,NA
"64","Leonys Martin_SEA",NA,NA,0,12
"65","Derek Fisher_HOU",NA,NA,NA,NA
"66","Nick Hundley_SF",NA,NA,NA,NA
"67","Chris Herrmann_ARI",NA,NA,NA,NA
"68","Steve Pearce_TOR",NA,11,NA,0
"69","Kevin Pillar_TOR",NA,7,NA,3
"70","Wilmer Flores_NYM",NA,NA,NA,NA
"71","Adonis Garcia_ATL",NA,0,NA,9
"72","Socrates Brito_ARI",NA,NA,NA,NA
"73","Mac Williamson_SF",NA,NA,NA,NA
"74","Dansby Swanson_ATL",NA,3,NA,3
"75","Marwin Gonzalez_HOU",NA,NA,14,NA
"76","Jarrod Dyson_SEA",NA,NA,5,8
"77","Kelby Tomlinson_SF",NA,NA,NA,NA
"78","Jake Bauers_TB",NA,NA,NA,NA
"79","Tim Beckham_TB",7,NA,3,0
"80","Travis d'Arnaud_NYM",NA,NA,NA,3
"81","Mike Zunino_SEA",NA,NA,3,5
"82","Ben Gamel_SEA",NA,NA,NA,NA
"83","Jarrod Saltalamacchia_TOR",NA,NA,NA,NA
"84","Justin Smoak_TOR",NA,NA,NA,10
"85","Rowdy Tellez_TOR",NA,NA,NA,NA
"86","Dalton Pompey_TOR",NA,NA,NA,NA
"87","Jace Peterson_ATL",NA,NA,NA,NA
"88","TJ Rivera_NYM",NA,NA,NA,NA
"89","Brandon Nimmo_NYM",NA,NA,NA,NA
"90","Aaron Hill_SF",NA,NA,NA,NA
"91","Gorkys Hernandez_SF",NA,NA,20,0
"92","Tyler Flowers_ATL",NA,3,NA,NA
"93","Jake Marisnick_HOU",NA,NA,NA,0
"94","Guillermo Heredia_SEA",NA,NA,NA,NA
"95","Chris Iannetta_ARI",NA,NA,NA,5
"96","Chris Marrero_SF",NA,NA,2,NA
"97","Conor Gillaspie_SF",NA,NA,NA,NA
"98","Ezequiel Carrera_TOR",NA,10,NA,NA
"99","Micah Johnson_ATL",NA,NA,NA,NA
"100","Chase d'Arnaud_ATL",NA,NA,NA,NA
"101","Juan Lagares_NYM",NA,NA,NA,NA
"102","Shawn O'Malley_SEA",NA,NA,NA,NA
"103","Daniel Descalso_ARI",NA,NA,NA,NA
"104","Curt Casali_TB",NA,NA,NA,NA
"105","Rio Ruiz_ATL",NA,NA,NA,NA
"106","Carlos Ruiz_SEA",NA,NA,NA,NA
"107","Nick Ahmed_ARI",NA,NA,NA,7
"108","Derek Norris_TB",3,NA,0,14
"109","Daniel Robertson_TB",NA,NA,0,NA
"110","Emilio Bonifacio_ATL",NA,NA,NA,NA
"111","Luke Maile_TB",NA,NA,NA,NA
"112","Darwin Barney_TOR",NA,NA,NA,NA
"113","Peter Bourjos_TB",NA,NA,2,NA
"114","Kurt Suzuki_ATL",NA,NA,NA,5
"115","Ty Kelly_NYM",NA,NA,NA,NA
"116","Rene Rivera_NYM",NA,3,NA,NA
"117","Jeff Mathis_ARI",18,NA,0,NA
"118","Jesus Sucre_TB",NA,NA,NA,NA
"119","Ryan Goins_TOR",NA,NA,NA,NA
"120","Rickie Weeks_TB",NA,NA,0,NA
"121","Anthony Recker_ATL",NA,NA,NA,NA
