"Corey Dickerson_TB","Steven Souza_TB","Logan Morrison_TB","Evan Longoria_TB","Miguel Sano_MIN","Mike Trout_LAA","Nelson Cruz_SEA","Kevin Kiermaier_TB","Brian Dozier_MIN","Robinson Cano_SEA","Jean Segura_SEA","Kyle Seager_SEA","Albert Pujols_LAA","Joe Mauer_MIN","Cameron Maybin_LAA","Tim Beckham_TB","Robbie Grossman_MIN","Andrelton Simmons_LAA","Eddie Rosario_MIN","Max Kepler_MIN","Brad Miller_TB","Colby Rasmus_TB","Mitch Haniger_SEA","Ben Gamel_SEA","Yunel Escobar_LAA","Kennys Vargas_MIN","CJ Cron_LAA","Wilson Ramos_TB","Kole Calhoun_LAA","Jarrod Dyson_SEA","Leonys Martin_SEA","Matt Duffy_TB","Guillermo Heredia_SEA","Jefry Marte_LAA","Luis Valbuena_LAA","Jason Castro_MIN","Jorge Polanco_MIN","Danny Valencia_SEA","Jake Bauers_TB","Martin Maldonado_LAA","Ben Revere_LAA","Byron Buxton_MIN","Peter Bourjos_TB","Jesus Sucre_TB","Mallex Smith_TB","Danny Espinosa_LAA","Rickie Weeks_TB","Shawn O'Malley_SEA","Derek Norris_TB","Mike Zunino_SEA","Taylor Motter_SEA","Daniel Robertson_TB","Eduardo Escobar_MIN","Carlos Ruiz_SEA","Curt Casali_TB","Boog Powell_SEA","Chris Gimenez_MIN","Tuffy Gosewisch_SEA","Shane Robinson_LAA","Nolan Fontana_LAA","Michael Martinez_TB","Eric Young_LAA","Juan Graterol_LAA","Ehire Adrianza_MIN","Carlos Perez_LAA","Shane Peterson_TB","Daniel Vogelbach_SEA","Cliff Pennington_LAA"
47,40,41,45,0,0,0,45,0,0,0,0,0,0,0,42,0,0,0,0,29,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,7,0,15,0,33,0,0,27,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0
40,47,38,45,0,0,0,45,0,0,0,0,0,0,0,43,0,0,0,0,28,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,7,0,17,0,33,0,0,29,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0
41,38,45,44,0,0,0,44,0,0,0,0,0,0,0,40,0,0,0,0,28,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,7,0,13,0,33,0,0,24,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0
45,45,44,52,0,0,0,51,0,0,0,0,0,0,0,47,0,0,0,0,31,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,7,0,21,0,37,0,0,31,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0
0,0,0,0,37,0,0,0,35,0,0,0,0,31,0,0,28,0,33,31,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,25,35,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,16,0,0,0,13,0,0,0,0,0,0,2,0,0,0,0
0,0,0,0,0,44,0,0,0,0,0,0,37,0,35,0,0,43,0,0,0,0,0,0,29,0,19,0,40,0,0,0,0,22,14,0,0,0,0,36,16,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,3,0,0,9
0,0,0,0,0,0,49,0,0,39,36,45,0,0,0,0,0,0,0,0,0,0,20,26,0,0,0,0,0,42,13,0,33,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,27,33,0,0,17,0,0,0,5,0,0,0,0,0,0,0,0,0,0
45,45,44,51,0,0,0,52,0,0,0,0,0,0,0,47,0,0,0,0,31,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,7,0,20,0,38,0,0,32,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0
0,0,0,0,35,0,0,0,39,0,0,0,0,33,0,0,29,0,35,34,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,27,35,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,17,0,0,0,13,0,0,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,39,0,0,43,30,39,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,37,13,0,29,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,29,24,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,36,0,0,30,40,38,0,0,0,0,0,0,0,0,0,0,8,29,0,0,0,0,0,34,6,0,30,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,20,21,0,0,14,0,0,0,6,0,0,0,0,0,0,0,0,0,0
