"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
24,826402101,"bearsfan55",0,160.18,"DST Ravens  QB Tom Brady WR Jeremy Maclin TE Rob Gronkowski RB Jacquizz Rodgers WR Adam Thielen FLEX Kareem Hunt RB Tarik Cohen WR Tyreek Hill",NA,"Kerwynn Williams","10.66%",2.2
26,823757540,"Rholden11 (1/2)",0,159.76,"DST Buccaneers  WR DeSean Jackson TE Rob Gronkowski WR Alshon Jeffery WR Martavis Bryant QB Jameis Winston FLEX Kareem Hunt RB Tarik Cohen RB Leonard Fournette",NA,"Adam Thielen","10.66%",8.4
26,823760154,"Rholden11 (2/2)",0,159.76,"DST Buccaneers  WR DeSean Jackson TE Rob Gronkowski WR Alshon Jeffery WR Martavis Bryant QB Jameis Winston FLEX Kareem Hunt RB Tarik Cohen RB Leonard Fournette",NA,"Travis Kelce","10.12%",27.3
28,823474326,"mattttobrien (1/2)",0,159.58,"DST Cardinals  QB Tom Brady WR Larry Fitzgerald TE Coby Fleener RB James White WR Chris Hogan WR Mike Evans RB Kareem Hunt FLEX Tarik Cohen",NA,"Buccaneers ","9.79%",19
29,827724406,"kroop9",0,158.98,"DST Buccaneers  QB Tom Brady TE Delanie Walker FLEX Larry Fitzgerald WR Chris Hogan WR Mike Evans RB Javorius Allen RB Tarik Cohen WR Tyreek Hill",NA,"Cardinals ","8.49%",10
30,827302294,"psufans2",0,158.78,"DST Steelers  QB Tom Brady TE Coby Fleener WR J.J. Nelson WR Chris Hogan WR Brandin Cooks FLEX Michael Thomas RB Kareem Hunt RB Tarik Cohen",NA,"Michael Thomas","8.38%",13.9
31,825808969,"underjones (1/13)",0,158.58,"DST Steelers  QB Tom Brady WR Larry Fitzgerald TE Rob Gronkowski RB Le'Veon Bell FLEX James White WR J.J. Nelson WR Marqise Lee RB Tarik Cohen",NA,"Dalvin Cook","7.94%",8.4
31,825808970,"underjones (2/13)",0,158.58,"DST Steelers  QB Tom Brady WR Larry Fitzgerald TE Rob Gronkowski RB Le'Veon Bell FLEX James White WR J.J. Nelson WR Marqise Lee RB Tarik Cohen",NA,"Stefon Diggs","7.18%",5.1
31,825808971,"underjones (3/13)",0,158.58,"DST Steelers  QB Tom Brady WR Larry Fitzgerald TE Rob Gronkowski RB Le'Veon Bell FLEX James White WR J.J. Nelson WR Marqise Lee RB Tarik Cohen",NA,"DeSean Jackson","7.07%",6.9
31,825808972,"underjones (4/13)",0,158.58,"DST Steelers  QB Tom Brady WR Larry Fitzgerald TE Rob Gronkowski RB Le'Veon Bell FLEX James White WR J.J. Nelson WR Marqise Lee RB Tarik Cohen",NA,"Mike Gillislee","6.64%",12.9
31,825808973,"underjones (5/13)",0,158.58,"DST Steelers  QB Tom Brady WR Larry Fitzgerald TE Rob Gronkowski RB Le'Veon Bell FLEX James White WR J.J. Nelson WR Marqise Lee RB Tarik Cohen",NA,"Cameron Brate","6.31%",4.4
31,825808974,"underjones (6/13)",0,158.58,"DST Steelers  QB Tom Brady WR Larry Fitzgerald TE Rob Gronkowski RB Le'Veon Bell FLEX James White WR J.J. Nelson WR Marqise Lee RB Tarik Cohen",NA,"Jesse James","6.09%",6.7
31,825808975,"underjones (7/13)",0,158.58,"DST Steelers  QB Tom Brady WR Larry Fitzgerald TE Rob Gronkowski RB Le'Veon Bell FLEX James White WR J.J. Nelson WR Marqise Lee RB Tarik Cohen",NA,"Alex Smith","5.98%",16.14
31,825808976,"underjones (8/13)",0,158.58,"DST Steelers  QB Tom Brady WR Larry Fitzgerald TE Rob Gronkowski RB Le'Veon Bell FLEX James White WR J.J. Nelson WR Marqise Lee RB Tarik Cohen",NA,"Martavis Bryant","5.22%",18.8
31,825808977,"underjones (9/13)",0,158.58,"DST Steelers  QB Tom Brady WR Larry Fitzgerald TE Rob Gronkowski RB Le'Veon Bell FLEX James White WR J.J. Nelson WR Marqise Lee RB Tarik Cohen",NA,"Mike Wallace","5.11%",1.7
31,825808978,"underjones (10/13)",0,158.58,"DST Steelers  QB Tom Brady WR Larry Fitzgerald TE Rob Gronkowski RB Le'Veon Bell FLEX James White WR J.J. Nelson WR Marqise Lee RB Tarik Cohen",NA,"LeSean McCoy","5.11%",10.3
31,825808979,"underjones (11/13)",0,158.58,"DST Steelers  QB Tom Brady WR Larry Fitzgerald TE Rob Gronkowski RB Le'Veon Bell FLEX James White WR J.J. Nelson WR Marqise Lee RB Tarik Cohen",NA,"Kelvin Benjamin","4.79%",13.7
31,825808980,"underjones (12/13)",0,158.58,"DST Steelers  QB Tom Brady WR Larry Fitzgerald TE Rob Gronkowski RB Le'Veon Bell FLEX James White WR J.J. Nelson WR Marqise Lee RB Tarik Cohen",NA,"Nelson Agholor","4.68%",7.9
31,825808981,"underjones (13/13)",0,158.58,"DST Steelers  QB Tom Brady WR Larry Fitzgerald TE Rob Gronkowski RB Le'Veon Bell FLEX James White WR J.J. Nelson WR Marqise Lee RB Tarik Cohen",NA,"Zach Ertz","4.68%",14.7
31,826464916,"patsftw",0,158.58,"DST Ravens  QB Tom Brady FLEX Coby Fleener RB Mike Gillislee WR Chris Hogan WR Mike Evans TE Jesse James RB Kareem Hunt WR Tyreek Hill",NA,"Terrance West","4.57%",12.5
45,824504544,"lost01",0,158.18,"DST Ravens  QB Tom Brady TE Coby Fleener RB Jacquizz Rodgers WR Chris Hogan WR Mike Evans WR Martavis Bryant RB Leonard Fournette FLEX Christian McCaffrey",NA,"Jaguars ","4.35%",-1
46,826620576,"Brownthunderbuddy",0,158.08,"DST Ravens  QB Tom Brady FLEX Larry Fitzgerald TE Coby Fleener WR J.J. Nelson WR Chris Hogan WR Stefon Diggs RB Kareem Hunt RB Leonard Fournette",NA,"Delanie Walker","4.35%",16.2
47,822705323,"NILKNARF (1/10)",0,157.98,"DST Ravens  QB Tom Brady WR Larry Fitzgerald TE Travis Kelce RB Jacquizz Rodgers RB Le'Veon Bell FLEX J.J. Nelson WR Marqise Lee WR Adam Thielen",NA,"Ted Ginn Jr.","4.35%",5.4
48,822506175,"twoshae",0,156.98,"DST Steelers  QB Tom Brady WR Larry Fitzgerald FLEX Rob Gronkowski TE Coby Fleener RB James White WR Chris Hogan RB Kareem Hunt WR Tyreek Hill",NA,"Panthers ","4.24%",10
