"","2017-04-02","2017-04-03","2017-04-04","2017-04-05","2017-04-06","2017-04-07","2017-04-08","2017-04-09","2017-04-10","2017-04-11","2017-04-12","2017-04-13","2017-04-14","2017-04-15","2017-04-16","2017-04-17","2017-04-18","2017-04-19","2017-04-20","2017-04-21","2017-04-22","2017-04-23","2017-04-24","2017-04-25","2017-04-26","2017-04-27","2017-04-28","2017-04-29","2017-04-30","2017-05-01","2017-05-02","2017-05-03","2017-05-04","2017-05-05","2017-05-06","2017-05-07","2017-05-08","2017-05-09","2017-05-10","2017-05-11","2017-05-12","2017-05-13","2017-05-14","2017-05-15","2017-05-16","2017-05-17"
"Kris Bryant_CHC",0,NA,0,NA,NA,12,21,18,9,NA,4,2,NA,30,0,0,15,11,NA,5,11,5,19,10,19,NA,16,16,14,2,24,6,16,16,NA,5,NA,21,5,NA,NA,NA,NA,NA,14,2
"Anthony Rizzo_CHC",3,NA,2,NA,NA,4,7,0,7,NA,6,19,NA,12,5,10,10,12,NA,20,29,16,13,0,25,NA,5,16,2,2,4,5,0,3,NA,13,NA,0,NA,NA,5,4,4,NA,21,7
"Joey Votto_CIN",NA,0,NA,14,NA,7,7,18,4,0,9,2,14,11,8,NA,25,2,14,2,32,4,16,3,14,NA,19,NA,8,4,22,9,20,14,NA,5,21,11,NA,9,3,3,8,NA,21,6
"Kyle Schwarber_CHC",10,NA,4,NA,NA,0,7,19,8,NA,2,7,NA,7,8,5,18,NA,NA,12,6,0,12,0,2,NA,3,7,2,0,18,2,NA,14,NA,14,NA,NA,2,NA,2,2,2,NA,19,9
"Adrian Beltre_TEX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Billy Hamilton_CIN",NA,10,NA,7,NA,13,NA,7,23,5,7,10,0,0,2,NA,17,7,0,5,NA,15,10,0,3,NA,3,NA,7,27,14,18,10,40,NA,12,5,12,NA,10,2,NA,6,NA,8,10
"Aaron Altherr_PHI",NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,11,15,12,17,14,NA,NA,7,NA,0,NA,0,22,19,7,17,7,NA,NA,NA,23,34,NA,NA,4,4,NA,0,7
"Joey Gallo_TEX",NA,NA,19,4,NA,4,0,25,NA,2,16,12,5,5,0,4,0,16,7,30,2,18,12,14,15,NA,0,0,8,2,14,0,23,0,NA,NA,0,25,2,NA,20,8,2,NA,0,9
"Nomar Mazara_TEX",NA,NA,10,24,NA,32,0,6,NA,8,7,16,5,0,19,23,2,0,0,2,2,6,0,0,NA,NA,0,9,5,3,23,5,7,4,NA,NA,NA,11,9,NA,3,14,8,NA,17,11
"Mike Napoli_TEX",NA,NA,9,0,NA,0,14,2,NA,8,21,0,2,0,7,9,0,3,4,5,14,NA,11,0,0,NA,5,0,NA,19,0,3,9,0,NA,5,0,NA,4,34,2,3,0,NA,24,6
"Shin-Soo Choo_TEX",NA,NA,3,8,NA,12,0,NA,NA,5,3,10,0,NA,29,8,0,2,NA,9,5,8,2,5,33,NA,NA,8,14,0,3,2,7,3,NA,5,21,15,20,0,2,4,NA,NA,NA,17
"Cesar Hernandez_PHI",NA,14,NA,0,NA,NA,23,12,5,10,8,NA,NA,21,29,NA,11,5,2,15,10,19,NA,NA,0,NA,5,8,12,15,2,3,21,5,NA,5,NA,14,6,NA,NA,14,0,NA,2,5
"Rougned Odor_TEX",NA,NA,3,3,NA,21,5,2,NA,4,12,3,0,0,7,3,3,2,5,0,10,0,7,0,16,NA,0,16,3,0,0,10,16,0,NA,5,0,10,5,10,14,5,9,NA,11,5
"Elvis Andrus_TEX",NA,NA,2,17,NA,7,0,5,NA,21,19,17,11,0,3,3,20,0,0,NA,5,5,8,0,14,NA,12,3,2,12,18,2,19,18,NA,3,4,7,3,5,0,19,19,NA,0,6
"Maikel Franco_PHI",NA,7,NA,3,NA,NA,11,4,8,16,23,NA,NA,2,0,NA,2,2,23,4,12,0,NA,NA,26,8,2,10,0,6,2,17,21,3,NA,2,NA,0,NA,NA,NA,3,NA,NA,7,5
"Carlos Gomez_TEX",NA,NA,0,4,NA,20,0,2,NA,0,16,14,6,2,2,20,0,2,5,3,9,5,8,2,17,NA,2,36,12,0,5,NA,14,2,NA,2,7,6,0,8,14,5,18,NA,NA,NA
"Jonathan Lucroy_TEX",NA,NA,NA,5,NA,3,0,NA,NA,24,7,NA,0,3,11,0,0,NA,5,NA,2,NA,3,3,NA,NA,3,7,NA,2,22,2,NA,2,NA,10,0,NA,8,9,6,NA,3,NA,10,11
"Odubel Herrera_PHI",NA,9,NA,8,NA,NA,11,3,5,3,4,NA,NA,7,NA,NA,19,5,7,3,8,14,NA,NA,5,7,3,9,NA,8,0,7,8,9,NA,12,NA,14,5,NA,NA,0,8,NA,3,0
"Ben Zobrist_CHC",4,NA,NA,NA,NA,16,11,20,0,NA,3,NA,NA,8,5,8,0,NA,NA,NA,NA,12,17,0,NA,NA,12,16,5,3,9,7,NA,3,NA,3,NA,2,NA,NA,2,NA,NA,NA,NA,12
