"Jonathan Schoop_BAL","Adrian Beltre_TEX","Adam Jones_BAL","Elvis Andrus_TEX","Manny Machado_BAL","Starling Marte_PIT","Chris Davis_BAL","Josh Harrison_PIT","Andrew McCutchen_PIT","Gregory Polanco_PIT","Shin-Soo Choo_TEX","Josh Bell_PIT","Adam Frazier_PIT","David Freese_PIT","Hunter Renfroe_SD","Mike Napoli_TEX","Seth Smith_BAL","Mark Trumbo_BAL","Rougned Odor_TEX","Nomar Mazara_TEX","Jose Pirela_SD","Wil Myers_SD","Manuel Margot_SD","Carlos Gomez_TEX","Delino DeShields_TEX","Joey Gallo_TEX","Trey Mancini_BAL","Ryan Schimpf_SD","Welington Castillo_BAL","Yangervis Solarte_SD","Jordy Mercer_PIT","Jose Osuna_PIT","Robinson Chirinos_TEX","Caleb Joseph_BAL","Jurickson Profar_TEX","Alex Dickerson_SD","Carlos Asuaje_SD","JJ Hardy_BAL","Ronald Guzman_TEX","Jordan Luplow_PIT","Cory Spangenberg_SD","Jonathan Lucroy_TEX","Pete Kozma_TEX","Brett Nicholas_TEX","Jared Hoying_TEX","Travis Jankowski_SD","Ruben Tejada_BAL","Johnny Giavotella_BAL","Ryan Rua_TEX","Anthony Santander_BAL","Andy Ibanez_TEX","Matt Szczur_SD","Jabari Blash_SD","Danny Ortiz_PIT","Hector Sanchez_SD","Kevin Newman_PIT","Paul Janish_BAL","Craig Gentry_BAL","Francisco Pena_BAL","Ryan Flaherty_BAL","Hyun Soo Kim_BAL","David Washington_BAL","Luis Sardinas_BAL","Joey Rickard_BAL","Chase d'Arnaud_SD","Hanser Alberto_TEX","Christian Bethancourt_SD","Austin Hedges_SD","Franchy Cordero_SD","Luis Urias_SD","Drew Stubbs_TEX","Erick Aybar_SD","Francisco Cervelli_PIT","Elias Diaz_PIT","Phil Gosselin_PIT","Chris Bostick_PIT","John Jaso_PIT","Drew Robinson_TEX","Gift Ngoepe_PIT","Max Moroff_PIT","Dusty Coleman_SD","Jacob Stallings_PIT","Jose Rondon_SD","Allen Cordoba_SD","Luis Torrens_SD","John Bormann_PIT","Chris Stewart_PIT"
93,0,86,0,89,0,67,0,0,0,0,0,0,0,0,0,56,93,0,0,0,0,0,0,0,0,72,0,56,0,0,0,0,39,0,0,0,58,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,7,14,2,4,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,45,0,42,0,0,0,0,0,0,43,0,0,0,0,33,0,0,44,38,0,0,0,30,21,31,0,0,0,0,0,0,20,0,4,0,0,0,0,0,0,33,5,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
86,0,88,0,85,0,63,0,0,0,0,0,0,0,0,0,52,88,0,0,0,0,0,0,0,0,69,0,51,0,0,0,0,36,0,0,0,56,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,6,13,3,5,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,42,0,92,0,0,0,0,0,0,83,0,0,0,0,74,0,0,91,79,0,0,0,64,52,77,0,0,0,0,0,0,36,0,13,0,0,0,0,0,0,66,8,0,13,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
89,0,85,0,91,0,65,0,0,0,0,0,0,0,0,0,54,91,0,0,0,0,0,0,0,0,70,0,54,0,0,0,0,38,0,0,0,56,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,7,14,3,6,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,21,0,19,21,11,0,18,12,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,3,0,0,0,0,0,0,0,0,0,3
67,0,63,0,65,0,69,0,0,0,0,0,0,0,0,0,40,69,0,0,0,0,0,0,0,0,48,0,37,0,0,0,0,32,0,0,0,53,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,7,3,6,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,19,0,89,87,64,0,78,50,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,15,0,0,32,0,0,8,0,0,0,0,0,0,17
0,0,0,0,0,21,0,87,93,69,0,82,54,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,15,0,0,35,0,0,8,0,0,0,0,0,0,17
0,0,0,0,0,11,0,64,69,71,0,62,38,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,13,0,0,24,0,0,9,0,0,0,0,0,0,17
