"Rank","TRank","Price","Ratio","Value","Name","Team","Game","Pos","Order","R","HR","RBI","SB","AB","1B","2B","3B","BB","HBP","CS","W","SO","IP","CG","SHO","ER","H","BB__1","HBP__1"
1,1,4200,78.5714285714286,33,"Domingo Santana","MIL",NA,"OF",2,3,0,2,1,5,2,2,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2,4500,73.3333333333333,33,"Edwin Encarnacion","CLE",NA,"1B",4,4,1,2,0,5,2,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,10500,30.5714285714286,32.1,"Robbie Ray","ARI",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,13,6,0,0,1,5,4,0
4,3,3700,86.4864864864865,32,"Gregory Polanco","PIT",NA,"OF",6,2,1,2,1,4,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,4,4100,73.1707317073171,30,"Jake Lamb","ARI",NA,"3B",7,2,2,2,0,3,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2,10200,29.3627450980392,29.95,"Rich Hill","LAD",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,7,0,0,1,2,0,1
7,3,13300,20.7142857142857,27.55,"Chris Sale","BOS",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12,7,0,0,4,7,0,0
8,4,6500,39.8461538461538,25.9,"Anibal Sanchez","DET",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,6,0,0,2,5,0,1
9,5,6400,39.609375,25.35,"Josh Tomlin","CLE",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,7,0,0,2,4,0,0
10,6,10700,23.6915887850467,25.35,"Michael Wacha","STL",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,5.66666666666667,0,0,2,6,2,1
11,5,3800,65.7894736842105,25,"Josh Bell","PIT",NA,"1B",4,2,1,3,0,5,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,6,3200,78.125,25,"Wilson Ramos","TB",NA,"C",5,1,1,3,0,3,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,7,3800,63.1578947368421,24,"Dee Gordon","MIA",NA,"2B",1,3,0,0,2,4,2,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,8,4600,52.1739130434783,24,"Jose Ramirez","CLE",NA,"2B/3B",5,1,1,3,0,5,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,9,3500,68.5714285714286,24,"Alex Bregman","HOU",NA,"3B",8,2,0,0,1,3,1,2,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,10,2900,79.3103448275862,23,"Luke Voit","STL",NA,"1B",6,1,1,3,0,4,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,11,2600,84.6153846153846,22,"Russell Martin","TOR",NA,"C",2,2,1,1,0,5,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,12,3900,53.8461538461538,21,"Michael Brantley","CLE",NA,"OF",3,3,0,1,0,4,1,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,13,5300,39.622641509434,21,"Adam Duvall","CIN",NA,"OF",4,1,1,2,0,5,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,14,3300,63.6363636363636,21,"Kurt Suzuki","ATL",NA,"C",6,2,1,1,0,5,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,15,3900,53.8461538461538,21,"Logan Forsythe","LAD",NA,"2B/3B",1,2,1,2,0,4,1,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,16,3300,60.6060606060606,20,"Brian Goodwin","WAS",NA,"OF",1,1,1,1,0,5,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,17,4700,42.5531914893617,20,"Khris Davis","OAK",NA,"OF",4,1,1,3,0,4,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,18,4600,43.4782608695652,20,"Ryan Braun","MIL",NA,"OF",3,1,1,2,0,2,0,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,7,4200,45.3571428571429,19.05,"Sal Romano","CIN",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,5,0,0,2,6,1,0
26,19,5000,38,19,"Andrew McCutchen","PIT",NA,"OF",3,2,0,0,0,4,1,2,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,20,3000,63.3333333333333,19,"Alex Presley","DET",NA,"OF",7,1,0,2,1,3,2,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,21,3500,54.2857142857143,19,"Mitch Haniger","SEA",NA,"OF",7,1,1,1,0,4,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,8,7200,25.1388888888889,18.1,"Mike Foltynewicz","ATL",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,6,0,0,2,8,1,0
30,22,3100,58.0645161290323,18,"Danny Valencia","SEA",NA,"1B",6,1,1,3,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,23,3800,47.3684210526316,18,"Mark Trumbo","BAL",NA,"OF",5,1,1,2,0,4,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,24,4200,42.8571428571429,18,"Chris Taylor","LAD",NA,"2B/OF",4,0,0,1,0,5,2,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,25,2500,68,17,"Bruce Maxwell","OAK",NA,"C",7,1,1,1,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,26,3800,44.7368421052632,17,"Eduardo Escobar","MIN",NA,"SS/3B",5,1,0,2,0,4,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,27,3900,43.5897435897436,17,"Nick Castellanos","DET",NA,"3B",6,1,0,1,0,3,1,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,28,3900,41.025641025641,16,"Jonathan Villar","MIL",NA,"2B",1,2,0,1,1,4,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,29,5200,30.7692307692308,16,"Jose Altuve","HOU",NA,"2B",2,0,0,2,1,5,3,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,30,4400,36.3636363636364,16,"Freddie Freeman","ATL",NA,"1B/3B",3,1,0,2,0,5,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,31,2800,57.1428571428571,16,"Dixon Machado","DET",NA,"2B/SS",9,1,1,2,0,3,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,32,2800,57.1428571428571,16,"Yan Gomes","CLE",NA,"C",9,1,1,1,0,3,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,33,4300,37.2093023255814,16,"Justin Upton","DET",NA,"OF",3,2,0,0,1,3,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,9,6400,24.921875,15.95,"Yovani Gallardo","SEA",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4.33333333333333,0,0,0,1,2,0
43,10,8800,17.3863636363636,15.3,"Zach Davies","MIL",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,6,0,0,2,5,0,2
44,34,4200,35.7142857142857,15,"Eugenio Suarez","CIN",NA,"3B",5,1,0,1,0,5,2,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,35,4200,35.7142857142857,15,"Marcell Ozuna","MIA",NA,"OF",4,0,0,3,0,5,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,11,9600,15.3125,14.7,"Jose Berrios","MIN",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,6,0,0,3,7,0,1
47,12,5000,28.9,14.45,"Tom Koehler","MIA",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,5,0,0,3,4,3,1
48,13,11300,12.4778761061947,14.1,"Gio Gonzalez","WAS",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,6,0,0,3,7,2,0
49,14,8300,16.9879518072289,14.1,"Jacob Faria","TB",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,6,0,0,1,4,4,1
50,36,3400,41.1764705882353,14,"Carlos Beltran","HOU",NA,"OF",4,1,1,1,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
