"Mookie Betts_BOS","Miguel Sano_MIN","Mike Trout_LAA","Mike Napoli_TEX","Andrelton Simmons_LAA","Tommy Pham_STL","Dustin Pedroia_BOS","Elvis Andrus_TEX","Xander Bogaerts_BOS","Hanley Ramirez_BOS","Dexter Fowler_STL","Jackie Bradley_BOS","Andrew Benintendi_BOS","Brian Dozier_MIN","Justin Bour_MIA","Jedd Gyorko_STL","Paul DeJong_STL","Adrian Beltre_TEX","Shin-Soo Choo_TEX","Joe Mauer_MIN","Cameron Maybin_LAA","Max Kepler_MIN","Yadier Molina_STL","Giancarlo Stanton_MIA","Christian Yelich_MIA","JT Realmuto_MIA","Nomar Mazara_TEX","Eddie Rosario_MIN","Marcell Ozuna_MIA","Stephen Piscotty_STL","Aledmys Diaz_STL","Carlos Gomez_TEX","Mitch Moreland_BOS","Rougned Odor_TEX","Eduardo Escobar_MIN","Chad Huffman_STL","Randal Grichuk_STL","Matt Carpenter_STL","Deven Marrero_BOS","Delino DeShields_TEX","Joey Gallo_TEX","Daniel Palka_MIN","Chris Young_BOS","Sandy Leon_BOS","Robbie Grossman_MIN","Dee Gordon_MIA","Robinson Chirinos_TEX","Kennys Vargas_MIN","CJ Cron_LAA","Eric Young_LAA","Jonathan Lucroy_TEX","Yunel Escobar_LAA","Jason Castro_MIN","Jefry Marte_LAA","Jorge Polanco_MIN","Martin Prado_MIA","Jurickson Profar_TEX","Derek Dietrich_MIA","Nick Franklin_LAA","Tyler Moore_MIA","Brock Holt_BOS","Ryan Rua_TEX","Andy Ibanez_TEX","Chris Gimenez_MIN","Kole Calhoun_LAA","Jose Martinez_STL","Kolten Wong_STL","Jhonny Peralta_BOS","Pablo Sandoval_BOS","Christian Vazquez_BOS","Steve Selsky_BOS","Marco Hernandez_BOS","Brett Nicholas_TEX","Jared Hoying_TEX","Tzu-Wei Lin_BOS","Albert Pujols_LAA","Luis Valbuena_LAA","Ben Revere_LAA","Harrison Bader_STL","Hanser Alberto_TEX","Sam Travis_BOS","Martin Maldonado_LAA","Josh Rutledge_BOS","Ehire Adrianza_MIN","Luke Voit_STL","Drew Stubbs_TEX","Cliff Pennington_LAA","Shane Robinson_LAA","David Fletcher_LAA","Destin Hood_MIA","Alex Mejia_STL","Magneuris Sierra_STL","Kaleb Cowart_LAA","Byron Buxton_MIN","Nolan Fontana_LAA","Ichiro Suzuki_MIA","Tomas Telis_MIA","Greg Garcia_STL","JT Riddle_MIA","Carson Kelly_STL","Pete Kozma_TEX","Christian Colon_MIA","Steve Lombardozzi_MIA","Drew Robinson_TEX","Ronald Guzman_TEX","Juan Graterol_LAA","Carlos Perez_LAA","AJ Ellis_MIA","Eric Fryer_STL","Mike Aviles_MIA","Miguel Rojas_MIA","Danny Espinosa_LAA"
0,0,0,0,0,6.04761904761905,0,0,0,0,64.8315184513007,0,0,0,0,-4.66328502415459,28.3639705882353,0,0,0,0,0,6.51147959183673,0,0,0,0,0,0,7.2479674796748,-4.43450980392157,0,0,0,0,0,-2.4758064516129,-7.71945701357466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39047619047619,3.01290322580645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,13.9,0,0,0,0,0,0,0,0,0,0,-4.52777777777778,0,0,0
7.98142076502732,0,0,0,0,0,1.2512077294686,0,3.69540229885057,-1.25551020408163,0,57.5437788018433,17.2177068214804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92053701015965,0,0,0,0,0,23.8004926108374,0,0,0,7.7628947368421,9.87684729064039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.566666666666667,8.88502673796791,0,3.98181818181818,0,0,30.7333333333333,0,0,0,0,0,60.7142857142857,0,-7.35930735930736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.4167832167832,0,0,0,0,0,12.2215488215488,0,11.1364357482813,8.0105580693816,0,17.2177068214804,92.6608867427568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.7890424987199,0,0,0,0,0,-6.57789855072464,0,0,0,0.445652173913043,15.8739919354839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.66666666666667,0,0,0,0,0,0,0,10.5036231884058,16.7333333333333,0,4.07142857142857,0,0,82.75,0,0,0,0,0,0,0,2.69590643274854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.95,0,0,0,0,0,0,0,0,0,0,0,43.5688684075781,0,0,0,0,0,8.22012578616352,0,20.4100145137881,0,0,0,0,0,13.2780392156863,0,0,0,0,0,0,3.0436974789916,0,0,0,0,0,0,0,0,0,-0.410730804810361,0,0,8.36333333333333,0,0,0,0,11.6045454545455,0,7.57801418439716,0,0,0,0,0,0,0,0,5.04210526315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.56944444444444,0,0,0,0,0,0,0,0,0,8.1638714185884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.9699453551913,0,0,0,0,0,0,0,0,8.96376388077148,17.1186440677966,4.41333333333333,0,0,5.31299435028249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.7188552188552,0,0,0,0,0,0,0,0,0,5.90476190476191,0,10.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.7142857142857,0,0,10.6238859180036,0,0,-8.40476190476191,0,0,0,0,0,24.1545454545455,0,0,8.96969696969697,0
0,0,0,0,0,30.504048582996,0,0,0,0,-4.66328502415459,0,0,0,0,58.7363031233999,16.2626811594203,0,0,0,0,0,6.05241090146751,0,0,0,0,0,0,5.17595818815331,12.2938775510204,0,0,0,0,0,-4.0548048048048,5.98971566848155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3391812865497,7.55172413793103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.5,0,0,0,0,0,-19,-2.1,0,0,0,0,0,12.3571428571429,0,0,0,0,0,0,0,0,0,0,6.15277777777778,0,0,0
0,0,0,0,0,10.6184615384615,0,0,0,0,28.3639705882353,0,0,0,0,16.2626811594203,44.1625615763547,0,0,0,0,0,-0.072463768115942,0,0,0,0,0,0,-14.054347826087,-4.64327485380117,0,0,0,0,0,2.27777777777778,11.6861538461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.1208791208791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.25,0,0,0,0,0,19,0,0,0,0,0,0,14.0555555555556,0,0,0,0,0,0,0,0,0,0,5.58333333333333,0,0,0
0,0,0,-11.4795321637427,0,0,0,14.9351851851852,0,0,0,0,0,0,0,0,0,46.9950738916256,-9.20797720797721,0,0,0,0,0,0,0,11.8418972332016,0,0,0,0,16.5285714285714,0,-16.6997354497354,0,0,0,0,0,4.51838235294118,-5.96052631578947,0,0,0,0,0,12.0857142857143,0,0,0,-0.557142857142857,0,0,0,0,0,0,0,0,0,0,-11.3333333333333,0,0,0,0,0,0,0,0,0,0,0,6.16666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-13.2140783744557,0,0,0,6.85711150131695,0,0,0,0,0,0,0,0,0,-9.20797720797721,57.847619047619,0,0,0,0,0,0,0,17.4966727162734,0,0,0,0,8.80443974630021,0,1.32097186700767,0,0,0,0,0,23.5176829268293,13.7677595628415,0,0,0,0,0,13.5698005698006,0,0,0,-4.30144557823129,0,0,0,0,0,8.64285714285714,0,0,0,0,32.7947368421053,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11904761904762,0,0,0,0,0,0,0,0,0,0,0
0,20.1806966618287,0,0,0,0,0,0,0,0,0,0,0,8.22012578616352,0,0,0,0,0,42.9559322033898,0,19.3039832285115,0,0,0,0,0,6.35505319148936,0,0,0,0,0,0,-6.51041666666667,0,0,0,0,0,0,0,0,0,15.0348432055749,0,0,-6.00592885375494,0,0,0,0,6.18636363636364,0,4.67826086956522,0,0,0,0,0,0,0,0,5.13333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.02777777777778,0,0,0,0,0,0,0,0,0,5.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
