"Charlie Blackmon_COL","Nolan Arenado_COL","Kris Bryant_CHC","Mark Reynolds_COL","Anthony Rizzo_CHC","Corey Dickerson_TB","Khris Davis_OAK","Yonder Alonso_OAK","Ryon Healy_OAK","Odubel Herrera_PHI","Logan Morrison_TB","Kyle Schwarber_CHC","Ian Desmond_COL","DJ LeMahieu_COL","David Dahl_COL","Stephen Piscotty_STL","Jedd Gyorko_STL","Jed Lowrie_OAK","Ian Happ_CHC","Dexter Fowler_STL","Carlos Gonzalez_COL","Javier Baez_CHC","Trevor Story_COL","Matt Carpenter_STL","Evan Longoria_TB","Steven Souza_TB","Kevin Kiermaier_TB","Tommy Pham_STL","Randal Grichuk_STL","Matt Joyce_OAK","Gerardo Parra_COL","Yadier Molina_STL","Aledmys Diaz_STL","Rajai Davis_OAK","Brad Miller_TB","Jason Heyward_CHC","Colby Rasmus_TB","Wilson Ramos_TB","Pat Valaika_COL","Howie Kendrick_PHI","Aaron Altherr_PHI","Stephen Cardullo_COL","Raimel Tapia_COL","Albert Almora_CHC","Freddy Galvis_PHI","Tommy Joseph_PHI","Tim Beckham_TB","Marcus Semien_OAK","Mallex Smith_TB","Matt Duffy_TB","Ben Zobrist_CHC","Jon Jay_CHC","Dustin Garneau_COL","Willson Contreras_CHC","Cesar Hernandez_PHI","Derek Norris_TB","Miguel Montero_CHC","Jeimer Candelario_CHC","Addison Russell_CHC","Tom Murphy_COL","Jhonny Peralta_STL","Kolten Wong_STL","Tony Wolters_COL","Daniel Nava_PHI","Rhys Hoskins_PHI","Paul DeJong_STL","Harrison Bader_STL","Jake Bauers_TB","Alexi Amarista_COL","Tommy La Stella_CHC","Andrew Knapp_PHI","Jose Martinez_STL","Maikel Franco_PHI","Peter Bourjos_TB","Michael Saunders_PHI","Greg Garcia_STL","Magneuris Sierra_STL","Trevor Plouffe_OAK","Jake Smolinski_OAK","Stephen Vogt_OAK","Ryan LaMarre_OAK","Chad Pinder_OAK","Cristhian Adames_COL","Jordan Patterson_COL","Brendan Rodgers_COL","Carson Kelly_STL","JP Crawford_PHI","Rickie Weeks_TB","Josh Phegley_OAK","Mark Canha_OAK","Curt Casali_TB","Daniel Robertson_TB","Bruce Maxwell_OAK","Ryan Hanigan_COL","Eric Fryer_STL","Brock Stassi_PHI","Jorge Alfaro_PHI","Roman Quinn_PHI","Jesus Sucre_TB","Jaycob Brugman_OAK","Willy Adames_TB","Andres Blanco_PHI","Nick Williams_PHI","Renato Nunez_OAK","Mark Zagunis_CHC","Eloy Jimenez_CHC","Chad Huffman_STL","Cameron Rupp_PHI","Scott Kingery_PHI","Michael Martinez_TB","Joey Wendle_OAK","Franklin Barreto_OAK","Casey Gillaspie_TB","Matt Chapman_OAK","Ty Kelly_PHI","Adam Rosales_OAK","Shane Peterson_TB","Jaff Decker_OAK","Matt Olson_OAK"
0,0,0,0,0,5.61207729468599,0,0,0,0,57.6428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0238095238095,9.33056478405316,2.69946808510638,0,0,0,0,0,0,0,23.6177248677249,0,-4.73160173160173,0,0,0,0,0,0,0,0,0,-11.0737373737374,0,16.2857142857143,0,0,0,0,0,0,2.64126984126984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.7333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,22.7692307692308,0,0,0,-2.89655172413793,0,0,0,0,0,0,18.6153846153846,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,-8.66666666666667,0,0
0,0,5.18050941306755,0,7.62272727272727,0,0,0,0,0,0,48.5314009661836,0,0,0,0,0,0,30.0714285714286,0,0,20.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6493993993994,0,0,0,0,0,0,0,0.580952380952381,0,0,0,0,0,0,-3.46031746031746,9.30952380952381,0,-5.13118279569892,0,0,31.2380952380952,56.6666666666667,9.64349376114082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.05820105820106,30.076354679803,0,4.61333333333333,0,0,0,0,0,0,0,0,57.016091954023,1.52709359605911,0,0,0,0,0,0,3.02461538461538,0,7.27205882352941,0,0,0,0,0,0,0,-20.0681818181818,0,0,0,0,0,0,0,-13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,54.5714285714286,0,0,0,0,0,0,0,0,0,-5.74175824175824,0,0,0,0,0,-8.85714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2678571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.41411764705882,0.798642533936652,0,3.52173913043478,0,0,0,0,0,0,0,0,1.52709359605911,45.5486211901306,0,0,0,0,0,0,7.3672525439408,0,1.20199146514936,0,0,0,0,0,0,0,-6.6816091954023,0,0,0,0,0,0,0,21.0888888888889,0,0,2.5,0,0,0,0,0,0,0,0,0,0,3.81904761904762,0,0,0,0,0,0,0,0,0,-2.44367816091954,0,0,0,0,0,54.6527777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.59523809523809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.3428571428571,6.75692307692308,0,0,2.42424242424242,0,0,0,-2.95591397849462,0,0,0,-1.57777777777778,-3.68577075098814,0,0,-3.63103448275862,-2.40752688172043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55555555555556,-8.66233766233766,0,0,0,2.5,0,0,0,0,0,-15.75,0,0,0,10.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.46666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.75692307692308,59.6464059196617,0,0,-0.325396825396825,0,0,0,8.31585365853659,0,0,0,10.5177865612648,-11.5,0,0,3.79358974358974,18.889338731444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73333333333333,10.6296296296296,0,0,0,5.35714285714286,0,0,0,0,0,7.84722222222222,0,0,0,20.1666666666667,-2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4.3218537414966,8.80364372469636,21.0567375886525,0,0,0,0,0,0,0,0,56.8517647058824,0,0,0,0,0,0,0,0,0,0,0,-6.76386913229018,0,0,0,15.4506048387097,0,0,0,0,0,0,0,0,0,0,0,0,0,32.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3693244739756,0,-2.21428571428571,17,5.65,0,0,0,0,0,0,4.02747252747253,-6.71345029239766,0,0,-1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.1547619047619,0,-7.13636363636364,0
0,0,10.6323529411765,0,10.4912280701754,0,0,0,0,0,0,30.0714285714286,0,0,0,0,0,0,80.0292397660819,0,0,-9.19871794871795,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.67948717948718,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,1.57051282051282,-1.83333333333333,0,7.77272727272727,0,0,-7.52380952380952,20,25,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42424242424242,-0.325396825396825,0,0,57.7867907801418,0,0,0,-15.4994192799071,0,0,0,1.55263157894737,-2.4758064516129,0,0,2.76480836236934,-0.481173864894795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296703296703297,0.551587301587302,0,0,0,3.37777777777778,0,0,0,0,0,4.17777777777778,0,0,0,18.6410256410256,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
