"","2017-04-02","2017-04-03","2017-04-04","2017-04-05","2017-04-06","2017-04-07","2017-04-08","2017-04-09","2017-04-10","2017-04-11","2017-04-12","2017-04-13","2017-04-14","2017-04-15","2017-04-16","2017-04-17","2017-04-18","2017-04-19","2017-04-20","2017-04-21","2017-04-22","2017-04-23","2017-04-24","2017-04-25","2017-04-26","2017-04-27","2017-04-28","2017-04-29","2017-04-30","2017-05-01","2017-05-02","2017-05-03","2017-05-04","2017-05-05","2017-05-06","2017-05-07","2017-05-08","2017-05-09","2017-05-10","2017-05-11","2017-05-12","2017-05-13","2017-05-14","2017-05-15","2017-05-16","2017-05-17","2017-05-18","2017-05-19","2017-05-20","2017-05-21","2017-05-22","2017-05-23","2017-05-24","2017-05-25","2017-05-26","2017-05-27","2017-05-28","2017-05-29","2017-05-30","2017-05-31","2017-06-01","2017-06-02","2017-06-03","2017-06-04","2017-06-05","2017-06-06","2017-06-07","2017-06-08","2017-06-09","2017-06-10","2017-06-11","2017-06-12","2017-06-13","2017-06-14","2017-06-15","2017-06-16","2017-06-17","2017-06-18","2017-06-19","2017-06-20","2017-06-21","2017-06-22","2017-06-23","2017-06-24","2017-06-25","2017-06-26","2017-06-27","2017-06-29","2017-06-30","2017-07-01","2017-07-02","2017-07-03","2017-07-04","2017-07-05","2017-07-06","2017-07-07","2017-07-08","2017-07-14","2017-07-15","2017-07-17","2017-07-18","2017-07-19","2017-07-20","2017-07-21","2017-07-22","2017-07-23","2017-07-24","2017-07-25","2017-07-26","2017-07-27","2017-07-28","2017-07-29","2017-07-30"
"Nomar Mazara_TEX",NA,NA,10,24,NA,32,0,6,NA,8,7,16,5,0,19,23,2,0,0,2,2,6,0,0,NA,NA,0,9,5,3,23,5,7,4,2,NA,NA,11,9,NA,3,14,8,NA,17,11,16,NA,9,NA,NA,6,NA,8,5,2,8,21,8,5,NA,NA,2,3,NA,25,7,NA,10,11,2,18,4,0,NA,NA,NA,0,18,14,3,2,2,NA,NA,9,2,14,4,14,NA,5,NA,2,NA,29,7,5,0,2,0,2,NA,0,0,6,0,13,15,NA,23,2,18
"Lucas Duda_TB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,9
"Yuli Gurriel_HOU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5,19,9,NA,17,0,13,NA,10,6,0,26,3,4,9,0,NA,7,3,3,0,NA,2,5,0,NA,NA,8,25,5,0,NA,0,0,NA,3,16,4,NA,3,0,16,NA,5,11,NA,9,NA,21,22,18,3,7,NA,5,14,0,3,6,NA,5,7,10,NA,9,8,8,0,8,16,NA,3,NA,0,28,28,NA,23,6,0,NA,3,7,10,14,2,2,NA,27,16,0,11,10,0,NA,0,0,NA
"Marcus Semien_OAK",NA,NA,9,3,NA,4,19,3,0,NA,13,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,14,2,0,0,2,9,NA,23,12,17,4,3,18,15,10,3,0
"Jean Segura_SEA",NA,NA,0,19,13,7,13,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,19,3,5,0,7,NA,12,28,16,11,13,10,NA,15,3,14,3,8,8,9,5,9,22,0,2,NA,NA,6,0,10,16,0,10,6,17,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,5,8,3,0,NA,18,NA,9,0,20,0,16,26,14,5,14,12,11,15,0,13,3,0,0,0,11,4,5,NA,7,3,5
"Marwin Gonzalez_HOU",NA,NA,14,NA,16,NA,7,18,2,4,NA,NA,8,NA,NA,2,0,2,NA,NA,2,NA,NA,NA,12,19,NA,NA,18,NA,36,23,26,5,5,NA,NA,NA,3,NA,5,NA,NA,NA,14,2,NA,NA,NA,21,8,7,2,18,NA,8,14,19,4,25,NA,NA,13,5,9,NA,NA,NA,10,3,2,NA,0,15,NA,NA,5,0,3,NA,NA,21,10,NA,NA,NA,3,3,8,8,16,NA,16,14,14,9,14,24,5,NA,5,5,NA,8,NA,12,7,15,5,NA,14,5,0
"Josh Donaldson_TOR",NA,11,NA,3,4,23,9,14,NA,NA,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,0,9,19,NA,5,28,2,14,9,8,22,NA,8,2,26,NA,6,4,NA,5,NA,3,14,3,2,NA,5,5,11,NA,0,0,13,0,0,2,4,NA,14,5,26,9,2,4,3,3,11,4,0,5,9,4,9,17,2,5,NA
"Jose Abreu_CWS",NA,NA,NA,NA,NA,5,0,5,NA,NA,0,14,2,0,4,0,0,15,NA,0,2,12,12,8,14,NA,NA,32,13,0,5,14,23,11,19,2,NA,7,NA,0,0,7,8,16,5,21,0,20,14,NA,5,19,NA,NA,NA,7,8,0,9,0,NA,0,3,4,NA,5,5,5,8,15,4,14,13,10,NA,21,NA,7,NA,33,0,16,3,0,7,15,14,10,14,16,9,3,18,7,NA,11,13,0,4,NA,0,5,NA,8,5,12,10,9,3,28,0,20,7
"Mike Napoli_TEX",NA,NA,9,0,NA,0,14,2,NA,8,21,0,2,0,7,9,0,3,4,5,14,NA,11,0,0,NA,5,0,NA,19,0,3,9,0,19,5,0,NA,4,34,2,3,0,NA,24,6,NA,14,0,NA,NA,3,17,0,14,NA,0,NA,NA,7,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2,5,5,18,6,0,0,3,0,0,11,16,14,14,18,4,NA,5,5,NA,8,NA,3,7,21,2,2,6,0,22,9,NA,7,2,0
"Kyle Seager_SEA",NA,NA,5,8,5,0,7,2,10,5,7,NA,8,9,7,2,0,20,0,5,NA,NA,NA,NA,NA,12,0,16,5,NA,2,5,10,5,6,21,NA,12,8,3,3,0,3,16,14,5,0,0,3,NA,NA,6,7,7,7,0,10,9,32,8,3,0,0,7,NA,25,16,6,14,10,0,12,7,0,NA,0,NA,25,2,9,2,0,25,5,0,NA,0,NA,23,0,0,4,0,NA,7,4,3,5,14,24,7,0,7,9,4,10,14,9,3,NA,9,14,8
