"Player.Name","Likes","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","S.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Actual.FP","Opp.Rank","Opp.Pos.Rank","Wk.Lag1.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Value"
"DeVante Parker",14,5000,23.5,-0.06,0.08,0.05,0,0,0,7.3,7.3,0.3,8,13.2,13.2,4.4,22.1,12.9,9,9,10,4,13,22,1,0.165413533834586,2,2,2,0
"Michael Floyd",0,4900,23,-0.02,0.38,0.03,0,0,0,8,7.8,1.5,5.5,10.6,10.3,8.5,12,9.5,0,22,18,12.6,12,29,2,0.173652694610778,4,3,2,0
"Golden Tate",2,4900,21.3,-0.14,-0.3,-0.32,0.5,0.3,-3,6.3,6.5,0.5,3.7,4.5,6.2,2.4,10.1,12.8,7.5,1,5,3.1,14,28,0,0.175,5,2,6,0
"Phillip Dorsett",2,4800,25.8,-0.17,0.21,-0.05,0.3,0,3,4,4.5,0.5,11.9,7.8,9.2,4.1,14.3,14.7,4.6,12,14,13.7,9,17,1,0.0994152046783626,6,6,3,0
"Mohamed Sanu",0,4800,20.5,-0.27,0.11,-0.38,0,0,0,4,5,1.3,7.6,5.1,9.1,1,17.1,9.9,6.3,3,1,4.2,13,21,1,0.151079136690647,3,2,4,0
"Tyrell Williams",26,4700,23.5,0.26,0.32,0.35,0,0,0,7.7,7,2,8.6,12.3,11.5,8.5,14.5,11.2,25.7,31,31,9,16,27,1,0.183673469387755,2,2,2,1
"Quincy Enunwa",22,4600,20,0.21,-0.23,0.02,0,0,0,8,8,1,7.6,11.6,13.3,8.8,17.9,12.7,9.1,17,7,12,23,33,1,0.215686274509804,1,2,2,0
"Jamison Crowder",1,4600,20.3,-0.28,-0.22,0.03,0,0,0,6,7,1.8,7,12.6,12.4,6.3,18.5,9.9,12.5,6,19,4.1,18,27,2,0.175324675324675,2,3,1,0
"Victor Cruz",3,4500,21,0.25,-0.58,-0.06,0,0,0,6.7,6,1,10.2,10.7,11.4,9.7,13,8.3,0,23,30,10,16,25,1,0.158227848101266,3,3,2,0
"John Brown",0,4400,23,-0.02,0.38,0.03,0,0,0,10,8.5,0.5,6.9,14.3,11.1,-0.8,23.1,13.9,2.1,22,18,27.4,18,33,0,0.197604790419162,2,2,4,0
"Tajae Sharpe",4,4400,21,0.09,0.27,0.22,0,0,0,7,8,0.8,5.4,6.2,8.3,3.7,12.9,10.4,3.7,19,29,3.5,17,35,0,0.25,2,1,4,0
