"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Actual_fpts"
"P","Jose De Leon",7800,"TB@NYY 01:05PM ET",0,"TB",NA,NA,NA,NA,NA
"OF","Mookie Betts",5100,"Bos@Det 01:10PM ET",5,"Bos",7.81,9.4,8.84,8.9,0
"1B","Miguel Cabrera",5000,"Bos@Det 01:10PM ET",2,"Det",7.93,8.6,8.51,8.2,0
"C","Gary Sanchez",4900,"TB@NYY 01:05PM ET",4.8,"NYY",NA,0,NA,0,0
"OF","JD. Martinez",4600,"Bos@Det 01:10PM ET",0,"Det",NA,0,NA,0,0
"2B","Ian Kinsler",4500,"Bos@Det 01:10PM ET",9.75,"Det",6.46,7.7,7.9,7.9,16
"3B","Evan Longoria",4400,"TB@NYY 01:05PM ET",10.333,"TB",7,7.8,8.22,8,5
"2B","Jose Altuve",4400,"Hou@Sea 05:10PM ET",2,"Hou",9.9,7.9,8.59,9.9,4
"OF","Nelson Cruz",4400,"Hou@Sea 05:10PM ET",3,"Sea",7.47,7,8.54,8.1,15
"1B/OF","Hanley Ramirez",4300,"Bos@Det 01:10PM ET",4,"Bos",NA,0,1.66,0,0
"OF","Justin Upton",4300,"Bos@Det 01:10PM ET",5,"Det",6.01,0,1.8,0,0
"2B","Robinson Cano",4300,"Hou@Sea 05:10PM ET",3.5,"Sea",9.52,8.8,8.21,8.7,11
"2B/SS","Jean Segura",4300,"Hou@Sea 05:10PM ET",9.667,"Sea",6.91,7.2,8.04,8.6,0
"SS","Carlos Correa",4300,"Hou@Sea 05:10PM ET",5.833,"Hou",9.03,7.1,7.87,8.8,9
"1B","Paul Goldschmidt",4300,"Ari@SF 04:35PM ET",14.167,"Ari",10.12,9.4,9.26,9.6,0
"1B","Chris Carter",4200,"TB@NYY 01:05PM ET",0.667,"NYY",NA,7.2,8.3,7.2,12
"3B/SS","Xander Bogaerts",4100,"Bos@Det 01:10PM ET",8,"Bos",6.5,0,1.54,2.4,0
"1B/OF","Matt Holliday",4000,"TB@NYY 01:05PM ET",8.6,"NYY",6.86,7.4,8.06,7.3,12
"2B/SS","Pete Kozma",4000,"TB@NYY 01:05PM ET",0,"NYY",NA,0,1.41,2,0
"OF","Mallex Smith",4000,"TB@NYY 01:05PM ET",9.75,"TB",4.85,7.5,6.51,7.6,0
"3B","Kyle Seager",4000,"Hou@Sea 05:10PM ET",4.833,"Sea",7.66,8.3,7.37,8.4,10
"OF","George Springer",4000,"Hou@Sea 05:10PM ET",11,"Hou",9.84,8.4,7.76,9.5,0
"3B","Nicholas Castellanos",3900,"Bos@Det 01:10PM ET",9.25,"Det",NA,NA,NA,NA,NA
"OF","Jackie Bradley",3900,"Bos@Det 01:10PM ET",9,"Bos",5.9,0,1.57,0,0
"OF","Lorenzo Cain",3900,"Oak@KC 04:15PM ET",8.4,"KC",6.75,7.2,8.84,7.8,12
"SS","Brad Miller",3900,"TB@NYY 01:05PM ET",6.167,"TB",5.6,8.5,7.28,8.4,0
"OF","Brett Gardner",3900,"TB@NYY 01:05PM ET",10.8,"NYY",7.08,7.7,7.81,7.6,17
"1B","Victor Martinez",3800,"Bos@Det 01:10PM ET",4,"Det",6.64,7.3,7.17,7,3
"2B","Dustin Pedroia",3800,"Bos@Det 01:10PM ET",5.75,"Bos",5.98,7.4,7.45,7,3
"1B","Eric Hosmer",3800,"Oak@KC 04:15PM ET",5,"KC",7.46,7.9,8.09,7.9,2
"OF","Khris Davis",3800,"Oak@KC 04:15PM ET",11.667,"Oak",7.41,8.4,8.43,9,16
"OF","Jacoby Ellsbury",3800,"TB@NYY 01:05PM ET",8,"NYY",6.58,7.4,7.43,7.6,7
"OF","Steven Souza",3800,"TB@NYY 01:05PM ET",8.167,"TB",NA,7.3,7.19,7.1,0
