"","2017-04-02","2017-04-03","2017-04-04","2017-04-05","2017-04-06","2017-04-07","2017-04-08","2017-04-09"
"Mookie Betts_BOS",NA,5,NA,NA,NA,NA,NA,6
"Miguel Cabrera_DET",NA,NA,NA,NA,NA,NA,2,6
"Gary Sanchez_NYY",0,NA,0,3,NA,21,0,NA
"JD Martinez_DET",NA,NA,NA,NA,NA,NA,NA,NA
"Ian Kinsler_DET",NA,NA,NA,NA,NA,NA,5,14
"Evan Longoria_TB",21,NA,7,2,7,20,5,0
"Jose Altuve_HOU",NA,NA,3,0,3,0,3,13
"Nelson Cruz_SEA",NA,NA,0,7,2,5,2,2
"Hanley Ramirez_BOS",NA,3,NA,5,NA,NA,NA,NA
"Justin Upton_DET",NA,NA,NA,NA,NA,NA,0,5
"Robinson Cano_SEA",NA,NA,7,2,3,3,3,27
"Jean Segura_SEA",NA,NA,0,19,13,7,13,16
"Carlos Correa_HOU",NA,NA,2,6,2,5,4,8
"Paul Goldschmidt_ARI",8,NA,18,11,19,17,12,8
"Chris Carter_NYY",NA,NA,NA,NA,NA,NA,0,7
"Xander Bogaerts_BOS",NA,16,NA,0,NA,NA,NA,NA
"Matt Holliday_NYY",0,NA,9,3,NA,25,6,10
"Pete Kozma_NYY",NA,NA,NA,NA,NA,NA,NA,NA
"Mallex Smith_TB",3,NA,NA,10,0,NA,26,0
"Kyle Seager_SEA",NA,NA,5,8,5,0,7,2
"George Springer_HOU",NA,NA,5,27,16,2,2,19
"Nicholas Castellanos_DET",NA,NA,NA,NA,NA,NA,NA,NA
"Jackie Bradley_BOS",NA,12,NA,15,NA,NA,2,NA
"Lorenzo Cain_KC",NA,9,NA,NA,NA,10,9,0
"Brad Miller_TB",8,NA,0,0,7,11,11,6
"Brett Gardner_NYY",3,NA,9,5,NA,27,10,2
"Victor Martinez_DET",NA,NA,NA,NA,NA,NA,2,8
"Dustin Pedroia_BOS",NA,7,NA,5,NA,NA,5,3
"Eric Hosmer_KC",NA,0,NA,NA,NA,3,16,3
"Khris Davis_OAK",NA,NA,2,5,NA,14,7,8
"Jacoby Ellsbury_NYY",2,NA,10,20,NA,3,5,NA
"Steven Souza_TB",2,NA,6,5,13,13,10,24
"Aaron Judge_NYY",7,NA,5,0,NA,2,NA,23
"Andrew Benintendi_BOS",NA,18,NA,3,NA,NA,3,5
"Wilson Ramos_TB",NA,NA,NA,NA,NA,NA,NA,NA
"Kevin Kiermaier_TB",21,NA,3,3,2,12,2,16
"Hunter Pence_SF",5,NA,11,15,4,NA,0,16
"Rajai Davis_OAK",NA,NA,17,0,NA,0,14,4
"Alex Gordon_KC",NA,3,NA,NA,NA,14,11,6
"Colby Rasmus_TB",NA,NA,NA,NA,NA,NA,NA,NA
"Corey Dickerson_TB",5,NA,NA,19,8,NA,7,16
"Alex Bregman_HOU",NA,NA,0,7,NA,5,3,0
"Buster Posey_SF",2,NA,4,10,12,NA,5,21
"Brandon Belt_SF",4,NA,10,24,9,NA,5,6
"Eduardo Nunez_SF",25,NA,10,13,2,NA,5,7
"Pablo Sandoval_BOS",NA,7,NA,4,NA,NA,0,0
"Brandon Moss_KC",NA,0,NA,NA,NA,8,NA,14
"Jorge Soler_KC",NA,NA,NA,NA,NA,NA,NA,NA
"Logan Morrison_TB",24,NA,NA,8,5,NA,0,0
"Matt Duffy_TB",NA,NA,NA,NA,NA,NA,NA,NA
"Starlin Castro_NYY",11,NA,0,0,NA,6,8,7
"Didi Gregorius_NYY",NA,NA,NA,NA,NA,NA,NA,NA
"Evan Gattis_HOU",NA,NA,2,14,NA,3,NA,16
"Mitch Haniger_SEA",NA,NA,7,11,21,5,16,18
"Denard Span_SF",6,NA,NA,NA,NA,NA,2,5
"AJ Pollock_ARI",24,NA,10,17,11,0,NA,0
"Whit Merrifield_KC",NA,NA,NA,NA,NA,NA,NA,NA
"Trevor Plouffe_OAK",NA,NA,0,3,NA,0,NA,3
"Peter O'Brien_KC",NA,NA,NA,NA,NA,NA,NA,NA
"Greg Bird_NYY",NA,NA,NA,NA,NA,NA,NA,NA
"Carlos Beltran_HOU",NA,NA,0,6,3,10,10,NA
"Joe Panik_SF",12,NA,17,5,NA,NA,3,NA
"Jake Lamb_ARI",0,NA,20,7,20,12,9,5
"Salvador Perez_KC",NA,3,NA,NA,NA,19,14,14
"Ryon Healy_OAK",NA,NA,19,0,NA,0,5,0
"Marcus Semien_OAK",NA,NA,9,3,NA,4,19,3
"Danny Valencia_SEA",NA,NA,8,0,2,3,5,2
"Brandon Crawford_SF",10,NA,21,7,7,NA,5,8
"Yasmany Tomas_ARI",0,NA,0,10,NA,16,20,NA
"Brock Holt_BOS",NA,NA,NA,NA,NA,NA,2,NA
"Cheslor Cuthbert_KC",NA,NA,NA,NA,NA,NA,17,NA
"Alcides Escobar_KC",NA,0,NA,NA,NA,10,4,3
"Jake Bauers_TB",NA,NA,NA,NA,NA,NA,NA,NA
"Tim Beckham_TB",7,NA,3,0,0,7,0,NA
"Chase Headley_NYY",13,NA,24,10,NA,0,6,4
"Taylor Motter_SEA",NA,NA,NA,NA,NA,NA,NA,4
"Josh Reddick_HOU",NA,NA,3,5,NA,3,NA,5
"Leonys Martin_SEA",NA,NA,0,12,0,NA,0,3
"David Peralta_ARI",0,NA,0,NA,25,6,16,8
"Mitch Moreland_BOS",NA,0,NA,0,NA,NA,10,13
"Stephen Vogt_OAK",NA,NA,0,5,NA,5,2,NA
"Mike Moustakas_KC",NA,14,NA,NA,NA,7,NA,17
"Paulo Orlando_KC",NA,0,NA,NA,NA,2,0,7
"Billy Burns_KC",NA,NA,NA,NA,NA,NA,NA,NA
"Brian McCann_HOU",NA,NA,14,NA,3,NA,17,7
"Norichika Aoki_HOU",NA,NA,NA,NA,5,0,NA,0
"Alex Avila_DET",NA,NA,NA,NA,NA,NA,NA,7
"Chris Young_BOS",NA,NA,NA,4,NA,NA,0,12
"Aaron Hicks_NYY",NA,NA,NA,NA,NA,NA,11,3
"Yuli Gurriel_HOU",NA,NA,NA,NA,NA,NA,NA,NA
"Jarrod Dyson_SEA",NA,NA,5,8,5,2,2,NA
"Derek Fisher_HOU",NA,NA,NA,NA,NA,NA,NA,NA
"Brandon Drury_ARI",3,NA,9,7,NA,15,21,2
"Chris Owings_ARI",8,NA,5,26,0,NA,7,32
"Jarrett Parker_SF",0,NA,NA,0,NA,NA,0,NA
"James McCann_DET",NA,NA,NA,NA,NA,NA,16,NA
"JaCoby Jones_DET",NA,NA,NA,NA,NA,NA,9,NA
"Josh Phegley_OAK",NA,NA,NA,NA,NA,NA,NA,6
"Mark Canha_OAK",NA,NA,NA,NA,NA,NA,0,7
"Mike Zunino_SEA",NA,NA,3,5,NA,3,5,NA
"Ben Gamel_SEA",NA,NA,NA,NA,NA,NA,NA,NA
"Nick Hundley_SF",NA,NA,NA,NA,NA,NA,NA,NA
"Sandy Leon_BOS",NA,8,NA,26,NA,NA,NA,14
"Marco Hernandez_BOS",NA,NA,NA,NA,NA,NA,3,13
"Dixon Machado_DET",NA,NA,NA,NA,NA,NA,NA,NA
"Steve Selsky_BOS",NA,NA,NA,NA,NA,NA,NA,5
"Mikie Mahtook_DET",NA,NA,NA,NA,NA,NA,2,NA
"Tyler Collins_DET",NA,NA,NA,NA,NA,NA,NA,3
"Yonder Alonso_OAK",NA,NA,7,3,NA,14,21,NA
"Ryan O'Hearn_KC",NA,NA,NA,NA,NA,NA,NA,NA
"Gleyber Torres_NYY",NA,NA,NA,NA,NA,NA,NA,NA
"Jeremy Hazelbaker_ARI",NA,NA,NA,NA,NA,NA,13,NA
"Mac Williamson_SF",NA,NA,NA,NA,NA,NA,NA,NA
"Jose Iglesias_DET",NA,NA,NA,NA,NA,NA,23,0
"Jed Lowrie_OAK",NA,NA,24,0,NA,4,15,2
"Terrance Gore_KC",NA,NA,NA,NA,NA,NA,NA,NA
"Austin Romine_NYY",NA,NA,NA,NA,NA,NA,NA,9
"Curt Casali_TB",NA,NA,NA,NA,NA,NA,NA,NA
"Marwin Gonzalez_HOU",NA,NA,14,NA,16,NA,7,18
"Guillermo Heredia_SEA",NA,NA,NA,NA,NA,0,NA,NA
"Chris Herrmann_ARI",NA,NA,NA,NA,10,NA,NA,0
"Kelby Tomlinson_SF",NA,NA,NA,NA,NA,NA,NA,NA
"Christian Vazquez_BOS",NA,NA,NA,NA,NA,NA,9,NA
"Josh Rutledge_BOS",NA,NA,NA,NA,NA,NA,NA,NA
"Deven Marrero_BOS",NA,NA,NA,NA,NA,NA,NA,NA
"Christian Colon_KC",NA,NA,NA,NA,NA,NA,0,NA
"Jake Smolinski_OAK",NA,NA,NA,NA,NA,NA,NA,NA
"Derek Norris_TB",3,NA,0,14,NA,11,5,NA
"Ronald Torreyes_NYY",2,NA,16,0,NA,0,10,18
"Daniel Robertson_TB",NA,NA,0,NA,NA,3,NA,8
