"Anthony Rizzo_CHC","Kris Bryant_CHC","Freddie Freeman_ATL","Javier Baez_CHC","Corey Seager_LAD","Kyle Schwarber_CHC","Brandon Phillips_ATL","Matt Kemp_ATL","Ben Zobrist_CHC","Ender Inciarte_ATL","Buster Posey_SF","Cody Bellinger_LAD","Hunter Pence_SF","Ian Happ_CHC","Eduardo Nunez_SF","Brandon Belt_SF","Joe Panik_SF","Yasmani Grandal_LAD","Denard Span_SF","Jason Heyward_CHC","Chris Taylor_LAD","Yasiel Puig_LAD","Brandon Crawford_SF","Dansby Swanson_ATL","Justin Turner_LAD","Logan Forsythe_LAD","Willson Contreras_CHC","Albert Almora_CHC","Nick Markakis_ATL","Matt Adams_ATL","Addison Russell_CHC","Tyler Flowers_ATL","Adonis Garcia_ATL","Adrian Gonzalez_LAD","Franklin Gutierrez_LAD","Joc Pederson_LAD","Jarrett Parker_SF","Miguel Montero_CHC","Jon Jay_CHC","Kurt Suzuki_ATL","Chase Utley_LAD","Trayce Thompson_LAD","Jeimer Candelario_CHC","Nick Hundley_SF","Mac Williamson_SF","Kike Hernandez_LAD","Andrew Toles_LAD","Austin Barnes_LAD","Danny Santana_ATL","Kelby Tomlinson_SF","Christian Arroyo_SF","Rob Segedin_LAD","Tommy La Stella_CHC","Jace Peterson_ATL","Micah Johnson_ATL","Andre Ethier_LAD","Aaron Hill_SF","Justin Ruggiano_SF","Rio Ruiz_ATL","Scott Van Slyke_LAD","Gorkys Hernandez_SF","Conor Gillaspie_SF","Michael Morse_SF","Tim Federowicz_SF","Eloy Jimenez_CHC","Anthony Recker_ATL","Chris Marrero_SF","Brett Eibner_LAD","Emilio Bonifacio_ATL","Lane Adams_ATL","Johan Camargo_ATL"
41,38,0,30,0,35,0,0,30,0,0,0,0,10,0,0,0,0,0,29,0,0,0,0,0,0,29,19,0,0,35,0,0,0,0,0,0,12,14,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,39,0,28,0,33,0,0,29,0,0,0,0,8,0,0,0,0,0,29,0,0,0,0,0,0,27,17,0,0,34,0,0,0,0,0,0,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,35,0,0,0,29,25,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,35,0,0,20,31,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
30,28,0,31,0,25,0,0,19,0,0,0,0,7,0,0,0,0,0,19,0,0,0,0,0,0,23,16,0,0,24,0,0,0,0,0,0,8,8,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,41,0,0,0,0,0,0,24,0,0,0,0,0,33,0,0,18,38,0,0,32,13,0,0,0,0,0,0,0,26,6,22,0,0,0,0,23,2,0,0,0,0,17,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0
35,33,0,25,0,36,0,0,27,0,0,0,0,8,0,0,0,0,0,27,0,0,0,0,0,0,25,14,0,0,29,0,0,0,0,0,0,11,13,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,29,0,0,0,35,25,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,35,3,0,22,25,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,2,0,0,0,0,18,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0
0,0,25,0,0,0,25,33,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,33,4,0,19,21,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,3,0,0,0,0,17,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
30,29,0,19,0,27,0,0,30,0,0,0,0,6,0,0,0,0,0,23,0,0,0,0,0,0,21,10,0,0,25,0,0,0,0,0,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,35,0,0,0,35,33,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,43,4,0,24,31,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,3,0,0,0,0,25,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,37,0,24,0,36,33,33,0,15,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,7,0,0,0,0,2,23,0,0,0,0,0,3,8,0,0,20,4,5,0,0,0,6,0,0,0,0
0,0,0,0,24,0,0,0,0,0,0,25,0,0,0,0,0,20,0,0,18,22,0,0,18,2,0,0,0,0,0,0,0,12,3,12,0,0,0,0,17,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,0,24,0,32,0,30,28,29,0,12,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,14,0,0,0,0,0,2,13,0,0,0,0,0,4,0,0,0,17,7,4,0,0,0,8,0,0,0,0
10,8,0,7,0,8,0,0,6,0,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0,0,6,4,0,0,7,0,0,0,0,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,36,0,30,0,43,38,39,0,20,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,13,7,0,0,0,0,2,24,0,0,0,0,0,4,7,0,0,21,6,5,0,0,0,9,0,0,0,0
0,0,0,0,0,0,0,0,0,0,33,0,28,0,38,42,38,0,22,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,13,7,0,0,0,0,3,23,0,0,0,0,0,4,7,0,0,18,7,5,0,0,0,9,0,0,0,0
0,0,0,0,0,0,0,0,0,0,33,0,29,0,39,38,43,0,21,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,15,7,0,0,0,0,2,24,0,0,0,0,0,2,8,0,0,19,8,7,0,0,0,7,0,0,0,0
0,0,0,0,33,0,0,0,0,0,0,20,0,0,0,0,0,34,0,0,14,32,0,0,26,10,0,0,0,0,0,0,0,24,2,20,0,0,0,0,22,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,15,0,12,0,20,22,21,0,23,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,7,0,0,0,0,0,10,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,6,0,0,0,0
29,29,0,19,0,27,0,0,23,0,0,0,0,4,0,0,0,0,0,29,0,0,0,0,0,0,20,11,0,0,26,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,18,0,0,0,0,0,0,18,0,0,0,0,0,14,0,0,21,19,0,0,14,0,0,0,0,0,0,0,0,7,4,11,0,0,0,0,10,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0
0,0,0,0,38,0,0,0,0,0,0,22,0,0,0,0,0,32,0,0,19,41,0,0,33,13,0,0,0,0,0,0,0,25,6,23,0,0,0,0,21,2,0,0,0,0,17,9,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,0,24,0,18,0,28,29,28,0,22,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,11,7,0,0,0,0,0,12,0,0,0,0,0,3,7,0,0,8,2,0,0,0,0,8,0,0,0,0
0,0,34,0,0,0,33,31,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,41,3,0,23,30,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,3,0,0,0,0,23,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0
0,0,0,0,32,0,0,0,0,0,0,18,0,0,0,0,0,26,0,0,14,33,0,0,35,10,0,0,0,0,0,0,0,20,6,20,0,0,0,0,16,2,0,0,0,0,16,9,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,13,0,0,0,0,0,0,2,0,0,0,0,0,10,0,0,0,13,0,0,10,13,0,0,0,0,0,0,0,11,3,7,0,0,0,0,3,2,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
29,27,0,23,0,25,0,0,21,0,0,0,0,6,0,0,0,0,0,20,0,0,0,0,0,0,29,14,0,0,25,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,17,0,16,0,14,0,0,10,0,0,0,0,4,0,0,0,0,0,11,0,0,0,0,0,0,14,20,0,0,17,0,0,0,0,0,0,6,5,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
