"Cody Bellinger_LAD","Michael Conforto_NYM","Chris Taylor_LAD","Corey Seager_LAD","Yoenis Cespedes_NYM","Jay Bruce_NYM","Justin Turner_LAD","Lucas Duda_NYM","Yasmani Grandal_LAD","Asdrubal Cabrera_NYM","Miguel Sano_MIN","Wilmer Flores_NYM","Brian Dozier_MIN","Yasiel Puig_LAD","Neil Walker_NYM","Wil Myers_SD","Cory Spangenberg_SD","Adrian Gonzalez_LAD","Chase Utley_LAD","Eddie Rosario_MIN","Kike Hernandez_LAD","Austin Barnes_LAD","Jose Reyes_NYM","David Wright_NYM","Jose Pirela_SD","Ryan Schimpf_SD","Curtis Granderson_NYM","Travis d'Arnaud_NYM","Yangervis Solarte_SD","Hunter Renfroe_SD","Eduardo Escobar_MIN","Franklin Gutierrez_LAD","Max Kepler_MIN","Peter O'Brien_LAD","Alex Dickerson_SD","Joe Mauer_MIN","Joc Pederson_LAD","TJ Rivera_NYM","Kennys Vargas_MIN","Carlos Asuaje_SD","Amed Rosario_NYM","Trayce Thompson_LAD","Byron Buxton_MIN","Jabari Blash_SD","Hector Sanchez_SD","Travis Jankowski_SD","Brandon Nimmo_NYM","Logan Forsythe_LAD","Robbie Grossman_MIN","Andrew Toles_LAD","Willie Calhoun_LAD","Matt Szczur_SD","Jason Castro_MIN","Rob Segedin_LAD","Alex Verdugo_LAD","Juan Lagares_NYM","Chase d'Arnaud_SD","Matt Reynolds_NYM","Manuel Margot_SD","Gavin Cecchini_NYM","Andre Ethier_LAD","Zack Granite_MIN","Christian Bethancourt_SD","Austin Hedges_SD","Kevin Plawecki_NYM","Luis Urias_SD","Scott Van Slyke_LAD","Erick Aybar_SD","Ehire Adrianza_MIN","Franchy Cordero_SD","Rene Rivera_NYM","Chris Gimenez_MIN","Anthony Recker_MIN","Mike Freeman_LAD","Daniel Palka_MIN","Jorge Polanco_MIN","Brett Eibner_LAD","Dusty Coleman_SD","Jose Rondon_SD","Allen Cordoba_SD","Luis Torrens_SD"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,29,0,0,0,0,0,0,0,33,0,0,0,10,26,0,0,0,0,0,0,0,0,0,21,0,0,0,6,6,0,0,0,0,0,0,9,0,0,0,0,3,0,16,0,0,0,0,18,0,0,0,22,0,12,0,0,0,0,0,0,0,0,0,12,11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,15,0,0,0,0,0,0,0,0,43,0,0,42,41,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,13,0,0,0,0,0,6,0,0,0,0,3,0,33,0,0,0,0,34,0,0,0,37,0,5,0,0,0,0,0,0,0,0,0,16,7
0,45,0,0,27,65,0,46,0,47,0,37,0,0,51,0,0,0,0,0,0,0,57,0,0,0,70,37,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,0,2,0,0,0,0,5,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0
0,29,0,0,33,49,0,37,0,39,0,26,0,0,28,0,0,0,0,0,0,0,44,0,0,0,37,50,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,34,0,0,0,0,0,0,0,10,42,0,0,66,63,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,13,0,0,0,0,0,14,0,0,0,0,9,0,41,0,0,0,0,53,0,0,0,47,0,16,0,0,0,0,0,0,0,0,0,29,12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,49,0,0,0,0,0,0,0,26,41,0,0,63,82,0,0,0,0,0,0,0,0,0,16,0,0,0,9,6,13,0,0,0,0,0,16,0,0,0,0,10,0,54,0,0,0,0,61,0,0,0,58,0,18,0,0,0,0,0,0,0,0,0,34,18
0,0,0,0,0,0,0,0,0,0,43,0,43,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,51,0,39,0,0,37,0,0,21,0,0,0,37,0,0,0,0,0,36,0,0,0,35,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,0,0,19,0,0,0,37,0,0,0,0,0
8,0,10,11,0,0,10,0,2,0,0,0,0,9,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,13,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
0,0,0,0,0,0,0,0,0,0,64,0,65,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,39,0,72,0,0,61,0,0,26,0,0,0,53,0,0,0,0,0,52,0,0,0,53,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,14,0,0,20,0,0,0,55,0,0,0,0,0
