"","2017-04-02","2017-04-03","2017-04-04","2017-04-05","2017-04-06","2017-04-07","2017-04-08","2017-04-09","2017-04-10","2017-04-11","2017-04-12","2017-04-13","2017-04-14","2017-04-15","2017-04-16","2017-04-17","2017-04-18","2017-04-19","2017-04-20","2017-04-21","2017-04-22","2017-04-23","2017-04-24","2017-04-25","2017-04-26","2017-04-27","2017-04-28","2017-04-29","2017-04-30","2017-05-01","2017-05-02","2017-05-03","2017-05-04","2017-05-05","2017-05-06","2017-05-07","2017-05-08","2017-05-09","2017-05-10","2017-05-11","2017-05-12","2017-05-13","2017-05-14","2017-05-15","2017-05-16","2017-05-17","2017-05-18","2017-05-19","2017-05-20","2017-05-21","2017-05-22","2017-05-23","2017-05-24","2017-05-25","2017-05-26","2017-05-27","2017-05-28","2017-05-29","2017-05-30","2017-05-31","2017-06-01","2017-06-02","2017-06-03","2017-06-04","2017-06-05","2017-06-06","2017-06-07","2017-06-08","2017-06-09","2017-06-10","2017-06-11","2017-06-12","2017-06-13","2017-06-14","2017-06-15","2017-06-16","2017-06-17","2017-06-18"
"Ryan Braun_MIL",NA,2,19,9,NA,7,NA,18,NA,10,0,18,16,8,18,33,10,NA,2,17,2,10,9,0,14,NA,22,2,2,NA,NA,NA,NA,NA,NA,NA,NA,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eric Thames_MIL",NA,13,NA,17,NA,NA,5,9,NA,NA,5,23,21,32,18,26,17,8,21,0,6,5,36,18,11,NA,7,2,3,11,0,NA,7,0,NA,26,NA,19,17,NA,2,6,13,NA,NA,NA,NA,11,NA,2,NA,12,NA,0,2,0,NA,2,17,27,0,4,NA,16,0,5,NA,20,7,0,0,NA,NA,25,21,22,16,2
"Keon Broxton_MIL",NA,7,2,NA,NA,NA,NA,0,NA,24,7,3,4,0,NA,0,0,0,NA,12,8,10,0,23,NA,NA,9,NA,8,3,NA,NA,27,5,NA,12,NA,42,12,5,5,15,16,0,5,3,NA,5,NA,10,NA,NA,NA,3,2,0,14,2,6,16,NA,5,7,0,NA,6,0,0,NA,NA,14,NA,28,4,16,18,16,3
"Starling Marte_PIT",NA,2,NA,3,NA,NA,7,27,3,10,0,2,NA,28,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Matt Kemp_ATL",NA,5,NA,21,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,19,NA,NA,10,2,11,46,5,17,7,5,NA,3,NA,10,NA,12,3,NA,8,3,2,24,18,6,3,22,14,8,0,7,10,3,3,5,11,4,19,17,NA,11,5,0,0,3,2,10,13,0,5,17,7,NA,NA,NA,NA,5
"Adam Frazier_PIT",NA,7,NA,3,NA,NA,5,13,2,NA,0,NA,NA,17,26,0,5,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,13,NA,10,8,NA,NA,20,10,7,6,38,18,0,3,0,NA,NA,0,NA,9,5,14,NA,6,NA,0,16,8,13,NA,0,14,NA,7,9,2
"Eduardo Nunez_SF",25,NA,10,13,2,NA,5,7,3,19,NA,2,9,0,0,NA,3,0,NA,19,3,0,2,5,0,3,NA,10,5,5,5,8,NA,9,NA,2,0,0,8,0,5,NA,20,21,8,14,NA,14,8,14,10,3,8,NA,11,2,12,NA,7,5,NA,23,3,16,19,11,10,20,3,4,24,NA,5,NA,3,NA,NA,NA
"Travis Shaw_MIL",NA,12,16,16,NA,7,9,0,NA,12,0,0,7,NA,14,0,35,16,21,3,7,2,NA,9,13,NA,0,2,NA,21,3,NA,19,0,NA,14,NA,9,17,5,3,28,5,NA,NA,12,NA,7,NA,19,NA,0,NA,NA,6,9,10,5,10,17,2,NA,33,2,NA,NA,9,21,NA,NA,NA,NA,21,8,13,18,0,3
"Freddie Freeman_ATL",NA,14,NA,2,0,NA,5,43,NA,5,16,NA,12,5,8,40,10,23,0,14,16,4,NA,NA,10,16,16,22,16,11,20,5,NA,4,NA,25,NA,0,16,NA,11,14,6,20,23,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Matt Adams_ATL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,26,8,7,5,0,0,11,3,NA,NA,2,37,19,5,5,20,8,2,0,0,39,12,NA,NA,3,32,2
"Andrew McCutchen_PIT",NA,0,NA,0,NA,NA,2,0,5,8,10,16,NA,18,10,3,8,2,NA,5,25,7,4,2,7,NA,12,4,7,16,4,16,3,0,NA,NA,7,7,0,0,3,7,21,NA,0,24,NA,2,5,2,0,0,NA,NA,3,27,3,18,3,14,NA,11,4,28,NA,7,15,0,10,19,11,9,30,3,NA,14,14,0
"Jonathan Villar_MIL",NA,13,0,19,NA,0,22,0,NA,0,17,2,28,4,NA,0,0,5,10,6,5,11,4,16,8,NA,5,17,0,23,0,NA,0,8,NA,10,NA,9,NA,10,9,15,23,2,0,NA,NA,2,NA,20,NA,24,NA,0,4,NA,8,2,2,NA,5,10,7,NA,0,NA,22,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brandon Phillips_ATL",NA,3,NA,5,0,NA,19,6,NA,24,4,NA,3,14,24,5,3,5,10,3,21,11,NA,NA,3,NA,NA,3,NA,0,5,NA,NA,0,NA,NA,NA,2,0,NA,11,0,NA,2,14,9,5,19,10,NA,21,10,8,NA,5,5,0,NA,NA,0,NA,0,12,NA,8,10,5,10,0,3,0,5,11,NA,NA,0,17,9
"Ender Inciarte_ATL",NA,0,NA,4,3,NA,3,0,NA,8,30,NA,21,5,21,8,0,5,0,12,0,0,NA,NA,13,15,18,19,15,19,17,2,NA,14,NA,8,NA,7,2,NA,7,0,10,7,8,10,3,16,0,5,19,15,6,5,0,9,5,10,7,3,NA,15,0,38,16,3,14,7,0,0,5,7,8,NA,NA,5,0,8
"Josh Harrison_PIT",NA,7,NA,3,NA,NA,5,NA,NA,6,7,0,NA,14,11,4,3,3,NA,8,NA,6,12,3,21,NA,15,0,7,28,20,7,3,0,NA,NA,0,0,13,2,5,10,2,NA,19,NA,NA,5,12,8,3,9,12,15,11,7,6,0,5,4,NA,28,6,7,NA,12,3,8,13,5,10,23,0,3,NA,3,NA,0
"Josh Bell_PIT",NA,5,NA,0,NA,NA,NA,13,3,0,0,0,NA,3,NA,8,3,14,NA,16,5,NA,7,2,19,NA,9,5,26,2,0,5,10,21,NA,0,0,NA,0,NA,18,7,18,NA,7,18,NA,12,0,2,7,16,0,7,2,5,3,2,0,NA,NA,23,14,2,NA,7,2,NA,7,18,3,NA,7,2,NA,28,7,2
"Domingo Santana_MIL",NA,9,11,NA,NA,0,NA,16,NA,19,10,8,7,6,NA,10,4,NA,3,0,0,NA,13,0,NA,NA,NA,6,32,10,5,NA,7,NA,NA,0,NA,10,15,0,7,13,NA,17,7,5,NA,11,NA,NA,NA,2,NA,0,5,5,31,17,4,NA,8,14,11,14,10,8,19,15,11,4,3,NA,7,10,7,2,0,NA
"Nick Markakis_ATL",NA,0,NA,12,3,NA,11,10,NA,14,5,NA,11,5,9,0,5,8,7,3,0,3,NA,NA,17,13,5,15,5,4,7,5,NA,5,NA,5,NA,7,2,NA,10,13,7,16,11,9,3,9,0,5,0,14,9,3,7,5,10,0,3,2,NA,3,6,NA,5,5,27,5,3,4,6,24,3,NA,NA,0,13,9
"Joe Panik_SF",12,NA,17,5,NA,NA,3,NA,4,9,7,5,0,3,3,NA,17,0,NA,10,19,5,7,3,0,NA,8,2,7,3,5,12,NA,0,NA,3,6,0,4,3,5,8,14,0,NA,0,NA,4,3,5,30,0,0,0,NA,2,14,2,NA,5,NA,12,5,7,7,2,10,21,NA,NA,NA,NA,NA,NA,5,30,9,5
"Hernan Perez_MIL",NA,NA,NA,7,NA,3,NA,0,NA,3,NA,NA,NA,26,2,NA,NA,5,2,NA,NA,NA,32,38,7,NA,20,2,2,NA,3,NA,13,3,NA,0,NA,NA,10,0,22,7,16,15,5,3,NA,NA,NA,8,NA,5,NA,0,8,NA,2,NA,8,7,13,0,14,NA,7,14,5,NA,23,16,8,NA,6,5,8,NA,3,14
"Buster Posey_SF",2,NA,4,10,12,NA,5,21,2,NA,NA,NA,NA,NA,NA,NA,9,3,NA,5,3,3,6,10,8,4,NA,0,9,14,5,10,NA,11,NA,2,19,16,23,NA,3,NA,16,19,6,3,NA,4,5,NA,9,7,2,7,2,NA,4,8,13,7,NA,5,5,9,12,8,18,NA,0,9,23,NA,10,NA,24,NA,3,7
"Tyler Flowers_ATL",NA,3,NA,NA,3,NA,NA,8,NA,4,8,NA,10,NA,12,NA,NA,NA,NA,2,2,NA,NA,NA,18,NA,5,16,NA,3,NA,10,NA,4,NA,NA,NA,5,NA,NA,27,2,NA,7,7,NA,5,NA,19,NA,8,NA,2,NA,8,6,NA,5,16,3,NA,6,NA,19,2,NA,7,10,NA,0,9,18,2,NA,NA,3,21,NA
"Denard Span_SF",6,NA,NA,NA,NA,NA,2,5,5,NA,12,3,9,2,7,NA,0,NA,NA,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,19,3,12,5,5,NA,NA,10,5,0,NA,NA,14,9,3,7,4,0,NA,0,NA,27,5,9,7,6,5,12,0,5,NA,NA,0,NA,11,24,NA,21
"Eric Sogard_MIL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,20,4,NA,11,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,13,6,NA,NA,5,10,14,NA,24,0,0,0,NA,NA,18,12,3,5,10
"Hunter Pence_SF",5,NA,11,15,4,NA,0,16,10,14,5,5,15,0,2,NA,10,0,NA,5,NA,6,8,3,2,3,2,NA,4,16,3,10,NA,2,NA,3,16,0,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,3,NA,0,0,25,NA,2,NA,7,10,6,NA
"David Freese_PIT",NA,8,NA,5,NA,NA,NA,NA,2,5,19,9,NA,0,2,2,8,3,NA,10,14,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,NA,NA,2,4,NA,0,21,4,0,NA,18,5,0,9,10,NA,0,7,NA,8,3,17,NA,19,8,2,12,4,7,12,6,NA,NA,4,2,3
"Jordy Mercer_PIT",NA,5,NA,0,NA,NA,7,5,2,2,5,7,NA,NA,9,0,9,0,NA,18,7,4,0,3,5,NA,20,8,0,0,15,9,NA,4,NA,3,5,0,0,2,5,4,3,NA,7,3,NA,0,6,NA,8,21,24,16,3,10,2,16,0,17,NA,8,13,5,NA,10,3,0,10,17,5,5,12,NA,NA,3,7,14
"Brandon Belt_SF",4,NA,10,24,9,NA,5,6,4,0,6,3,5,NA,10,NA,5,3,NA,19,14,2,5,NA,4,7,17,9,0,NA,12,13,NA,2,NA,0,4,2,NA,16,5,16,18,5,19,NA,NA,13,0,3,19,0,8,7,2,23,4,6,0,5,NA,11,9,8,10,5,11,4,0,19,NA,NA,0,NA,6,0,NA,3
"Austin Slater_SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,20,0,8,26,NA,6,NA,14,9,3,0
"Adonis Garcia_ATL",NA,0,NA,9,3,NA,5,5,NA,5,0,NA,0,17,4,3,0,3,3,19,5,NA,NA,NA,8,5,16,6,0,7,12,3,NA,5,NA,13,NA,0,14,NA,0,NA,9,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,26,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dansby Swanson_ATL",NA,3,NA,3,0,NA,7,14,NA,2,3,NA,0,5,0,7,0,0,NA,0,5,3,NA,NA,5,2,13,19,3,2,9,10,NA,0,NA,5,NA,7,5,NA,7,5,5,14,19,0,3,25,11,9,7,2,NA,7,4,6,0,5,0,0,NA,17,7,5,NA,3,28,5,18,7,2,5,19,NA,NA,0,7,5
"Jesus Aguilar_MIL",NA,NA,5,NA,NA,10,0,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,25,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,10,3,NA,9,NA,2,20,5,NA,6,12,5,NA,4,NA,NA,20,NA,NA,NA,NA,NA
"Gregory Polanco_PIT",NA,3,NA,0,NA,NA,25,5,3,9,NA,15,NA,NA,NA,NA,2,2,NA,4,0,10,2,8,5,NA,7,14,9,0,NA,7,2,12,NA,14,3,2,0,14,12,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,3,19,8,NA,NA,NA,7,2,NA,NA,2,11,0,2,3,NA,5,3,0,NA,0,23,2
"Manny Pina_MIL",NA,NA,NA,0,NA,5,NA,NA,NA,11,NA,5,24,NA,7,NA,7,NA,NA,8,NA,16,10,8,NA,NA,NA,0,NA,8,NA,NA,NA,0,NA,NA,NA,2,NA,5,NA,NA,25,NA,11,NA,NA,NA,NA,NA,NA,5,NA,2,NA,NA,15,0,NA,7,NA,3,NA,4,3,NA,9,NA,21,0,NA,NA,12,3,NA,19,NA,17
"Brett Phillips_MIL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,NA,NA,NA,NA,NA,NA,NA,NA
"Nick Hundley_SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,19,9,NA,5,0,7,NA,7,5,NA,NA,NA,5,NA,0,NA,0,0,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,8,3,NA,0,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,0,26,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,10,NA,NA,9,NA,NA,NA,NA,3,7,NA
"Brandon Crawford_SF",10,NA,21,7,7,NA,5,8,9,NA,4,NA,19,0,12,NA,5,3,NA,3,0,0,10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,0,13,13,8,NA,NA,13,5,16,0,7,7,11,2,3,9,3,NA,0,NA,11,7,23,8,0,0,7,3,0,NA,NA,2,NA,26,0,NA,26
"Danny Santana_ATL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,9,0,NA,NA,NA,NA,35,NA,NA,NA,NA,10,0,NA,NA,NA,NA,NA,0,6,NA
"Jarrett Parker_SF",0,NA,NA,0,NA,NA,0,NA,7,NA,17,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jace Peterson_ATL",NA,NA,NA,NA,NA,NA,13,7,NA,NA,5,NA,2,NA,0,3,2,0,5,NA,NA,2,NA,NA,NA,8,8,NA,5,NA,NA,9,NA,NA,NA,11,NA,NA,NA,NA,NA,11,NA,2,5,4,3,2,5,0,NA,NA,9,0,NA,NA,NA,2,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Christian Arroyo_SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,8,14,0,3,12,8,0,NA,14,NA,5,0,4,14,3,5,NA,2,11,3,0,NA,12,9,7,0,0,2,0,0,NA,NA,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Orlando Calixte_SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,0,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"John Jaso_PIT",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,0,NA,NA,5,NA,NA,NA,18,7,NA,12,0,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,5,8,NA,NA,5,5,10,10,0,NA,NA,NA,NA,0,NA,11,NA,NA,NA,18,NA,10,NA,4,NA,NA,NA,NA,NA,3,NA,NA,0,NA
"Nick Franklin_MIL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,0,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jose Osuna_PIT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,0,20,NA,0,NA,20,NA,NA,2,13,NA,NA,0,NA,16,5,0,0,0,4,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,0,9,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,8,6,NA,NA,NA,NA,NA,NA
