"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"3B","Jake Lamb",5500,"CWS@ARI 09:40PM ET",10.429,"ARI","CWS",11.18,10.4,9.89,NA,"4","4",16
"1B","Paul Goldschmidt",5400,"CWS@ARI 09:40PM ET",11.5,"ARI","CWS",11.57,11.3,12.35,NA,"3","3",15
"OF","JD Martinez",5000,"DET@HOU 08:10PM ET",13.9,"DET","HOU",6.26,7.8,7.31,NA,"5","5",5
"2B","Jose Altuve",4900,"DET@HOU 08:10PM ET",9.386,"HOU","DET",9.09,8.7,10.32,NA,"3","3",0
"OF","AJ Pollock",4900,"CWS@ARI 09:40PM ET",9.135,"ARI","CWS",NA,0,NA,NA,"x","x",NA
"1B","Jose Abreu",4800,"CWS@ARI 09:40PM ET",8.095,"CWS","ARI",8.05,10.1,8.71,NA,"3","3",19
"SS","Carlos Correa",4700,"DET@HOU 08:10PM ET",8.268,"HOU","DET",NA,NA,NA,NA,"4","x",NA
"OF","David Peralta",4700,"CWS@ARI 09:40PM ET",7.711,"ARI","CWS",10.65,10.6,10.33,NA,"2","2",3
"OF","Avisail Garcia",4700,"CWS@ARI 09:40PM ET",9.429,"CWS","ARI",NA,NA,NA,NA,"4","x",NA
"OF/SS","Chris Owings",4500,"CWS@ARI 09:40PM ET",8.25,"ARI","CWS",NA,NA,NA,NA,"7","x",NA
"1B","Miguel Cabrera",4400,"DET@HOU 08:10PM ET",7.156,"DET","HOU",7.01,8,8.13,NA,"3","3",5
"SS","Tim Anderson",4400,"CWS@ARI 09:40PM ET",7,"CWS","ARI",NA,8.3,8.28,NA,"7","1",5
"OF","George Springer",4300,"DET@HOU 08:10PM ET",8.275,"HOU","DET",8.48,8.4,9.44,NA,"1","1",2
"OF","Yasmany Tomas",4300,"CWS@ARI 09:40PM ET",7.846,"ARI","CWS",8.48,8.8,9.2,NA,"5","5",8
"3B","Todd Frazier",4200,"CWS@ARI 09:40PM ET",6.297,"CWS","ARI",8.24,9.2,8.02,NA,"5","4",18
"2B","Ian Kinsler",4000,"DET@HOU 08:10PM ET",7.324,"DET","HOU",5.53,7.1,7.21,NA,"1","1",2
"OF","Melky Cabrera",3900,"CWS@ARI 09:40PM ET",6.025,"CWS","ARI",7.15,8.8,7.92,NA,"2","5",17
"1B/3B","Matt Davidson",3900,"CWS@ARI 09:40PM ET",7.25,"CWS","ARI",6.05,0,1.62,NA,"x","x",NA
"2B/3B","Yoan Moncada",3900,"CWS@ARI 09:40PM ET",0,"CWS","ARI",NA,0,NA,NA,"x","x",NA
"2B","Brandon Drury",3800,"CWS@ARI 09:40PM ET",6.825,"ARI","CWS",7.55,8,8.19,NA,"6","6",7
"OF","Justin Upton",3700,"DET@HOU 08:10PM ET",7.927,"DET","HOU",6.04,7.4,7.65,NA,"6","6",0
"3B/OF","Marwin Gonzalez",3700,"DET@HOU 08:10PM ET",7.865,"HOU","DET",5.91,7.2,1.78,NA,"x","5",7
"3B","Alex Bregman",3700,"DET@HOU 08:10PM ET",5.953,"HOU","DET",5.65,6.7,7.06,NA,"8","7",0
"OF","Carlos Beltran",3600,"DET@HOU 08:10PM ET",6.125,"HOU","DET",6.6,7.2,8.1,NA,"5","4",0
"OF","Josh Reddick",3600,"DET@HOU 08:10PM ET",6.977,"HOU","DET",6.91,8.8,9.11,NA,"2","2",14
"C","Evan Gattis",3600,"DET@HOU 08:10PM ET",6.862,"HOU","DET",NA,NA,NA,NA,"6","x",NA
"C/OF","Chris Herrmann",3600,"CWS@ARI 09:40PM ET",3.806,"ARI","CWS",6.38,7.4,1.9,NA,"8","7",14
"OF","Rey Fuentes",3600,"CWS@ARI 09:40PM ET",2.5,"ARI","CWS",NA,7,NA,NA,"x","1",NA
"1B","Victor Martinez",3500,"DET@HOU 08:10PM ET",6.526,"DET","HOU",5.8,6.8,1.47,NA,"4","4",4
"C","Brian McCann",3500,"DET@HOU 08:10PM ET",8.167,"HOU","DET",NA,0,NA,NA,"x","x",NA
"3B","Nicholas Castellanos",3500,"DET@HOU 08:10PM ET",7.256,"DET","HOU",NA,7.2,NA,NA,"2","2",NA
"OF","Jeremy Hazelbaker",3500,"CWS@ARI 09:40PM ET",2.952,"ARI","CWS",NA,0,NA,NA,"x","x",NA
"SS","Nick Ahmed",3500,"CWS@ARI 09:40PM ET",5.394,"ARI","CWS",5.92,6.2,1.76,NA,"x","8",0
"1B/C","Alex Avila",3400,"DET@HOU 08:10PM ET",8.148,"DET","HOU",4.83,0,1.51,NA,"x","x",NA
"OF","Leury Garcia",3400,"CWS@ARI 09:40PM ET",6.895,"CWS","ARI",5.71,9,6.24,NA,"1","6",3
"2B/SS","Tyler Saladino",3400,"CWS@ARI 09:40PM ET",5.393,"CWS","ARI",5.98,9.3,7.99,NA,"x","2",3
"2B","Yolmer Sanchez",3400,"CWS@ARI 09:40PM ET",6.581,"CWS","ARI",NA,NA,NA,NA,"6","x",NA
"OF","Charlie Tilson",3300,"CWS@ARI 09:40PM ET",0,"CWS","ARI",NA,0,NA,NA,"x","x",NA
"OF","Gregor Blanco",3200,"CWS@ARI 09:40PM ET",4.385,"ARI","CWS",NA,NA,NA,NA,"1","x",NA
"OF","Socrates Brito",3200,"CWS@ARI 09:40PM ET",0,"ARI","CWS",NA,0,NA,NA,"x","x",NA
"OF","Norichika Aoki",3100,"DET@HOU 08:10PM ET",4.469,"HOU","DET",NA,NA,NA,NA,"9","x",NA
"OF","Tyler Collins",3000,"DET@HOU 08:10PM ET",5.429,"DET","HOU",NA,NA,NA,NA,"7","x",NA
"OF","Derek Fisher",3000,"DET@HOU 08:10PM ET",0,"HOU","DET",NA,0,NA,NA,"x","x",NA
"1B","Yuli Gurriel",3000,"DET@HOU 08:10PM ET",5.667,"HOU","DET",6.04,6.7,7.15,NA,"7","6",16
"OF","Jacob May",3000,"CWS@ARI 09:40PM ET",1.6,"CWS","ARI",NA,0,NA,NA,"x","x",NA
"2B/OF","Andrew Romine",2900,"DET@HOU 08:10PM ET",5.485,"DET","HOU",4.34,0,1.36,NA,"x","x",NA
"OF","Jake Marisnick",2900,"DET@HOU 08:10PM ET",4.258,"HOU","DET",NA,5.4,NA,NA,"x","9",13
