"Place_lo","Place_hi","Payout"
"1","1","1000"
"2","2","750"
"3","3","600"
"4","4","500"
"5","5","400"
"6","7","300"
"8","11","200"
"12","15","150"
"16","25","100"
"26","40","80"
"41","65","60"
"66","90","50"
"91","140","40"
"141","190","30"
"191","240","25"
"241","339","20"
"340","541","15"
"542","961","12"
