"Player","Pos","Team","Opp","Runs","vs. Pitcher","Hand","ERA/AVG","wOBA","ISO","Avg innings","K/9","WHIP","Order","Salary","Ceiling","Avg","FC Proj","My Proj","Exposure","Con.","Value","Actual Score","Actual Val"
"Madison Bumgarner","P","SF","vs CHC",3.52,"Hendricks, R 3.81","L",2.88,0,0,6.6,8.5,1.03,NA,12600,31.7,19.3,21.87,21.87,"%",75,1.7,28.15,2.2
"Gio Gonzalez","P","WSH","vs MIA",3.87,"Conley, L 5.10","L",2.66,0,0,6.5,8.3,1.11,NA,11500,35.7,19.9,19.91,19.91,"%",60,1.7,24.95,2.2
"Zack Greinke","P","ARI","vs LAD",4.48,"Wood, L 2.39","R",3.08,0,0,6,9.9,1.03,NA,11000,40.6,21,17.38,17.38,"%",45,1.6,20.2,1.8
"Justin Verlander","P","DET","vs PIT",4.33,"Nova, R 3.66","R",4.2,0,0,6,8.9,1.39,NA,10500,39.9,15.9,16.74,16.74,"%",27,1.6,31,3
"Kevin Gausman","P","BAL","@ LAA",4.29,"Scribner, R 4.50","R",5.15,0,0,5.3,8.5,1.62,NA,9900,42.4,12,15.16,15.16,"%",0,1.5,10,1
"Alex Wood","P","LAD","@ ARI",4.53,"Greinke, R 3.08","L",2.39,0,0,5.3,9.5,1,NA,9700,37.3,19.6,15.52,15.52,"%",44,1.6,17.3,1.8
"Masahiro Tanaka","P","NYY","@ TOR",3.85,"Tepesch, R 5.40","R",4.93,0,0,5.9,9.6,1.26,NA,9400,47.4,16.5,17.59,17.59,"%",10,1.9,4.8,0.5
"Collin McHugh","P","HOU","@ CWS",4.1,"Gonzalez, R 5.51","R",3.24,0,0,5.6,9.2,1.08,NA,8800,27.9,16,13.87,13.87,"%",56,1.6,0.8,0.1
"Trevor Bauer","P","CLE","vs COL",3.72,"Senzatela, R 4.78","R",5,0,0,5.4,9.8,1.45,NA,8700,38.5,15.1,16.03,16.03,"%",26,1.8,27.55,3.2
"Kyle Hendricks","P","CHC","@ SF",3.98,"Bumgarner, L 2.88","R",3.81,0,0,5.6,7.4,1.21,NA,8600,25,14,13.15,13.15,"%",58,1.5,13.7,1.6
"Rick Porcello","P","BOS","@ TB",4.25,"Odorizzi, R 4.47","R",4.7,0,0,6.3,8.1,1.38,NA,8200,26.9,14.6,12.26,12.26,"%",50,1.5,23.9,2.9
"Jerad Eickhoff","P","PHI","@ ATL",5.04,"Newcomb, L 4.61","R",4.56,0,0,5.5,8.2,1.41,NA,7500,26,12.4,9.29,9.29,"%",33,1.2,21.6,2.9
"Ivan Nova","P","PIT","@ DET",4.67,"Verlander, R 4.20","R",3.66,0,0,6.5,5.5,1.18,NA,7300,29,14.7,10.48,10.48,"%",37,1.4,4.45,0.6
