QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Alex Smith (7498721),Mark Ingram (7498807),Carlos Hyde (7498817),Antonio Brown (7498956),Julio Jones (7498881),Jeremy Maclin (7498955),Hunter Henry (7499035),Jordan Howard (7498786),Jets  (7499379)
Philip Rivers (7498713),Melvin Gordon (7498809),Mark Ingram (7498807),Antonio Brown (7498956),Travis Benjamin (7498937),Cole Beasley (7498949),Travis Kelce (7499044),Rishard Matthews (7498838),Panthers  (7499384)
Brian Hoyer (7498697),Le'Veon Bell (7498829),Charles Sims (7498789),Antonio Brown (7498956),Alshon Jeffery (7498907),John Brown (7498928),Coby Fleener (7499031),Jordan Howard (7498786),Panthers  (7499384)
Ben Roethlisberger (7498722),Melvin Gordon (7498809),Charles Sims (7498789),Antonio Brown (7498956),Julio Jones (7498881),Kevin White (7498910),Zach Miller (7499006),Marquise Goodwin (7498872),Steelers  (7499398)
Ben Roethlisberger (7498722),David Johnson (7498800),Le'Veon Bell (7498829),Antonio Brown (7498956),Torrey Smith (7498945),Cole Beasley (7498949),Hunter Henry (7499035),LeGarrette Blount (7498755),Ravens  (7499386)
Kirk Cousins (7498671),David Johnson (7498800),Carlos Hyde (7498817),Antonio Brown (7498956),DeSean Jackson (7498845),Travis Benjamin (7498937),Zach Miller (7499006),John Brown (7498928),Raiders  (7499385)
Philip Rivers (7498713),David Johnson (7498800),Charles Sims (7498789),Julio Jones (7498881),Doug Baldwin (7498858),Travis Benjamin (7498937),Coby Fleener (7499031),Hunter Henry (7499035),Buccaneers  (7499390)
Brian Hoyer (7498697),David Johnson (7498800),Mark Ingram (7498807),Antonio Brown (7498956),Demaryius Thomas (7498914),Tyrell Williams (7498942),Jacob Tamme (7498993),Kevin White (7498910),Broncos  (7499389)
Kirk Cousins (7498671),Le'Veon Bell (7498829),Mark Ingram (7498807),Julio Jones (7498881),DeSean Jackson (7498845),Kevin White (7498910),Travis Kelce (7499044),Coby Fleener (7499031),Texans  (7499375)
Drew Brees (7498711),Charles Sims (7498789),Carlos Hyde (7498817),Antonio Brown (7498956),Willie Snead (7498939),Tyrell Williams (7498942),Travis Kelce (7499044),Torrey Smith (7498945),Texans  (7499375)
