QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Drew Brees (7147213),Lamar Miller (7147386),Spencer Ware (7147358),Julio Jones (7147473),Michael Crabtree (7147564),Willie Snead (7147570),Zach Ertz (7147805),Tajae Sharpe (7147509),Cardinals  (7148628)
Drew Brees (7147213),Doug Martin (7147277),Spencer Ware (7147358),Julio Jones (7147473),Amari Cooper (7147576),Willie Snead (7147570),Martellus Bennett (7147929),James White (7147466),Packers  (7148619)
Jameis Winston (7147189),Spencer Ware (7147358),James White (7147466),Julio Jones (7147473),DeAndre Hopkins (7147645),Mike Evans (7147483),Zach Ertz (7147805),Tajae Sharpe (7147509),Lions  (7148625)
Drew Brees (7147213),Spencer Ware (7147358),T.J. Yeldon (7147407),Julio Jones (7147473),Brandin Cooks (7147574),Amari Cooper (7147576),Jared Cook (7147878),Tajae Sharpe (7147509),Texans  (7148617)
Dak Prescott (7147263),Lamar Miller (7147386),Spencer Ware (7147358),Julio Jones (7147473),Odell Beckham (7147717),Terrance Williams (7147710),Zach Ertz (7147805),Martellus Bennett (7147929),Seahawks  (7148622)
Marcus Mariota (7147195),Lamar Miller (7147386),Spencer Ware (7147358),Julio Jones (7147473),DeAndre Hopkins (7147645),Stefon Diggs (7147508),Martellus Bennett (7147929),Tajae Sharpe (7147509),Packers  (7148619)
Drew Brees (7147213),Spencer Ware (7147358),Christine Michael (7147414),Julio Jones (7147473),Brandin Cooks (7147574),Michael Crabtree (7147564),Coby Fleener (7147830),James White (7147466),Colts  (7148626)
Jameis Winston (7147189),Doug Martin (7147277),Spencer Ware (7147358),Julio Jones (7147473),Mike Evans (7147483),Michael Crabtree (7147564),Jared Cook (7147878),T.J. Yeldon (7147407),Cardinals  (7148628)
Jameis Winston (7147189),Lamar Miller (7147386),LeSean McCoy (7147371),Julio Jones (7147473),Vincent Jackson (7147469),Tajae Sharpe (7147509),Coby Fleener (7147830),Spencer Ware (7147358),Seahawks  (7148622)
Dak Prescott (7147263),Spencer Ware (7147358),T.J. Yeldon (7147407),Julio Jones (7147473),Odell Beckham (7147717),Dez Bryant (7147707),Crockett Gillmore (7147859),Tajae Sharpe (7147509),Cardinals  (7148628)
Drew Brees (7147213),LeSean McCoy (7147371),T.J. Yeldon (7147407),Julio Jones (7147473),Michael Crabtree (7147564),Willie Snead (7147570),Coby Fleener (7147830),Jared Cook (7147878),Seahawks  (7148622)
Jameis Winston (7147189),Spencer Ware (7147358),Christine Michael (7147414),Julio Jones (7147473),Amari Cooper (7147576),Jeremy Maclin (7147586),Zach Ertz (7147805),Vincent Jackson (7147469),Cardinals  (7148628)
Jameis Winston (7147189),Doug Martin (7147277),Spencer Ware (7147358),Julio Jones (7147473),DeAndre Hopkins (7147645),Vincent Jackson (7147469),Delanie Walker (7147790),Martellus Bennett (7147929),Browns  (7148607)
Dak Prescott (7147263),LeSean McCoy (7147371),Spencer Ware (7147358),Julio Jones (7147473),DeAndre Hopkins (7147645),Sterling Shepard (7147720),Coby Fleener (7147830),Terrance Williams (7147710),Packers  (7148619)
Jameis Winston (7147189),Spencer Ware (7147358),Christine Michael (7147414),Julio Jones (7147473),Mike Evans (7147483),Golden Tate (7147732),Coby Fleener (7147830),Martellus Bennett (7147929),Packers  (7148619)
Carson Palmer (7147271),Doug Martin (7147277),Spencer Ware (7147358),Julio Jones (7147473),Larry Fitzgerald (7147754),Julian Edelman (7147756),Zach Ertz (7147805),Tajae Sharpe (7147509),Texans  (7148617)
