"Ryan Braun_Mil","Giancarlo Stanton_Mia","Joey Votto_Cin","Yoenis Cespedes_NYM","Manny Machado_Bal","Jonathan Villar_Mil","Josh Donaldson_Tor","Jose Bautista_Tor","Gary Sanchez_NYY","Evan Longoria_TB","Christian Yelich_Mia","Adam Duvall_Cin","Chris Carter_NYY","Keon Broxton_Mil","Billy Hamilton_Cin","Dee Gordon_Mia","Eric Hosmer_KC","Lorenzo Cain_KC","Domingo Santana_Mil","JT Realmuto_Mia","Nolan Arenado_Col","Khris Davis_Oak","Chris Davis_Bal","Brad Miller_TB","Mallex Smith_TB","Buster Posey_SF","Charlie Blackmon_Col","Mark Trumbo_Bal","Troy Tulowitzki_Tor","Brett Gardner_NYY","Eric Thames_Mil","Jose Peraza_Cin","Jose Reyes_NYM","Jay Bruce_NYM","Rajai Davis_Oak","Alex Gordon_KC","Devon Travis_Tor","Adam Jones_Bal","Matt Holliday_NYY","Jacoby Ellsbury_NYY","Steven Souza_TB","Aaron Judge_NYY","Hernan Perez_Mil","Curtis Granderson_NYM","Mark Reynolds_Col","Trevor Story_Col","Hunter Pence_SF","Brandon Moss_KC","Jorge Soler_KC","Russell Martin_Tor","Kendrys Morales_Tor","Kevin Kiermaier_TB","Scooter Gennett_Cin","Travis Shaw_Mil","Orlando Arcia_Mil","Scott Schebler_Cin","Eduardo Nunez_SF","Carlos Gonzalez_Col","Ian Desmond_Col","Whit Merrifield_KC","Trevor Plouffe_Oak","Peter O'Brien_KC","Craig Gentry_Bal","Wilson Ramos_TB","Colby Rasmus_TB","Corey Dickerson_TB","Nick Franklin_Mil","Eugenio Suarez_Cin","David Wright_NYM","Asdrubal Cabrera_NYM","Marcell Ozuna_Mia","Brandon Belt_SF","Denard Span_SF","Salvador Perez_KC","Ryon Healy_Oak","Marcus Semien_Oak","Logan Morrison_TB","Matt Duffy_TB","Starlin Castro_NYY","Didi Gregorius_NYY","Jesus Aguilar_Mil","Zack Cozart_Cin","Lucas Duda_NYM","Neil Walker_NYM","Joe Panik_SF","David Dahl_Col","Cheslor Cuthbert_KC","Alcides Escobar_KC","Welington Castillo_Bal","Steve Pearce_Tor","Jonathan Schoop_Bal","Greg Bird_NYY","Arismendy Alcantara_Cin","Martin Prado_Mia","Michael Conforto_NYM","DJ LeMahieu_Col","Brandon Crawford_SF","Stephen Vogt_Oak","Mike Moustakas_KC","Paulo Orlando_KC","Billy Burns_KC","Kevin Pillar_Tor","Pete Kozma_NYY","Andrew Susac_Mil","Kirk Nieuwenhuis_Mil","Seth Smith_Bal","Jake Bauers_TB","Tim Beckham_TB","Chase Headley_NYY","Jesse Winker_Cin","Justin Bour_Mia","Wilmer Flores_NYM","Stephen Cardullo_Col","Josh Phegley_Oak","Mark Canha_Oak","Hyun Soo Kim_Bal","Manny Pina_Mil","Derek Dietrich_Mia","Jarrett Parker_SF","Yonder Alonso_Oak","Ryan O'Hearn_KC","Justin Smoak_Tor","Trey Mancini_Bal","Rowdy Tellez_Tor","Dalton Pompey_Tor","Aaron Hicks_NYY","Jett Bandy_Mil","Travis d'Arnaud_NYM","Nick Hundley_SF","Gerardo Parra_Col","Jed Lowrie_Oak","Terrance Gore_KC","Derek Norris_TB","Peter Bourjos_TB","Devin Mesoraco_Cin","TJ Rivera_NYM","Brandon Nimmo_NYM","Mac Williamson_SF","Christian Colon_KC","Jake Smolinski_Oak","Jarrod Saltalamacchia_Tor","JJ Hardy_Bal","Ezequiel Carrera_Tor","Gleyber Torres_NYY","Tucker Barnhart_Cin","JT Riddle_Mia","Destin Hood_Mia","Kelby Tomlinson_SF","Joey Rickard_Bal","Austin Romine_NYY","Curt Casali_TB","Ichiro Suzuki_Mia","Juan Lagares_NYM","Dustin Garneau_Col","Raul Mondesi_KC","Matt Joyce_Oak","Ronald Torreyes_NYY","Daniel Robertson_TB","Stuart Turner_Cin","Patrick Kivlehan_Cin","Adeiny Hechavarria_Mia","Tom Murphy_Col","Gorkys Hernandez_SF","Adam Rosales_Oak","Darwin Barney_Tor","Jesus Sucre_TB","AJ Ellis_Mia","Conor Gillaspie_SF","Ryan Flaherty_Bal","Rickie Weeks_TB","Tim Federowicz_SF","Pat Valaika_Col","Caleb Joseph_Bal","Ryan Goins_Tor","Ty Kelly_Tor","Kyle Higashioka_NYY","Rene Rivera_NYM","Tyler Moore_Mia","Miguel Rojas_Mia","Tony Wolters_Col","Drew Butera_KC","Cristhian Adames_Col","Aaron Hill_SF","Chris Marrero_SF","Alexi Amarista_Col"
52.5714285714286,0,0,0,0,-40.0952380952381,0,0,0,0,0,0,0,-18.85,0,0,0,0,5.8,0,0,0,0,0,0,0,0,0,0,0,57.5,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,9.33333333333333,5.95238095238095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33333333333333,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,126.285714285714,0,0,0,0,0,0,0,0,-51.3095238095238,0,0,0,0,-17.9,0,0,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-68.1904761904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,-8.67361737988404e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.91666666666667,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,-86,0,0,0,0,0,0
0,0,23.4107142857143,0,0,0,0,0,0,0,0,-13.1607142857143,0,0,-3.61904761904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.95238095238095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-43,0,0,2.69047619047619,0,0,0,0,0,0,0,0,0,0,0,3.28571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,280.944444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.8571428571429,-50.4166666666667,0,0,0,0,0,0,0,0,0,62.8035714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.0694444444444,0,0,0,0,0,0,0,0,0,0,0,0,217.3,45.4305555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.095238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
0,0,0,0,45.1428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02380952380952,0,0,0,0,11.2857142857143,0,0,0,0,0,0,0,0,0,5.83333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.85714285714286,0,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.0952380952381,0,0,0,0,91.5535714285714,0,0,0,0,0,0,0,-14.8,0,0,0,0,-0.2,0,0,0,0,0,0,0,0,0,0,0,-46.7,0,0,0,0,0,0,0,0,0,0,0,25.3333333333333,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0.0535714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-36.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33333333333333,0,0,0,0,0,0,0,0,0,0,0,-33.4166666666667,0,0,0,0,0,0,0,0,0,28.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,48.2380952380952,10.3571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.2380952380952,0,0,0,0,0,0,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,1.66666666666667,8.14285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.55,0,0,0,0,0,0,0,0,0,0,0,8.09523809523809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,10.3571428571429,6.57142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1428571428571,0,0,0,0,0,0,0,-0.404761904761905,0,0,0,0,0,0,0,0,0,0,0,0,-1.61904761904762,8.85714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.6,0,0,0,0,0,0,0,0,0,0,0,1.42857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.83333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,83.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.7,0,0,0,0,0,0,0,0,81.9,-17.25,0,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-56.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,49.5277777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0357142857143,-15.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.01388888888889,0,0,0,0,0,0,0,0,0,0,44.5833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.6666666666667,0,0,0,0,0,0,0,0,0,0,46.0666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42857142857143,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,-14,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
