"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Actual_fpts"
"P","Jose De Leon",7600,"TB@NYY 07:05PM ET",0,"TB",NA,NA,NA,NA,NA
"OF","Ryan Braun",5100,"Mil@Cin 07:10PM ET",8.125,"Mil",9.39,9.8,9.82,8.5,18
"OF","Giancarlo Stanton",5000,"NYM@Mia 07:10PM ET",5.286,"Mia",7.44,8,8.77,7.9,9
"1B","Joey Votto",4900,"Mil@Cin 07:10PM ET",6.625,"Cin",7.06,9.4,9.59,9.2,2
"OF","Yoenis Cespedes",4800,"NYM@Mia 07:10PM ET",11.25,"NYM",7.4,8.5,8.04,7.9,32
"3B/SS","Manny Machado",4700,"Bal@Tor 07:07PM ET",7.667,"Bal",9.04,8.1,8.28,8.6,2
"2B","Jonathan Villar",4700,"Mil@Cin 07:10PM ET",6.75,"Mil",9.24,9,9.66,8.6,2
"3B","Josh Donaldson",4600,"Bal@Tor 07:07PM ET",9.143,"Tor",8.57,8.4,9.17,8.9,7
"OF","Jose Bautista",4600,"Bal@Tor 07:07PM ET",5,"Tor",7.15,8.4,8.63,7.9,7
"C","Gary Sanchez",4500,"TB@NYY 07:05PM ET",4.8,"NYY",NA,0,NA,0,0
"3B","Evan Longoria",4500,"TB@NYY 07:05PM ET",8.375,"TB",7.09,8.2,8.12,8.2,3
"OF","Christian Yelich",4500,"NYM@Mia 07:10PM ET",9.714,"Mia",7.14,8.2,8.4,8.4,15
"OF","Adam Duvall",4400,"Mil@Cin 07:10PM ET",12.375,"Cin",6.83,7.8,8.37,7.6,0
"1B","Chris Carter",4300,"TB@NYY 07:05PM ET",4.2,"NYY",5.99,0,1.93,2.1,0
"OF","Keon Broxton",4300,"Mil@Cin 07:10PM ET",5.714,"Mil",6.06,8,7.76,6.2,3
"OF","Billy Hamilton",4300,"Mil@Cin 07:10PM ET",10.143,"Cin",7.32,9,8.89,8.3,10
