"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","Projection_reg","Projection_reg_split","FreqInd"
"RB","Devontae Booker (7688669)","Devontae Booker",7688669,6400,"Den@Oak 08:30PM ET","Den","Devontae","Booker","Oak",17.44,18.1,5,0.0693430656934307,16.7608957338102,16.4660254821532,1
"WR","Michael Crabtree (7688787)","Michael Crabtree",7688787,6400,"Den@Oak 08:30PM ET","Oak","Michael","Crabtree","Den",13.91,13.8,2,0.237388724035608,12.9985300329305,12.782780918039,1
"RB","Melvin Gordon (7688657)","Melvin Gordon",7688657,6300,"Ten@SD 04:25PM ET","SD","Melvin","Gordon","Ten",17.8,14.6,5,0.116438356164384,14.8558913278759,14.673240772276,1
"QB","Derek Carr (7688573)","Derek Carr",7688573,6300,"Den@Oak 08:30PM ET","Oak","Derek","Carr","Den",18.39,18.3,0,0,17.2171818877508,16.9302535084512,0
"WR","Emmanuel Sanders (7688786)","Emmanuel Sanders",7688786,6300,"Den@Oak 08:30PM ET","Den","Emmanuel","Sanders","Oak",16.32,16.7,1,0.277372262773723,15.5464286104671,15.2777521005028,1
"TE","Greg Olsen (7688849)","Greg Olsen",7688849,6200,"Car@LA 04:05PM ET","Car","Greg","Olsen","LA",17.14,14.5,1,0.243346007604563,14.5615250770295,14.372167497201,1
"QB","Dak Prescott (7688543)","Dak Prescott",7688543,6100,"Dal@Cle 01:00PM ET","Dal","Dak","Prescott","Cle",19.37,21.6,0,0,19.4856356433995,19.1124140288438,0
"WR","Terrelle Pryor Sr. (7688716)","Terrelle Pryor",7688716,6100,"Dal@Cle 01:00PM ET","Cle","Terrelle","Pryor","Dal",16.85,12.2,1,0.256666666666667,13.1211718968308,12.997770873599,1
"RB","Carlos Hyde (7688633)","Carlos Hyde",7688633,6100,"NO@SF 04:05PM ET","SF","Carlos","Hyde","NO",0,0,5,0.0666666666666667,0,0,1
"RB","Jay Ajayi (7688596)","Jay Ajayi",7688596,6000,"NYJ@Mia 01:00PM ET","Mia","Jay","Ajayi","NYJ",14.17,11.6,6,0.0523809523809524,11.8131671623546,11.6684547651235,1
"WR","Demaryius Thomas (7688788)","Demaryius Thomas",7688788,6000,"Den@Oak 08:30PM ET","Den","Demaryius","Thomas","Oak",16.71,16.6,2,0.273722627737226,15.6279236167551,15.3680692309536,1
"WR","Stefon Diggs (7688677)","Stefon Diggs",7688677,5900,"Det@Min 01:00PM ET","Min","Stefon","Diggs","Det",16.46,13.5,2,0.21900826446281,13.7370041325998,13.5681311280822,1
"WR","Jeremy Maclin (7688703)","Jeremy Maclin",7688703,5900,"Jax@KC 01:00PM ET","KC","Jeremy","Maclin","Jax",12.43,12.9,1,0.21484375,11.9457492103793,11.7355987839308,0
"WR","Davante Adams (7688768)","Davante Adams",7688768,5900,"Ind@GB 04:25PM ET","GB","Davante","Adams","Ind",17.92,14.7,2,0.214532871972318,14.9569575036245,14.7730275530806,1
"QB","Marcus Mariota (7688570)","Marcus Mariota",7688570,5900,"Ten@SD 04:25PM ET","Ten","Marcus","Mariota","SD",18.96,20,0,0,18.4091011154902,18.0786822143931,0
"QB","Blake Bortles (7688538)","Blake Bortles",7688538,5800,"Jax@KC 01:00PM ET","Jax","Blake","Bortles","KC",18.57,16.7,0,0,16.3518455900408,16.1164458266293,0
"WR","Willie Snead (7688742)","Willie Snead",7688742,5800,"NO@SF 04:05PM ET","NO","Willie","Snead","SF",15.76,14.6,3,0.143322475570033,14.1256465997291,13.9128251272546,1
"RB","Todd Gurley (7688643)","Todd Gurley",7688643,5800,"Car@LA 04:05PM ET","LA","Todd","Gurley","Car",14.56,13.8,5,0.113445378151261,13.2312060492518,13.0250702166977,1
"WR","Ty Montgomery (7688766)","Ty Montgomery",7688766,5800,"Ind@GB 04:25PM ET","GB","Ty","Montgomery","Ind",15.02,19.7,4,0.0934256055363322,16.8243946829669,16.4448669655203,0
"WR","Donte Moncrief (7688767)","Donte Moncrief",7688767,5800,"Ind@GB 04:25PM ET","Ind","Donte","Moncrief","GB",14.86,15.9,8,0.0584615384615385,14.5589176534613,14.2930814704825,0
"QB","Eli Manning (7688524)","Eli Manning",7688524,5700,"Phi@NYG 01:00PM ET","NYG","Eli","Manning","Phi",16.54,17.9,0,0,16.3225077349712,16.0204350942136,0
"WR","Jordan Matthews (7688683)","Jordan Matthews",7688683,5700,"Phi@NYG 01:00PM ET","Phi","Jordan","Matthews","NYG",13.95,15.5,1,0.252252252252252,14.0007288165925,13.7336506573822,1
"QB","Ryan Fitzpatrick (7688529)","Ryan Fitzpatrick",7688529,5700,"NYJ@Mia 01:00PM ET","NYJ","Ryan","Fitzpatrick","Mia",16.83,16.7,0,0,15.7289897925038,15.4678560117582,0
"QB","Matthew Stafford (7688522)","Matthew Stafford",7688522,5600,"Det@Min 01:00PM ET","Det","Matthew","Stafford","Min",17.61,18.6,0,0,17.1123024786795,16.8046756962942,0
"WR","Marvin Jones Jr. (7688674)","Marvin Jones",7688674,5600,"Det@Min 01:00PM ET","Det","Marvin","Jones","Min",13.41,13.3,1,0.230508474576271,12.5289954643904,12.3211222907328,1
"QB","Ryan Tannehill (7688531)","Ryan Tannehill",7688531,5600,"NYJ@Mia 01:00PM ET","Mia","Ryan","Tannehill","NYJ",16.84,18.9,0,0,17.0110027006285,16.6828254118088,0
"WR","Mike Wallace (7688728)","Mike Wallace",7688728,5600,"Pit@Bal 01:00PM ET","Bal","Mike","Wallace","Pit",14.16,12.8,1,0.20983606557377,12.5069147733912,12.3254046223858,1
"QB","Colin Kaepernick (7688554)","Colin Kaepernick",7688554,5600,"NO@SF 04:05PM ET","SF","Colin","Kaepernick","NO",19.33,18.5,0,0,17.6698884106711,17.3907540070775,0
"WR","Travis Benjamin (7688780)","Travis Benjamin",7688780,5600,"Ten@SD 04:25PM ET","SD","Travis","Benjamin","Ten",13.18,12.8,1,0.205479452054795,12.1561109333991,11.9601069105618,1
"RB","Jamaal Charles (7688600)","Jamaal Charles",7688600,5500,"Jax@KC 01:00PM ET","KC","Jamaal","Charles","Jax",0,0,11,0.01171875,0,0,0
"QB","Tony Romo (7688541)","Tony Romo",7688541,5500,"Dal@Cle 01:00PM ET","Dal","Tony","Romo","Cle",0,0,0,0,0,0,0
"QB","Joe Flacco (7688547)","Joe Flacco",7688547,5500,"Pit@Bal 01:00PM ET","Bal","Joe","Flacco","Pit",18.41,17.6,0,0,16.8175669252582,16.5523134225831,0
"WR","Michael Thomas (7688746)","Michael Thomas",7688746,5500,"NO@SF 04:05PM ET","NO","Michael","Thomas","SF",16.17,13.3,1,0.185667752442997,13.5169736260008,13.3499199281147,1
"QB","Josh McCown (7688540)","Josh McCown",7688540,5400,"Dal@Cle 01:00PM ET","Cle","Josh","McCown","Dal",0,0,0,0,0,0,0
"WR","Steve Smith Sr. (7688725)","Steve Smith",7688725,5400,"Pit@Bal 01:00PM ET","Bal","Steve","Smith","Pit",11.83,0,3,0.127868852459016,4.23470349704739,4.4096652355898,1
"QB","Alex Smith (7688534)","Alex Smith",7688534,5300,"Jax@KC 01:00PM ET","KC","Alex","Smith","Jax",0,0,14,0.00390625,0,0,0
"TE","Travis Kelce (7688819)","Travis Kelce",7688819,5300,"Jax@KC 01:00PM ET","KC","Travis","Kelce","Jax",12.86,11.4,2,0.1796875,11.2280142916822,11.0700357426452,1
"WR","Cole Beasley (7688719)","Cole Beasley",7688719,5300,"Dal@Cle 01:00PM ET","Dal","Cole","Beasley","Cle",9.56,10,1,0.214912280701754,9.2331876059077,9.06916132856995,1
"QB","Nick Foles (7688536)","Nick Foles",7688536,5200,"Jax@KC 01:00PM ET","KC","Nick","Foles","Jax",15.48,15.2,0,0,14.3740805521884,14.1387930449147,0
"RB","Jonathan Stewart (7688638)","Jonathan Stewart",7688638,5200,"Car@LA 04:05PM ET","Car","Jonathan","Stewart","LA",14.18,11.3,8,0.026615969581749,11.6424149828607,11.5070129465616,1
"QB","Carson Wentz (7688528)","Carson Wentz",7688528,5100,"Phi@NYG 01:00PM ET","Phi","Carson","Wentz","NYG",16.45,17.6,0,0,16.115959245274,15.8217179989351,0
"WR","Quincy Enunwa (7688692)","Quincy Enunwa",7688692,5100,"NYJ@Mia 01:00PM ET","NYJ","Quincy","Enunwa","Mia",12.62,11.2,2,0.210526315789474,11.0258819401849,10.8704621810361,1
"QB","Trevor Siemian (7688574)","Trevor Siemian",7688574,5100,"Den@Oak 08:30PM ET","Den","Trevor","Siemian","Oak",15.43,17.5,0,0,15.6927262776959,15.3864537276799,0
"QB","Dan Orlovsky (7688520)","Dan Orlovsky",7688520,5000,"Det@Min 01:00PM ET","Det","Dan","Orlovsky","Min",0,0,0,0,0,0,0
"QB","Shaun Hill (7688521)","Shaun Hill",7688521,5000,"Det@Min 01:00PM ET","Min","Shaun","Hill","Det",0,0,0,0,0,0,0
"QB","Sam Bradford (7688523)","Sam Bradford",7688523,5000,"Det@Min 01:00PM ET","Min","Sam","Bradford","Det",18.53,15.7,14,0,15.756421030912,15.5509712284977,0
"QB","Josh Johnson (7688525)","Josh Johnson",7688525,5000,"Phi@NYG 01:00PM ET","NYG","Josh","Johnson","Phi",0,0,0,0,0,0,0
"QB","Chase Daniel (7688526)","Chase Daniel",7688526,5000,"Phi@NYG 01:00PM ET","Phi","Chase","Daniel","NYG",0,0,0,0,0,0,0
"QB","Ryan Nassib (7688527)","Ryan Nassib",7688527,5000,"Phi@NYG 01:00PM ET","NYG","Ryan","Nassib","Phi",0,0,0,0,0,0,0
"QB","Matt Moore (7688530)","Matt Moore",7688530,5000,"NYJ@Mia 01:00PM ET","Mia","Matt","Moore","NYJ",0,0,0,0,0,0,0
"QB","Bryce Petty (7688532)","Bryce Petty",7688532,5000,"NYJ@Mia 01:00PM ET","NYJ","Bryce","Petty","Mia",0,0,0,0,0,0,0
"QB","Christian Hackenberg (7688533)","Christian Hackenberg",7688533,5000,"NYJ@Mia 01:00PM ET","NYJ","Christian","Hackenberg","Mia",0,0,0,0,0,0,0
"QB","Chad Henne (7688535)","Chad Henne",7688535,5000,"Jax@KC 01:00PM ET","Jax","Chad","Henne","KC",0,0,0,0,0,0,0
"QB","Tyler Bray (7688537)","Tyler Bray",7688537,5000,"Jax@KC 01:00PM ET","KC","Tyler","Bray","Jax",0,0,0,0,0,0,0
"QB","Brandon Allen (7688539)","Brandon Allen",7688539,5000,"Jax@KC 01:00PM ET","Jax","Brandon","Allen","KC",0,0,0,0,0,0,0
"QB","Mark Sanchez (7688542)","Mark Sanchez",7688542,5000,"Dal@Cle 01:00PM ET","Dal","Mark","Sanchez","Cle",0,0,0,0,0,0,0
"QB","Cody Kessler (7688544)","Cody Kessler",7688544,5000,"Dal@Cle 01:00PM ET","Cle","Cody","Kessler","Dal",14.68,17.2,0,0,15.2499221406571,14.9417198060708,0
"QB","Kevin Hogan (7688545)","Kevin Hogan",7688545,5000,"Dal@Cle 01:00PM ET","Cle","Kevin","Hogan","Dal",0,0,0,0,0,0,0
"QB","Joe Callahan (7688546)","Joe Callahan",7688546,5000,"Dal@Cle 01:00PM ET","Cle","Joe","Callahan","Dal",0,0,0,0,0,0,0
"QB","Ryan Mallett (7688549)","Ryan Mallett",7688549,5000,"Pit@Bal 01:00PM ET","Bal","Ryan","Mallett","Pit",0,0,0,0,0,0,0
"QB","Landry Jones (7688550)","Landry Jones",7688550,5000,"Pit@Bal 01:00PM ET","Pit","Landry","Jones","Bal",0,0,0,0,0,0,0
"QB","Zach Mettenberger (7688551)","Zach Mettenberger",7688551,5000,"Pit@Bal 01:00PM ET","Pit","Zach","Mettenberger","Bal",0,0,0,0,0,0,0
"QB","Luke McCown (7688553)","Luke McCown",7688553,5000,"NO@SF 04:05PM ET","NO","Luke","McCown","SF",0,0,0,0,0,0,0
"QB","Christian Ponder (7688555)","Christian Ponder",7688555,5000,"NO@SF 04:05PM ET","SF","Christian","Ponder","NO",0,0,0,0,0,0,0
"QB","Blaine Gabbert (7688556)","Blaine Gabbert",7688556,5000,"NO@SF 04:05PM ET","SF","Blaine","Gabbert","NO",0,0,13,0.00476190476190476,0,0,0
"QB","Derek Anderson (7688557)","Derek Anderson",7688557,5000,"Car@LA 04:05PM ET","Car","Derek","Anderson","LA",0,0,0,0,0,0,0
"QB","Joe Webb (7688558)","Joe Webb",7688558,5000,"Car@LA 04:05PM ET","Car","Joe","Webb","LA",0,0,10,0.00380228136882129,0,0,0
"QB","Case Keenum (7688559)","Case Keenum",7688559,5000,"Car@LA 04:05PM ET","LA","Case","Keenum","Car",14.72,16.8,0,0,15.0317982507194,14.7364041217795,0
"QB","Sean Mannion (7688561)","Sean Mannion",7688561,5000,"Car@LA 04:05PM ET","LA","Sean","Mannion","Car",0,0,0,0,0,0,0
"QB","Jared Goff (7688562)","Jared Goff",7688562,5000,"Car@LA 04:05PM ET","LA","Jared","Goff","Car",0,0,0,0,0,0,0
"QB","Scott Tolzien (7688564)","Scott Tolzien",7688564,5000,"Ind@GB 04:25PM ET","Ind","Scott","Tolzien","GB",0,0,0,0,0,0,0
"QB","Brett Hundley (7688566)","Brett Hundley",7688566,5000,"Ind@GB 04:25PM ET","GB","Brett","Hundley","Ind",0,0,0,0,0,0,0
"QB","Matt Cassel (7688567)","Matt Cassel",7688567,5000,"Ten@SD 04:25PM ET","Ten","Matt","Cassel","SD",0,0,0,0,0,0,0
"QB","Kellen Clemens (7688568)","Kellen Clemens",7688568,5000,"Ten@SD 04:25PM ET","SD","Kellen","Clemens","Ten",0,0,0,0,0,0,0
"RB","Derrick Henry (7688660)","Derrick Henry",7688660,5000,"Ten@SD 04:25PM ET","Ten","Derrick","Henry","SD",8.67,7.7,7,0.0423076923076923,7.57805656448939,7.4711130446675,0
"WR","Tyrell Williams (7688783)","Tyrell Williams",7688783,5000,"Ten@SD 04:25PM ET","SD","Tyrell","Williams","Ten",12.81,14,2,0.174657534246575,12.720991827704,12.4828657716439,1
"QB","Austin Davis (7688571)","Austin Davis",7688571,5000,"Den@Oak 08:30PM ET","Den","Austin","Davis","Oak",0,0,0,0,0,0,0
"QB","Matt McGloin (7688572)","Matt McGloin",7688572,5000,"Den@Oak 08:30PM ET","Oak","Matt","McGloin","Den",0,0,0,0,0,0,0
"QB","Connor Cook (7688575)","Connor Cook",7688575,5000,"Den@Oak 08:30PM ET","Oak","Connor","Cook","Den",0,0,0,0,0,0,0
"QB","Paxton Lynch (7688576)","Paxton Lynch",7688576,5000,"Den@Oak 08:30PM ET","Den","Paxton","Lynch","Oak",0,0,0,0,0,0,0
