"Player","Pos","Team","Opp","Runs","vs. Pitcher","Hand","ERA/AVG","wOBA","ISO","Avg innings","K/9","WHIP","Order","Salary","Ceiling","Avg","FC Proj","My Proj","Exposure","Con.","Value","Actual Score","Actual Val"
"Max Scherzer","P","WSH","vs MIL",3.11,"Blazek, R 0.00","R",2.24,0,0,6.7,12.4,0.83,NA,13800,54.4,28.8,32.31,32.31,"%",62,2.3,29.9,2.2
"Jon Lester","P","CHC","@ CWS",3.94,"Pelfrey, R 4.46","L",3.95,0,0,5.9,9.2,1.21,NA,11900,41.4,17.2,16.16,16.16,"%",27,1.4,20.75,1.7
"Marcus Stroman","P","TOR","vs OAK",3.88,"Manaea, L 3.82","R",2.98,0,0,6.3,7.6,1.25,NA,11500,38.6,17.7,18.4,18.4,"%",43,1.6,5.3,0.5
"Chris Archer","P","TB","@ NYY",4.78,"Sabathia, L 3.44","R",3.84,0,0,6.5,11.1,1.25,NA,11100,32.6,21.3,14.9,14.9,"%",58,1.3,22.1,2
"Zack Godley","P","ARI","@ STL",4.48,"Broxton, R 6.89","R",3.32,0,0,5.8,9.3,1.01,NA,8400,27.1,18,12.66,12.66,"%",60,1.5,30.15,3.6
"Trevor Bauer","P","CLE","vs LAA",4.23,"Ramirez, R 4.38","R",5.58,0,0,5.2,10,1.49,NA,7700,34.9,13.9,12.66,12.66,"%",20,1.6,27.2,3.5
"CC Sabathia","P","NYY","vs TB",4.22,"Archer, R 3.84","L",3.44,0,0,5.6,7.1,1.28,NA,7700,35.3,15,14.01,14.01,"%",29,1.8,4.15,0.5
"Sean Manaea","P","OAK","@ TOR",5.12,"Stroman, R 2.98","L",3.82,0,0,5.9,8.7,1.24,NA,6700,28.9,16.9,10.98,10.98,"%",47,1.6,19.55,2.9
"Chris Flexen","P","NYM","@ SD",4.37,"Perdomo, R 4.81","R",NA,0,0,0,0,0,NA,6500,8.9,NA,8.86,8.86,"%",0,1.4,-1.25,NA
"Luke Weaver","P","STL","vs ARI",4.53,"Godley, R 3.32","R",0,0,0,1.5,6,1.33,NA,6400,16.2,4.2,10,10,"%",0,1.6,9.05,1.4
"Luis Perdomo","P","SD","vs NYM",4.63,"Flexen, R","R",4.81,0,0,5.4,7.2,1.52,NA,6300,32.4,10.8,11.49,11.49,"%",3,1.8,10.4,1.7
"J.C. Ramirez","P","LAA","@ CLE",5.27,"Bauer, R 5.58","R",4.38,0,0,5.2,7.3,1.31,NA,5900,26.2,12.4,8.13,8.13,"%",27,1.4,12.4,2.1
"Bryce Harper","OF","WSH","vs MIL",4.89,"Blazek, R 0.00","L",0.331,0.447,0.285,0,0,0,3,5800,34.3,11.1,14.82,14.82,"%",56,2.6,39,6.7
"Chris O'Grady","P","MIA","vs CIN",4.32,"Stephenson, R 8.10","L",5.4,0,0,5,9.5,1.53,NA,5700,11.8,12.7,9.47,9.47,"%",91,1.7,24.95,4.4
"Giancarlo Stanton","OF","MIA","vs CIN",5.18,"Stephenson, R 8.10","R",0.278,0.404,0.321,0,0,0,2,5700,34.6,9.8,14.68,14.68,"%",49,2.6,8,1.4
"Mike Trout","OF","LAA","@ CLE",4.23,"Bauer, R 5.58","R",0.333,0.48,0.378,0,0,0,2,5600,27.2,12.1,13.56,13.56,"%",72,2.4,0,NA
"Kris Bryant","3B","CHC","@ CWS",6.06,"Pelfrey, R 4.46","R",0.279,0.4,0.246,0,0,0,2,5500,34.5,9.3,16.96,16.96,"%",53,3.1,2,0.4
"Michael Conforto","OF","NYM","@ SD",4.63,"Perdomo, R 4.81","L",0.291,0.412,0.28,0,0,0,1,5400,30.8,8.8,12.09,12.09,"%",47,2.2,12,2.2
