"Position","Name","Roster_Position","GameInfo","AvgPointsPerGame","teamAbbrev"
"SP","Carlos Carrasco","T1","CLE@MIN 08:10PM ET",19.287,"CLE"
"1B","Edwin Encarnacion","T3","CLE@MIN 08:10PM ET",8.474,"CLE"
"2B/3B","Jose Ramirez","T4","CLE@MIN 08:10PM ET",9.183,"CLE"
"3B","Miguel Sano","T8","CLE@MIN 08:10PM ET",8.822,"MIN"
"SP","John Lackey","T2","CIN@CHC 08:05PM ET",13.002,"CHC"
"3B","Kris Bryant","T3","CIN@CHC 08:05PM ET",9.259,"CHC"
"1B","Joey Votto","T3","CIN@CHC 08:05PM ET",10.151,"CIN"
"1B","Anthony Rizzo","T5","CIN@CHC 08:05PM ET",9.121,"CHC"
"OF","Adam Duvall","T6","CIN@CHC 08:05PM ET",8.652,"CIN"
"SP","Jake Faria","T1","TB@TOR 07:07PM ET",18.917,"TB"
"SP","Marcus Stroman","T1","TB@TOR 07:07PM ET",16.514,"TOR"
"3B","Josh Donaldson","T5","TB@TOR 07:07PM ET",8.408,"TOR"
"1B","Justin Smoak","T6","TB@TOR 07:07PM ET",8.761,"TOR"
"1B","Logan Morrison","T8","TB@TOR 07:07PM ET",8.035,"TB"
"OF","Corey Dickerson","T8","TB@TOR 07:07PM ET",8.292,"TB"
"SP","Eduardo Rodriguez","T2","STL@BOS 07:10PM ET",16.541,"BOS"
"SP","Lance Lynn","T2","STL@BOS 07:10PM ET",16.267,"STL"
"OF","Andrew Benintendi","T4","STL@BOS 07:10PM ET",8.541,"BOS"
"OF","Mookie Betts","T6","STL@BOS 07:10PM ET",9.416,"BOS"
"OF","Tommy Pham","T6","STL@BOS 07:10PM ET",9.258,"STL"
"3B","Rafael Devers","T7","STL@BOS 07:10PM ET",10.875,"BOS"
"3B/OF","Eduardo Nunez","T7","STL@BOS 07:10PM ET",8.522,"BOS"
"2B/SS","Paul DeJong","T8","STL@BOS 07:10PM ET",8.431,"STL"
"SP","Cole Hamels","T1","DET@TEX 08:05PM ET",14.923,"TEX"
"SS","Elvis Andrus","T4","DET@TEX 08:05PM ET",9.071,"TEX"
"3B","Adrian Beltre","T4","DET@TEX 08:05PM ET",8.828,"TEX"
"OF","Nomar Mazara","T5","DET@TEX 08:05PM ET",7.528,"TEX"
"OF","Justin Upton","T6","DET@TEX 08:05PM ET",9.23,"DET"
"1B/3B","Joey Gallo","T6","DET@TEX 08:05PM ET",8.065,"TEX"
"2B","Ian Kinsler","T8","DET@TEX 08:05PM ET",7.616,"DET"
"OF","Aaron Judge","T3","NYY@NYM 07:08PM ET",10.566,"NYY"
"C","Gary Sanchez","T4","NYY@NYM 07:08PM ET",8.833,"NYY"
"OF","Michael Conforto","T5","NYY@NYM 07:08PM ET",9.14,"NYM"
"OF","Aaron Hicks","T6","NYY@NYM 07:08PM ET",9.123,"NYY"
"OF","Yoenis Cespedes","T6","NYY@NYM 07:08PM ET",7.929,"NYM"
"SS","Didi Gregorius","T7","NYY@NYM 07:08PM ET",8.14,"NYY"
"SP","Charlie Morton","T1","ARI@HOU 08:10PM ET",18.603,"HOU"
"SP","Taijuan Walker","T2","ARI@HOU 08:10PM ET",15.3,"ARI"
"1B","Paul Goldschmidt","T3","ARI@HOU 08:10PM ET",10.974,"ARI"
"2B","Jose Altuve","T4","ARI@HOU 08:10PM ET",10.667,"HOU"
"1B","Yuli Gurriel","T4","ARI@HOU 08:10PM ET",7.786,"HOU"
"OF","George Springer","T5","ARI@HOU 08:10PM ET",10.347,"HOU"
"OF","J.D. Martinez","T5","ARI@HOU 08:10PM ET",9.5,"ARI"
"3B","Jake Lamb","T7","ARI@HOU 08:10PM ET",9.396,"ARI"
"3B","Alex Bregman","T7","ARI@HOU 08:10PM ET",7.679,"HOU"
"SP","Carlos Rodon","T2","CWS@LAD 10:10PM ET",16.85,"CWS"
"2B/OF","Chris Taylor","T5","CWS@LAD 10:10PM ET",9.13,"LAD"
"1B/OF","Cody Bellinger","T5","CWS@LAD 10:10PM ET",10.276,"LAD"
"OF","Avisail Garcia","T8","CWS@LAD 10:10PM ET",8.333,"CWS"
"SS","Corey Seager","T7","CWS@LAD 10:10PM ET",8.927,"LAD"
"3B","Justin Turner","T7","CWS@LAD 10:10PM ET",9.478,"LAD"
"1B","Jose Abreu","T8","CWS@LAD 10:10PM ET",8.579,"CWS"
"SP","Jon Gray","T2","ATL@COL 08:40PM ET",12.536,"COL"
"SP","Mike Foltynewicz","T2","ATL@COL 08:40PM ET",13.941,"ATL"
"OF","Charlie Blackmon","T3","ATL@COL 08:40PM ET",11.128,"COL"
"1B/3B","Freddie Freeman","T3","ATL@COL 08:40PM ET",10.903,"ATL"
"3B","Nolan Arenado","T3","ATL@COL 08:40PM ET",9.845,"COL"
"OF","Gerardo Parra","T4","ATL@COL 08:40PM ET",7.397,"COL"
"1B","Mark Reynolds","T7","ATL@COL 08:40PM ET",8.313,"COL"
"OF","Ender Inciarte","T8","ATL@COL 08:40PM ET",8,"ATL"
