"Mike Trout_LAA","Hunter Pence_SF","Buster Posey_SF","Brandon Belt_SF","Eduardo Nunez_SF","Denard Span_SF","Joe Panik_SF","Brandon Crawford_SF","Corey Seager_LAD","Gary Sanchez_NYY","Wil Myers_SD","Jarrett Parker_SF","Yoenis Cespedes_NYM","Lorenzo Cain_KC","Nick Hundley_SF","Todd Frazier_CWS","Evan Longoria_TB","Eric Hosmer_KC","Albert Pujols_LAA","Mac Williamson_SF","Jose Abreu_CWS","Alex Gordon_KC","Adrian Gonzalez_LAD","Yasiel Puig_LAD","Kelby Tomlinson_SF","Chris Carter_NYY","Jose Reyes_NYM","Brandon Moss_KC","Jorge Soler_KC","Logan Forsythe_LAD","Joc Pederson_LAD","Matt Holliday_NYY","Mallex Smith_TB","Kole Calhoun_LAA","Curtis Granderson_NYM","Whit Merrifield_KC","Peter O'Brien_KC","Justin Turner_LAD","Melky Cabrera_CWS","Brett Gardner_NYY","Brad Miller_TB","Cameron Maybin_LAA","Salvador Perez_KC","Aaron Hill_SF","Gorkys Hernandez_SF","Ryan Schimpf_SD","Jacoby Ellsbury_NYY","Aaron Judge_NYY","Steven Souza_TB","David Wright_NYM","Asdrubal Cabrera_NYM","Cheslor Cuthbert_KC","Alcides Escobar_KC","Yasmani Grandal_LAD","Chase Utley_LAD","Franklin Gutierrez_LAD","Conor Gillaspie_SF","Yangervis Solarte_SD","Wilson Ramos_TB","Kevin Kiermaier_TB","Luis Valbuena_LAA","Lucas Duda_NYM","Neil Walker_NYM","Jay Bruce_NYM","Mike Moustakas_KC","Paulo Orlando_KC","Billy Burns_KC","Manuel Margot_SD","Tim Anderson_CWS","Starlin Castro_NYY","Didi Gregorius_NYY","Colby Rasmus_TB","Corey Dickerson_TB","Jefry Marte_LAA","Michael Conforto_NYM","Cody Bellinger_LAD","Chris Taylor_LAD","Alex Dickerson_SD","Hunter Renfroe_SD","Tyler Saladino_CWS","Greg Bird_NYY","Logan Morrison_TB","Matt Duffy_TB","Yunel Escobar_LAA","Ben Revere_LAA","Trayce Thompson_LAD","Cory Spangenberg_SD","Avisail Garcia_CWS","Andrelton Simmons_LAA","Austin Barnes_LAD","Andrew Toles_LAD","Chase Headley_NYY","Danny Espinosa_LAA","Wilmer Flores_NYM","Ryan O'Hearn_KC","Rob Segedin_LAD","Travis Jankowski_SD","Jake Bauers_TB","Tim Beckham_TB","Terrance Gore_KC","Andre Ethier_LAD","Matt Davidson_CWS","Charlie Tilson_CWS","Pete Kozma_NYY","Aaron Hicks_NYY","Travis d'Arnaud_NYM","Christian Colon_KC","Scott Van Slyke_LAD","Chris Marrero_SF","Derek Norris_TB","Peter Bourjos_TB","Brandon Nimmo_NYM","Christian Bethancourt_SD","Austin Hedges_SD","Gleyber Torres_NYY","Curt Casali_TB","Rickie Weeks_TB","Juan Lagares_NYM","Raul Mondesi_KC","Erick Aybar_SD","Leury Garcia_CWS","Jacob May_CWS","Austin Romine_NYY","Jesus Sucre_TB","Daniel Robertson_TB","Luis Sardinas_SD","Allen Cordoba_SD","Cody Asche_CWS","Ronald Torreyes_NYY","Martin Maldonado_LAA","Jabari Blash_SD","Geovany Soto_CWS","Omar Narvaez_CWS","Carlos Perez_LAA","Drew Butera_KC","Hector Sanchez_SD","Rene Rivera_NYM","Cliff Pennington_LAA","Zack Collins_CWS","Luis Torrens_SD"
0,0,0,0,0,0,0,0,0,0,81.9809523809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019047619047619,0,0,0,0,0,0,0,0,0,0,0,21.5285714285714,0,0,0,0,0,0,0,0,0,5.78571428571429,0,0,0,0,0,0,0,0,0,0,19.1380952380952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.45714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.09428571428571,-2.57142857142857,0,0,0,0,0,-4,0,0,0,0,0,-3.21428571428571,-8.8956043956044,0,0,0,1.36363636363636,0,0,0,0,0,0,0,0,1.73076923076923
0,0,0,0,0,0,0,0,0,0,0,21.4,0,0,4.98571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.69230769230769,-2.51428571428571,0,0,0,0,0,0,0,0,0,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.08791208791209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,179.529166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6625,0,0,0,0,0,0,0,31.0375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.4666666666667,0,0,0,0,0,0,0,0,0,0,66.0166666666667,17.1833333333333,-12.7791666666667,0,0,0,0,0,0,0,0,0,0,-0.833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5541666666667,0,0,0,0,0,0,0,0,0,0,0,130.720833333333,0,0,0,0,0,0,0,0,0,0,0,-1.9125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.82916666666667,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,20.7435897435897,0,0,0,-0.685897435897436,0,0,0,-0.480769230769231,0,0,0,0,0,-12.6410256410256,0,0,0,0,0,0,0,-5.11538461538461,0,0,0,0,0,0,-1.95512820512821,0,0,0,0,0,0,0,0,0.108974358974359,-1.18589743589744,0,0,0,0,0,0,0,0,0,0,0,-3.99358974358974,-0.557692307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.15384615384615,0,0,0,0,0,0,0,0,0,0,0,9.63461538461539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.2666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.61538461538461,-2.73333333333333,0,0,0,0,0,0,0,0,0,0,0,0.242857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37362637362637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8181818181818,0,0,0,0,-4.31818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.72727272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.18181818181818,0,0,0,0,0,0,0,0,0,0,15.8636363636364,0,0,0,0,0,0,0,24.4090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.09090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.40909090909091,2.47272727272727,0,0,0,0,0,-1.41818181818182,0,0,0,17.4545454545455,-1.77272727272727,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.1142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.64285714285714,0,0,0,0,0,0,0,11.7142857142857,0,0,0,0,0,0,0,2.31428571428571,0,0,0,0,0,0,0,0,0,0,23.9857142857143,0,0,0,0,0,0,0,0,0,0,0,0,-2.87142857142857,0,0,0,0,0,0,0,0,23.9285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.02857142857143,0,0,0,0,0,0,0,0,0,0,3.4,5.3956043956044,0,0,0,0,0,11.7802197802198,0,0,0,0,0,0,-12.2307692307692,-2.37142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3589743589744,0,0,0,6.80769230769231,0,0,0,0,0,-1.25641025641026,0,0,0,0,0,0,0,0.403846153846154,0,0,0,0,0,0,6.63461538461539,0,0,0,0,0,0,0,0,15.9102564102564,-0.474358974358974,0,0,0,0,0,0,0,0,0,0,0,-3.73076923076923,0.493589743589744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.294871794871795,0,0,0,0,0,0,0,0,0,0,0,-1.92948717948718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.3021978021978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.45054945054945,0,0,0,0,0,0,0,-7.57142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.58791208791209,0,0,0,0,0,0,0,0,0,30.4175824175824,8.84615384615385,0,0,0,24.2967032967033,0,0,0,-6.23076923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032967032967033,0,0,0,1.18131868131868,0,0,0,9.38461538461539,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
