"Position","Name...ID","Name","ID","Salary","GameInfo","Team","Opponent","Projection","Projection_dfn","Actual_fpts","RankTargets","RollingTargetPctg","FreqInd","TierRank","ValueWR"
"WR","Antonio Brown (9546312)","Antonio Brown",9546312,9300,"PIT@BAL 01:00PM ET","PIT","BAL",22.29,20.6,0,0,0,0,0,0
"WR","Odell Beckham Jr. (9546567)","Odell Beckham",9546567,8900,"NYG@TB 04:05PM ET","NYG","TB",18.62,18.4,0,0,0,0,0,0
"WR","Julio Jones (9546325)","Julio Jones",9546325,8800,"BUF@ATL 01:00PM ET","ATL","BUF",19.14,19.7,0,0,0,0,0,0
"RB","Le'Veon Bell (9546469)","Le'Veon Bell",9546469,8700,"PIT@BAL 01:00PM ET","PIT","BAL",22.14,21.4,0,0,0,0,0,0
"WR","A.J. Green (9546329)","AJ Green",9546329,8600,"CIN@CLE 01:00PM ET","CIN","CLE",21.03,20,0,0,0,0,0,0
"RB","LeSean McCoy (9546272)","LeSean McCoy",9546272,8400,"BUF@ATL 01:00PM ET","BUF","ATL",23.61,18.2,0,0,0,0,0,0
"RB","Ezekiel Elliott (9546843)","Ezekiel Elliott",9546843,8200,"LAR@DAL 01:00PM ET","DAL","LAR",22.17,22.4,0,0,0,0,0,0
"QB","Tom Brady (9546121)","Tom Brady",9546121,8000,"CAR@NE 01:00PM ET","NE","CAR",20,22.5,0,0,0,0,0,0
"RB","Todd Gurley II (9546790)","Todd Gurley II",9546790,7800,"LAR@DAL 01:00PM ET","LAR","DAL",0,18.9,0,0,0,0,0,0
"WR","Brandin Cooks (9546686)","Brandin Cooks",9546686,7600,"CAR@NE 01:00PM ET","NE","CAR",13.78,14.2,0,0,0,0,0,0
"RB","Jay Ajayi (9546575)","Jay Ajayi",9546575,7400,"NO@MIA 09:30AM ET","MIA","NO",18.4,17.2,0,0,0,0,0,0
"QB","Matt Ryan (9546140)","Matt Ryan",9546140,7400,"BUF@ATL 01:00PM ET","ATL","BUF",19.12,21.8,0,0,0,0,0,0
"WR","Mike Evans (9546599)","Mike Evans",9546599,7400,"NYG@TB 04:05PM ET","TB","NYG",18.07,18.1,0,0,0,0,0,0
"WR","Michael Thomas (9546743)","Michael Thomas",9546743,7300,"NO@MIA 09:30AM ET","NO","MIA",17.22,18.6,0,0,0,0,0,0
"RB","Devonta Freeman (9546585)","Devonta Freeman",9546585,7300,"BUF@ATL 01:00PM ET","ATL","BUF",18.45,19.6,0,0,0,0,0,0
"QB","Russell Wilson (9546300)","Russell Wilson",9546300,7300,"IND@SEA 08:30PM ET","SEA","IND",20.15,21.6,0,0,0,0,0,0
"QB","Drew Brees (9546122)","Drew Brees",9546122,7200,"NO@MIA 09:30AM ET","NO","MIA",18.69,22.8,0,0,0,0,0,0
"WR","Keenan Allen (9546533)","Keenan Allen",9546533,7200,"PHI@LAC 04:05PM ET","LAC","PHI",17.17,17.2,0,0,0,0,0,0
"WR","Stefon Diggs (9546783)","Stefon Diggs",9546783,7100,"DET@MIN 01:00PM ET","MIN","DET",15.67,12.8,0,0,0,0,0,0
"RB","Melvin Gordon (9546662)","Melvin Gordon",9546662,7000,"PHI@LAC 04:05PM ET","LAC","PHI",19.11,16.4,0,0,0,0,0,0
