"Position","Name...ID","Name","ID","Salary","GameInfo","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"DST","Seahawks  (9546116)","Seahawks ",9546116,4100,"IND@SEA 08:30PM ET","SEA","IND",12.22,12.2,0
"DST","Jaguars  (9546119)","Jaguars ",9546119,3600,"JAX@NYJ 01:00PM ET","JAX","NYJ",11.86,9.9,0
"DST","Steelers  (9546113)","Steelers ",9546113,3500,"PIT@BAL 01:00PM ET","PIT","BAL",7.98,7,0
"DST","Bengals  (9546096)","Bengals ",9546096,3500,"CIN@CLE 01:00PM ET","CIN","CLE",11.2,8.8,0
"DST","Patriots  (9546107)","Patriots ",9546107,3400,"CAR@NE 01:00PM ET","NE","CAR",8.74,7.7,0
"DST","Buccaneers  (9546117)","Buccaneers ",9546117,3400,"NYG@TB 04:05PM ET","TB","NYG",10.63,7.9,0
"DST","Titans  (9546101)","Titans ",9546101,3300,"TEN@HOU 01:00PM ET","TEN","HOU",10.02,8.6,0
"DST","Eagles  (9546111)","Eagles ",9546111,3300,"PHI@LAC 04:05PM ET","PHI","LAC",9.7,6.6,0
"DST","Broncos  (9546099)","Broncos ",9546099,3300,"OAK@DEN 04:25PM ET","DEN","OAK",9.63,6.4,0
"DST","Falcons  (9546093)","Falcons ",9546093,3200,"BUF@ATL 01:00PM ET","ATL","BUF",9.14,7,0
"DST","Cardinals  (9546112)","Cardinals ",9546112,3200,"SF@ARI 04:05PM ET","ARI","SF",10.23,7,0
"DST","Vikings  (9546106)","Vikings ",9546106,3100,"DET@MIN 01:00PM ET","MIN","DET",9.74,7.7,0
"DST","Ravens  (9546120)","Ravens ",9546120,3000,"PIT@BAL 01:00PM ET","BAL","PIT",8.62,7.2,0
"DST","Texans  (9546095)","Texans ",9546095,3000,"TEN@HOU 01:00PM ET","HOU","TEN",8.2,6,0
"DST","Giants  (9546109)","Giants ",9546109,2900,"NYG@TB 04:05PM ET","NYG","TB",8.75,6.6,0
"DST","Rams  (9546104)","Rams ",9546104,2800,"LAR@DAL 01:00PM ET","LAR","DAL",7.39,3.5,0
"DST","Lions  (9546100)","Lions ",9546100,2700,"DET@MIN 01:00PM ET","DET","MIN",8.37,7,0
"DST","Saints  (9546108)","Saints ",9546108,2600,"NO@MIA 09:30AM ET","NO","MIA",4.94,6.3,0
"DST","Jets  (9546110)","Jets ",9546110,2600,"JAX@NYJ 01:00PM ET","NYJ","JAX",8.31,6.3,0
"DST","Cowboys  (9546098)","Cowboys ",9546098,2500,"LAR@DAL 01:00PM ET","DAL","LAR",9.12,7.9,0
"DST","Chargers  (9546114)","Chargers ",9546114,2500,"PHI@LAC 04:05PM ET","LAC","PHI",7.5,6.4,0
"DST","Dolphins  (9546105)","Dolphins ",9546105,2400,"NO@MIA 09:30AM ET","MIA","NO",6.81,5.5,0
"DST","Browns  (9546097)","Browns ",9546097,2400,"CIN@CLE 01:00PM ET","CLE","CIN",6.2,6.3,0
"DST","Colts  (9546102)","Colts ",9546102,2400,"IND@SEA 08:30PM ET","IND","SEA",5.71,4.6,0
"DST","Bills  (9546094)","Bills ",9546094,2300,"BUF@ATL 01:00PM ET","BUF","ATL",7.6,3.7,0
"DST","Panthers  (9546118)","Panthers ",9546118,2300,"CAR@NE 01:00PM ET","CAR","NE",6.86,4.4,0
"DST","Raiders  (9546103)","Raiders ",9546103,2300,"OAK@DEN 04:25PM ET","OAK","DEN",7.62,5.6,0
"DST","49ers  (9546115)","49ers ",9546115,2200,"SF@ARI 04:05PM ET","SF","ARI",6.2,5.6,0
