QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Trevor Siemian (9546481),Ezekiel Elliott (9546843),Devonta Freeman (9546585),Demaryius Thomas (9546242),Rishard Matthews (9546537),Marquise Goodwin (9546420),Rob Gronkowski (9546257),Andre Ellington (9546350),Seahawks  (9546116)
Drew Brees (9546122),Ezekiel Elliott (9546843),Devonta Freeman (9546585),Michael Thomas (9546743),Rishard Matthews (9546537),Marquise Goodwin (9546420),Charles Clay (9546297),Chris Carson (9546987),Cowboys  (9546098)
Drew Brees (9546122),Ezekiel Elliott (9546843),Dalvin Cook (9546960),Michael Thomas (9546743),Alshon Jeffery (9546416),Marquise Goodwin (9546420),Evan Engram (9546914),Andre Ellington (9546350),Seahawks  (9546116)
Tyrod Taylor (9546282),Ezekiel Elliott (9546843),Devonta Freeman (9546585),Alshon Jeffery (9546416),Jordan Matthews (9546519),Marquise Goodwin (9546420),Rob Gronkowski (9546257),Chris Carson (9546987),Jaguars  (9546119)
Brian Hoyer (9546170),Le'Veon Bell (9546469),Ezekiel Elliott (9546843),Alshon Jeffery (9546416),Mike Wallace (9546249),Marquise Goodwin (9546420),Charles Clay (9546297),Devonta Freeman (9546585),Seahawks  (9546116)
Drew Brees (9546122),Ezekiel Elliott (9546843),Bilal Powell (9546307),Michael Thomas (9546743),Demaryius Thomas (9546242),Mike Wallace (9546249),Rob Gronkowski (9546257),Andre Ellington (9546350),Cowboys  (9546098)
Tyrod Taylor (9546282),Le'Veon Bell (9546469),Ezekiel Elliott (9546843),Michael Thomas (9546743),Rishard Matthews (9546537),Jordan Matthews (9546519),Charles Clay (9546297),Andre Ellington (9546350),Seahawks  (9546116)
Drew Brees (9546122),Ezekiel Elliott (9546843),Devonta Freeman (9546585),Demaryius Thomas (9546242),Willie Snead (9546577),Mike Wallace (9546249),Evan Engram (9546914),Chris Carson (9546987),Seahawks  (9546116)
Philip Rivers (9546161),Ezekiel Elliott (9546843),Bilal Powell (9546307),Keenan Allen (9546533),Alshon Jeffery (9546416),Rishard Matthews (9546537),Rob Gronkowski (9546257),Marquise Goodwin (9546420),Cowboys  (9546098)
Philip Rivers (9546161),Ezekiel Elliott (9546843),Dalvin Cook (9546960),Rishard Matthews (9546537),Tyrell Williams (9546716),Mike Wallace (9546249),Rob Gronkowski (9546257),Chris Carson (9546987),Seahawks  (9546116)
