"Place_lo","Place_hi","Payout"
"1","1","30000"
"2","2","15000"
"3","3","10000"
"4","4","7000"
"5","5","5000"
"6","6","4000"
"7","8","3000"
"9","10","2000"
"11","15","1500"
"16","20","1000"
"21","25","750"
"26","35","500"
"36","50","400"
"51","75","300"
"76","125","250"
"126","200","200"
"201","325","150"
"326","525","125"
"526","850","100"
"851","1390","75"
