"","2017-04-02","2017-04-03","2017-04-04","2017-04-05","2017-04-06","2017-04-07","2017-04-08","2017-04-09","2017-04-10","2017-04-11","2017-04-12","2017-04-13","2017-04-14","2017-04-15","2017-04-16","2017-04-17","2017-04-18","2017-04-19","2017-04-20","2017-04-21","2017-04-22","2017-04-23","2017-04-24","2017-04-25","2017-04-26","2017-04-27","2017-04-28","2017-04-29","2017-04-30","2017-05-01","2017-05-02","2017-05-03","2017-05-04","2017-05-05","2017-05-06","2017-05-07","2017-05-08","2017-05-09","2017-05-10","2017-05-11","2017-05-12","2017-05-13","2017-05-14","2017-05-15","2017-05-16","2017-05-17","2017-05-18","2017-05-19","2017-05-20","2017-05-21","2017-05-22","2017-05-23","2017-05-24","2017-05-25","2017-05-26","2017-05-27","2017-05-28","2017-05-29","2017-05-30"
"Paul Goldschmidt_ARI",8,NA,18,11,19,17,12,8,0,9,0,NA,4,8,8,11,10,0,5,18,11,18,NA,33,26,14,7,11,8,NA,12,5,14,39,NA,0,NA,9,16,3,9,14,32,12,9,9,NA,11,16,NA,19,15,NA,14,6,5,NA,0,7
"Jose Altuve_HOU",NA,NA,3,0,3,0,3,13,4,17,19,NA,26,19,NA,9,6,10,NA,3,23,22,NA,2,NA,NA,4,19,6,18,20,0,3,10,NA,21,NA,7,4,5,6,NA,6,23,11,28,NA,5,3,16,7,0,5,7,0,24,5,19,18
"Carlos Correa_HOU",NA,NA,2,6,2,5,4,8,9,0,10,NA,4,4,NA,NA,NA,NA,NA,2,0,16,NA,6,11,9,12,0,12,13,0,25,14,10,NA,2,NA,18,18,21,10,NA,9,6,14,NA,NA,16,2,0,0,NA,NA,22,8,8,8,32,7
"Adam Duvall_CIN",NA,8,NA,7,NA,0,0,26,16,21,7,0,0,NA,4,NA,27,0,0,19,5,NA,0,14,16,NA,0,NA,24,20,2,8,15,10,NA,NA,5,5,NA,3,2,3,5,NA,0,10,7,5,18,2,5,14,NA,NA,19,0,37,19,3
"Jose Bautista_TOR",NA,2,NA,3,6,9,2,9,NA,4,3,7,0,7,2,NA,4,0,NA,23,0,5,4,10,NA,NA,5,13,12,21,7,7,NA,0,NA,0,2,8,24,4,16,23,6,15,2,24,14,9,24,2,NA,15,NA,NA,0,18,7,14,19
"Jake Lamb_ARI",0,NA,20,7,20,12,9,5,3,21,20,NA,NA,5,6,16,9,3,3,11,18,11,2,NA,10,5,NA,20,3,NA,21,4,18,0,NA,5,NA,4,0,7,15,5,11,21,NA,20,NA,36,20,NA,12,16,NA,0,21,2,7,3,8
"Brian Dozier_MIN",NA,7,NA,NA,NA,2,8,5,NA,NA,14,13,15,NA,14,0,5,NA,NA,3,10,11,14,6,7,NA,0,NA,10,NA,28,13,4,0,NA,NA,NA,NA,NA,16,3,7,5,NA,14,NA,NA,3,NA,10,15,14,NA,NA,5,20,16,7,0
"George Springer_HOU",NA,NA,5,27,16,2,2,19,0,17,5,NA,3,22,NA,5,17,0,NA,9,2,NA,NA,NA,NA,NA,14,0,10,8,7,14,NA,9,NA,7,NA,7,7,7,7,NA,7,2,NA,14,NA,0,3,2,4,2,5,2,6,21,18,10,10
"Billy Hamilton_CIN",NA,10,NA,7,NA,13,NA,7,23,5,7,10,0,0,2,NA,17,7,0,5,NA,15,10,0,3,NA,3,NA,7,27,14,18,10,40,NA,12,5,12,NA,10,2,NA,6,NA,8,10,14,12,12,12,8,9,NA,NA,14,10,NA,10,10
"Miguel Sano_MIN",NA,20,NA,NA,NA,7,2,21,NA,NA,2,26,4,11,0,5,14,NA,NA,6,5,7,0,24,9,NA,27,NA,28,NA,20,9,2,17,NA,2,NA,NA,NA,20,16,6,7,NA,0,NA,NA,6,NA,16,31,0,NA,NA,0,NA,NA,18,NA
"Josh Donaldson_TOR",NA,11,NA,3,4,23,9,14,NA,NA,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,0,9,19
"AJ Pollock_ARI",24,NA,10,17,11,0,NA,0,0,5,10,NA,0,NA,4,16,15,13,5,24,10,NA,9,28,20,3,17,8,NA,NA,10,7,0,17,NA,NA,NA,10,12,0,17,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Giancarlo Stanton_MIA",NA,9,NA,0,NA,7,13,0,NA,2,34,9,NA,14,2,3,0,24,NA,16,30,13,NA,NA,2,7,7,0,8,0,7,9,0,11,NA,32,16,6,8,NA,6,0,7,3,2,9,8,0,23,NA,NA,11,NA,NA,22,0,22,9,16
"Justin Smoak_TOR",NA,NA,NA,10,3,9,3,0,NA,0,NA,NA,19,0,NA,NA,21,0,NA,11,21,3,5,NA,NA,NA,0,24,3,5,5,7,NA,19,NA,0,9,0,9,30,0,3,21,27,10,16,NA,9,14,5,NA,NA,NA,NA,20,5,3,32,2
"Chris Owings_ARI",8,NA,5,26,0,NA,7,32,5,3,3,NA,10,NA,6,4,0,NA,3,13,12,NA,28,19,2,35,10,5,NA,NA,12,17,3,3,NA,0,NA,6,8,7,5,NA,8,8,13,7,NA,15,8,NA,7,NA,NA,14,12,5,NA,2,7
"Joey Votto_CIN",NA,0,NA,14,NA,7,7,18,4,0,9,2,14,11,8,NA,25,2,14,2,32,4,16,3,14,NA,19,NA,8,4,22,9,20,14,NA,5,21,11,NA,9,3,3,8,NA,21,6,9,2,11,21,5,16,NA,NA,2,4,9,0,16
"Kendrys Morales_TOR",NA,4,NA,3,20,11,3,7,NA,11,0,4,5,16,0,NA,7,2,NA,6,6,5,0,2,NA,18,0,0,12,6,0,5,NA,41,NA,0,9,0,NA,NA,NA,14,3,4,3,NA,22,6,0,5,NA,16,NA,NA,17,7,2,27,19
"Adam Frazier_PIT",NA,7,NA,3,NA,NA,5,13,2,NA,0,NA,NA,17,26,0,5,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,13,NA,10,8,NA,NA,20,10,7,6,38,18,0,3,0,NA,NA
"Gregory Polanco_PIT",NA,3,NA,0,NA,NA,25,5,3,9,NA,15,NA,NA,NA,NA,2,2,NA,4,0,10,2,8,5,NA,7,14,9,0,NA,7,2,12,NA,14,3,2,0,14,12,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,3,19,8,NA
"Dee Gordon_MIA",NA,0,NA,12,NA,10,NA,9,NA,11,7,11,18,0,11,3,7,7,NA,0,12,10,NA,NA,10,3,NA,0,15,27,2,NA,15,7,NA,0,2,3,22,NA,0,0,0,6,5,7,2,8,15,NA,NA,25,NA,NA,13,3,NA,9,10
"Joe Mauer_MIN",NA,6,NA,NA,NA,NA,5,5,NA,NA,7,7,0,7,3,6,5,NA,NA,4,NA,3,3,10,NA,NA,9,NA,2,NA,16,9,NA,23,NA,NA,NA,10,NA,7,3,8,5,NA,NA,NA,NA,7,NA,11,21,0,NA,NA,7,7,33,10,3
"Josh Reddick_HOU",NA,NA,3,5,NA,3,NA,5,0,8,18,NA,0,NA,NA,13,0,33,NA,2,NA,0,NA,12,4,10,8,3,2,2,NA,20,9,19,NA,7,NA,19,NA,7,NA,NA,10,9,10,0,NA,14,2,5,6,14,NA,4,5,NA,10,15,8
"Josh Harrison_PIT",NA,7,NA,3,NA,NA,5,NA,NA,6,7,0,NA,14,11,4,3,3,NA,8,NA,6,12,3,21,NA,15,0,7,28,20,7,3,0,NA,NA,0,0,13,2,5,10,2,NA,19,NA,NA,5,12,8,3,9,12,15,11,7,6,0,5
"Starling Marte_PIT",NA,2,NA,3,NA,NA,7,27,3,10,0,2,NA,28,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Justin Bour_MIA",NA,0,NA,2,NA,9,4,0,NA,7,NA,9,3,14,2,0,19,3,NA,3,NA,18,NA,NA,7,0,0,3,35,3,5,0,7,16,NA,NA,0,7,22,NA,20,18,0,22,NA,5,19,14,7,NA,NA,33,NA,NA,21,0,5,3,14
"Carlos Beltran_HOU",NA,NA,0,6,3,10,10,NA,3,8,14,NA,5,2,NA,0,3,NA,NA,19,0,9,NA,0,2,NA,9,5,NA,0,15,0,NA,14,NA,0,NA,21,9,0,3,NA,12,NA,4,NA,NA,5,0,20,5,0,0,NA,14,NA,9,33,2
"Marwin Gonzalez_HOU",NA,NA,14,NA,16,NA,7,18,2,4,NA,NA,8,NA,NA,2,0,2,NA,NA,2,NA,NA,NA,12,19,NA,NA,18,NA,36,23,26,5,NA,NA,NA,NA,3,NA,5,NA,NA,NA,14,2,NA,NA,NA,21,8,7,2,18,NA,8,14,19,4
"Zack Cozart_CIN",NA,5,NA,8,NA,15,8,12,NA,NA,9,9,18,19,0,NA,11,2,5,9,5,NA,23,10,4,NA,5,NA,0,0,7,5,NA,21,NA,17,9,7,NA,12,4,NA,NA,NA,17,24,8,7,9,NA,7,3,NA,NA,3,29,3,2,32
"Robbie Grossman_MIN",NA,8,NA,NA,NA,12,NA,10,NA,NA,NA,24,2,16,5,8,7,NA,NA,11,7,3,2,NA,3,NA,0,NA,NA,NA,3,NA,NA,5,NA,6,NA,NA,NA,6,NA,4,NA,NA,4,NA,NA,19,NA,0,14,0,NA,NA,NA,7,NA,25,2
"Alex Bregman_HOU",NA,NA,0,7,NA,5,3,0,3,8,12,NA,8,16,NA,8,0,9,NA,5,5,5,NA,3,2,7,5,3,NA,7,5,10,7,NA,NA,9,NA,12,0,8,12,NA,0,5,NA,5,NA,5,0,14,3,0,27,0,0,5,NA,19,21
"Troy Tulowitzki_TOR",NA,0,NA,0,0,27,5,2,NA,16,2,6,7,3,10,NA,6,5,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,0,23,2
"Devon Travis_TOR",NA,6,NA,5,NA,4,0,0,NA,4,0,0,5,NA,NA,NA,4,0,NA,NA,3,23,0,NA,NA,NA,7,NA,0,12,12,0,NA,7,NA,0,7,NA,5,8,4,NA,10,19,21,7,NA,13,8,21,NA,5,NA,NA,30,5,3,20,0
"Marcell Ozuna_MIA",NA,5,NA,10,NA,15,23,0,NA,38,3,27,3,14,13,0,0,5,NA,14,0,11,NA,NA,0,0,4,3,17,14,3,19,5,14,NA,12,30,5,8,NA,0,5,8,3,5,0,2,6,12,NA,NA,9,NA,NA,10,20,8,0,22
"Scott Schebler_CIN",NA,7,NA,0,NA,16,NA,11,4,0,7,0,NA,19,3,NA,0,7,0,3,0,19,25,2,28,NA,21,NA,17,3,0,0,5,17,NA,16,3,12,NA,0,15,19,0,NA,2,2,0,NA,23,17,14,4,NA,NA,14,0,14,6,5
"Andrew McCutchen_PIT",NA,0,NA,0,NA,NA,2,0,5,8,10,16,NA,18,10,3,8,2,NA,5,25,7,4,2,7,NA,12,4,7,16,4,16,3,0,NA,NA,7,7,0,0,3,7,21,NA,0,24,NA,2,5,2,0,0,NA,NA,3,27,3,18,3
"David Peralta_ARI",0,NA,0,NA,25,6,16,8,2,0,13,NA,NA,0,0,21,10,0,NA,10,26,8,27,NA,16,5,0,NA,5,NA,NA,NA,NA,8,NA,0,NA,0,NA,12,22,3,5,NA,NA,NA,NA,21,18,NA,0,3,NA,7,0,NA,8,12,0
"Jordy Mercer_PIT",NA,5,NA,0,NA,NA,7,5,2,2,5,7,NA,NA,9,0,9,0,NA,18,7,4,0,3,5,NA,20,8,0,0,15,9,NA,4,NA,3,5,0,0,2,5,4,3,NA,7,3,NA,0,6,NA,8,21,24,16,3,10,2,16,0
"Christian Yelich_MIA",NA,0,NA,8,NA,21,7,0,NA,22,2,15,2,16,7,17,10,24,NA,0,2,14,NA,NA,2,8,16,0,10,2,0,10,4,9,NA,11,8,0,19,NA,6,3,7,5,0,0,16,0,6,NA,NA,5,NA,NA,23,5,7,4,9
"Max Kepler_MIN",NA,5,NA,NA,NA,0,3,0,NA,NA,7,27,7,17,8,5,7,NA,NA,4,2,16,NA,5,NA,NA,9,NA,16,NA,12,4,NA,3,NA,NA,NA,9,NA,NA,0,16,6,NA,NA,NA,NA,7,NA,8,32,5,NA,NA,0,8,4,7,5
"Eugenio Suarez_CIN",NA,2,NA,0,NA,NA,21,10,27,10,19,0,5,17,16,NA,NA,3,2,12,31,13,4,6,0,NA,5,NA,9,NA,3,20,2,19,NA,5,3,0,NA,7,0,3,3,NA,0,9,8,24,22,5,0,NA,NA,NA,8,10,0,3,4
"Kevin Pillar_TOR",NA,7,NA,3,3,6,3,0,NA,0,3,5,8,3,21,NA,17,19,NA,5,16,16,2,16,NA,7,33,0,0,10,8,7,NA,15,NA,17,4,3,4,9,15,22,16,5,21,0,NA,NA,15,5,NA,3,NA,NA,0,7,7,2,6
"Yasmany Tomas_ARI",0,NA,0,10,NA,16,20,NA,14,10,4,NA,0,NA,6,0,23,NA,3,11,32,NA,12,10,0,23,0,9,NA,NA,2,4,NA,2,NA,NA,NA,7,16,NA,7,2,NA,20,16,7,NA,7,7,NA,NA,8,NA,NA,2,0,NA,5,5
"Tommy Joseph_PHI",NA,0,NA,0,NA,NA,14,7,NA,0,5,NA,NA,3,5,NA,7,0,15,5,2,NA,NA,NA,5,NA,0,NA,0,22,9,NA,7,10,NA,0,NA,22,24,NA,NA,14,NA,NA,3,10,16,5,0,NA,5,5,0,19,0,19,7,2,0
"Aaron Altherr_PHI",NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,11,15,12,17,14,NA,NA,7,NA,0,NA,0,22,19,7,17,7,NA,NA,NA,23,34,NA,NA,4,4,NA,0,7,8,2,9,0,12,6,2,2,9,5,8,7,3
"Cesar Hernandez_PHI",NA,14,NA,0,NA,NA,23,12,5,10,8,NA,NA,21,29,NA,11,5,2,15,10,19,NA,NA,0,NA,5,8,12,15,2,3,21,5,NA,5,NA,14,6,NA,NA,14,0,NA,2,5,0,9,10,0,0,5,5,8,NA,17,0,5,0
"Brian McCann_HOU",NA,NA,14,NA,3,NA,17,7,NA,4,6,NA,16,NA,NA,NA,6,3,NA,15,NA,9,NA,0,16,7,NA,0,14,3,NA,18,4,23,NA,NA,NA,0,NA,2,21,NA,0,NA,16,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,4,NA,2,2
"Kennys Vargas_MIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,19,5,NA,NA,NA,6,NA,NA,25,0,NA,NA,16,NA,16,NA,NA,3,2,9,NA,0,NA,NA,NA,NA,3,NA,10,NA,NA,10,5,0,NA,NA
"Eddie Rosario_MIN",NA,3,NA,NA,NA,0,5,0,NA,NA,5,5,3,NA,2,8,6,NA,NA,18,5,14,3,10,5,NA,8,NA,5,NA,6,10,18,15,NA,7,NA,5,NA,0,0,NA,5,NA,3,NA,NA,0,NA,0,NA,NA,NA,NA,7,17,14,3,NA
"Evan Gattis_HOU",NA,NA,2,14,NA,3,NA,16,0,NA,NA,NA,NA,0,NA,5,NA,8,NA,NA,18,NA,NA,9,16,5,19,3,7,NA,5,NA,5,NA,NA,14,NA,NA,2,NA,2,NA,NA,4,NA,5,NA,NA,3,2,5,NA,2,12,6,5,2,NA,NA
"Russell Martin_TOR",NA,4,NA,2,4,NA,6,0,NA,0,5,2,10,NA,5,NA,18,2,NA,13,NA,4,19,5,NA,NA,NA,10,7,NA,2,6,NA,8,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,7,NA,NA,5,7,6,34,16
"Scooter Gennett_CIN",NA,NA,NA,NA,NA,2,0,NA,16,28,NA,NA,NA,14,NA,NA,3,NA,NA,NA,10,5,NA,NA,NA,NA,12,NA,NA,0,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,14,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,10,NA,2,NA
"Jose Peraza_CIN",NA,6,NA,0,NA,0,NA,9,13,12,22,8,0,0,NA,NA,20,0,0,7,10,0,5,6,3,NA,NA,NA,8,3,3,13,5,29,NA,0,0,5,NA,0,NA,7,13,NA,10,3,5,16,5,17,5,12,NA,NA,7,NA,8,0,18
"Chris Herrmann_ARI",NA,NA,NA,NA,10,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,16,NA,5,NA,NA,0,NA,NA,NA,NA,21,NA,0,NA,NA,6,NA,NA,NA,NA,NA,NA,2,NA,NA,21,NA,NA,21,NA,NA,14,NA,2,NA,NA,2,NA,2
"JT Realmuto_MIA",NA,10,NA,23,NA,NA,20,3,NA,5,2,NA,9,NA,6,0,3,5,NA,3,6,7,NA,NA,8,8,3,0,NA,0,0,25,3,5,NA,NA,0,5,3,NA,16,5,NA,5,10,NA,5,9,9,NA,NA,17,NA,NA,14,4,7,5,6
"Jorge Polanco_MIN",NA,12,NA,NA,NA,0,7,17,NA,NA,2,5,8,7,6,6,5,NA,NA,14,9,NA,5,11,0,NA,0,NA,8,NA,4,NA,5,5,NA,12,NA,15,NA,2,5,5,14,NA,4,NA,NA,5,NA,3,16,6,NA,NA,0,NA,7,15,NA
