"Paul Goldschmidt_ARI","Jose Altuve_HOU","Carlos Correa_HOU","Adam Duvall_CIN","Jose Bautista_TOR","Jake Lamb_ARI","Brian Dozier_MIN","George Springer_HOU","Billy Hamilton_CIN","Miguel Sano_MIN","Josh Donaldson_TOR","AJ Pollock_ARI","Giancarlo Stanton_MIA","Justin Smoak_TOR","Chris Owings_ARI","Joey Votto_CIN","Kendrys Morales_TOR","Adam Frazier_PIT","Gregory Polanco_PIT","Dee Gordon_MIA","Joe Mauer_MIN","Josh Reddick_HOU","Josh Harrison_PIT","Starling Marte_PIT","Justin Bour_MIA","Carlos Beltran_HOU","Marwin Gonzalez_HOU","Zack Cozart_CIN","Robbie Grossman_MIN","Alex Bregman_HOU","Troy Tulowitzki_TOR","Devon Travis_TOR","Marcell Ozuna_MIA","Scott Schebler_CIN","Andrew McCutchen_PIT","David Peralta_ARI","Jordy Mercer_PIT","Christian Yelich_MIA","Max Kepler_MIN","Eugenio Suarez_CIN","Kevin Pillar_TOR","Yasmany Tomas_ARI","Tommy Joseph_PHI","Aaron Altherr_PHI","Cesar Hernandez_PHI","Brian McCann_HOU","Kennys Vargas_MIN","Eddie Rosario_MIN","Evan Gattis_HOU","Russell Martin_TOR","Scooter Gennett_CIN","Jose Peraza_CIN","Chris Herrmann_ARI","JT Realmuto_MIA","Jorge Polanco_MIN","Derek Fisher_HOU","Steve Pearce_TOR","Francisco Cervelli_PIT","David Freese_PIT","Alen Hanson_PIT","Brandon Drury_ARI","Nick Ahmed_ARI","Yuli Gurriel_HOU","Phillip Ervin_CIN","Rey Fuentes_ARI","Jeremy Hazelbaker_ARI","Josh Bell_PIT","Martin Prado_MIA","Gregor Blanco_ARI","Howie Kendrick_PHI","Michael Saunders_PHI","Derek Dietrich_MIA","Jake Marisnick_HOU","Arismendy Alcantara_CIN","Socrates Brito_ARI","Norichika Aoki_HOU","Jason Castro_MIN","Dalton Pompey_TOR","Rowdy Tellez_TOR","John Jaso_PIT","Chris Iannetta_ARI","Danny Ortiz_PIT","Kevin Newman_PIT","Maikel Franco_PHI","Andrew Knapp_PHI","Rhys Hoskins_PHI","Eduardo Escobar_MIN","Byron Buxton_MIN","Ezequiel Carrera_TOR","Jesse Winker_CIN","Jose Osuna_PIT","Daniel Nava_PHI","Jarrod Saltalamacchia_TOR","Ryan Goins_TOR","Daniel Descalso_ARI","Chris Coghlan_TOR","Devin Mesoraco_CIN","Darrell Ceciliani_TOR","Elias Diaz_PIT","Phil Gosselin_PIT","Chris Bostick_PIT","Destin Hood_MIA","JT Riddle_MIA","Chris Gimenez_MIN","Anthony Alford_TOR","Ichiro Suzuki_MIA","Tyler Moore_MIA","Tomas Telis_MIA","Dwight Smith_TOR","Gift Ngoepe_PIT","Christian Colon_MIA","Freddy Galvis_PHI","Steve Lombardozzi_MIA","Brock Stassi_PHI","Cameron Rupp_PHI","Adeiny Hechavarria_MIA","Ehire Adrianza_MIN","Tucker Barnhart_CIN","Patrick Kivlehan_CIN","Max Moroff_PIT","Andres Blanco_PHI","AJ Ellis_MIA","Odubel Herrera_PHI","Juan Centeno_HOU","Tony Kemp_HOU","Luke Maile_TOR","Jeff Mathis_ARI","Chris Stewart_PIT","John Bormann_PIT","Mike Aviles_MIA","Darwin Barney_TOR","Ty Kelly_PHI","Miguel Rojas_MIA","Mike Ohlman_TOR","Stuart Turner_CIN"
49,0,0,0,0,45,0,0,0,0,0,31,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,40,23,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0
0,47,41,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,39,29,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
0,41,43,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,36,25,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,45,0,0,0,0,41,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,42,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,13,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,47,0,0,0,0,0,12,0,0,40,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,19,38,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,4,31,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,25,0,0,2,0
45,0,0,0,0,47,0,0,0,0,0,29,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,38,21,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0
0,0,0,0,0,0,36,0,0,33,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,15,32,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,16,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,43,37,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,36,27,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,41,0,0,0,0,44,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,42,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,14,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,33,0,0,35,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,14,31,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,16,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
