"Place_lo","Place_hi","Payout"
"1","1","500"
"2","2","400"
"3","3","300"
"4","4","250"
"5","5","200"
"6","6","150"
"7","8","125"
"9","10","100"
"11","15","75"
"16","20","50"
"21","30","35"
"31","40","25"
"41","50","20"
"51","60","16"
"61","80","14"
"81","100","12"
"101","150","10"
"151","250","8"
"251","450","6"
"451","700","4"
"701","1200","3"
"1201","2200","2"
"2201","4630","1.5"
