"Player","Pos","Team","Opp","Runs","vs. Pitcher","Hand","ERA/AVG","wOBA","ISO","Avg innings","K/9","WHIP","Order","Salary","Ceiling","Avg","FC Proj","My Proj","Exposure","Con.","Value","Actual Score","Actual Val"
"Stephen Strasburg","P","WSH","vs ATL",3.21,"Foltynewicz, R 3.48","R",2.8,0,0,6.7,9.9,1,NA,12700,46.9,24,27.18,27.18,"%",59,2.1,14.45,1.1
"Jacob deGrom","P","NYM","vs CHC",3.97,"Lackey, R 5.12","R",4.75,0,0,6,11.7,1.4,NA,10200,45.8,19.1,17.22,17.22,"%",25,1.7,31.95,3.1
"Yu Darvish","P","TEX","@ HOU",4.43,"Musgrove, R 4.89","R",3.07,0,0,6.3,9.7,1.13,NA,8800,32.7,20.6,14.62,14.62,"%",56,1.7,23.35,2.7
"Rick Porcello","P","BOS","vs PHI",3.97,"Eickhoff, R 5.29","R",4.46,0,0,6.2,8.7,1.48,NA,8600,30.4,15.2,16.28,16.28,"%",54,1.9,4.9,0.6
"Kyle Freeland","P","COL","@ PIT",4.78,"Taillon, R 3.31","L",3.21,0,0,5.8,5.7,1.31,NA,8100,25.5,13.7,11.09,11.09,"%",47,1.4,3.55,0.4
"Masahiro Tanaka","P","NYY","@ LAA",4.01,"Meyer, R 4.08","R",6.55,0,0,5.5,7.9,1.48,NA,7800,43.4,11.1,12.63,12.63,"%",0,1.6,25.4,3.3
"John Lackey","P","CHC","@ NYM",4.53,"deGrom, R 4.75","R",5.12,0,0,5.9,9.2,1.36,NA,7700,28.6,14.9,10.41,10.41,"%",39,1.4,0.45,0.1
"Joe Musgrove","P","HOU","vs TEX",4.07,"Darvish, R 3.07","R",4.89,0,0,5.3,7.3,1.43,NA,7600,31.6,11.8,12.64,12.64,"%",20,1.7,6.9,0.9
"Wade Miley","P","BAL","@ CWS",5.26,"Pelfrey, R 3.80","L",3.27,0,0,5.3,8.2,1.53,NA,7300,31,13.5,9.15,9.15,"%",19,1.3,-11.55,NA
"Jameson Taillon","P","PIT","vs COL",4.22,"Freeland, L 3.21","R",3.31,0,0,5.9,7.6,1.33,NA,6800,28.5,15.4,13.5,13.5,"%",51,2,21.05,3.1
"Michael Foltynewicz","P","ATL","@ WSH",5.29,"Strasburg, R 2.80","R",3.48,0,0,5.4,7.7,1.28,NA,6600,32.2,14.2,9.88,9.88,"%",22,1.5,-16.3,NA
"Adalberto Mejia","P","MIN","vs SEA",4.93,"Gallardo, R 6.26","L",4.18,0,0,4.6,8,1.42,NA,6500,22.3,10.9,9.37,9.37,"%",41,1.4,-5.75,NA
"Alex Meyer","P","LAA","vs NYY",4.49,"Tanaka, R 6.55","R",4.08,0,0,5,10.6,1.47,NA,6400,31.2,14.9,11.59,11.59,"%",34,1.8,10.5,1.6
"Luis Perdomo","P","SD","vs CIN",4.04,"Arroyo, R 6.25","R",5.47,0,0,5.4,7.8,1.4,NA,6300,32.1,10.1,10.76,10.76,"%",0,1.7,15.6,2.5
"Yovani Gallardo","P","SEA","@ MIN",5.57,"Mejia, L 4.18","R",6.26,0,0,5.4,6.8,1.59,NA,5800,25.8,8.3,6.9,6.9,"%",0,1.2,16.7,2.9
"Charlie Blackmon","OF","COL","@ PIT",4.22,"Taillon, R 3.31","L",0.336,0.419,0.293,0,0,0,1,5600,30.7,11.2,13.56,13.56,"%",62,2.4,5,0.9
"Mike Pelfrey","P","CWS","vs BAL",5.24,"Miley, L 3.27","R",3.8,0,0,5,5.4,1.18,NA,5500,23.4,10.2,7.5,7.5,"%",22,1.4,1.05,0.2
"Aaron Judge","OF","NYY","@ LAA",4.49,"Meyer, R 4.08","R",0.345,0.485,0.379,0,0,0,3,5500,35.5,12.2,14.47,14.47,"%",57,2.6,25,4.5
"Bryce Harper","OF","WSH","vs ATL",5.29,"Foltynewicz, R 3.48","L",0.312,0.433,0.281,0,0,0,2,5400,35.4,10.8,14.97,14.97,"%",53,2.8,20,3.7
"Trea Turner","SS","WSH","vs ATL",5.29,"Foltynewicz, R 3.48","R",0.256,0.298,0.14,0,0,0,1,5300,33.6,9.6,14.52,14.52,"%",50,2.7,24,4.5
"Joey Votto","1B","CIN","@ SD",4.04,"Perdomo, R 5.47","L",0.3,0.432,0.305,0,0,0,3,5200,27.3,10.5,12.64,12.64,"%",65,2.4,8,1.5
"Nelson Cruz","OF","SEA","@ MIN",4.93,"Mejia, L 4.18","R",0.298,0.396,0.255,0,0,0,4,5100,29.5,8.7,14.27,14.27,"%",56,2.8,24,4.7
"Andrew Benintendi","OF","BOS","vs PHI",6.54,"Eickhoff, R 5.29","L",0.261,0.322,0.147,0,0,0,5,5100,30.4,8.1,13.15,13.15,"%",47,2.6,22,4.3
"Jerad Eickhoff","P","PHI","@ BOS",6.54,"Porcello, R 4.46","R",5.29,0,0,5.4,8,1.5,NA,5000,23.4,10.4,5.52,5.52,"%",14,1.1,14.1,2.8
"Mark Reynolds","1B","COL","@ PIT",4.22,"Taillon, R 3.31","R",0.306,0.407,0.264,0,0,0,4,4900,28.9,9.4,11.49,11.49,"%",54,2.3,2,0.4
"George Springer","OF","HOU","vs TEX",4.43,"Darvish, R 3.07","R",0.275,0.365,0.236,0,0,0,1,4900,27.7,9.3,10.6,10.6,"%",54,2.2,0,NA
"Bronson Arroyo","P","CIN","@ SD",4.46,"Perdomo, R 5.47","R",6.25,0,0,4.9,5.7,1.44,NA,4900,23.6,7,7.58,7.58,"%",0,1.5,-11.9,NA
"Nolan Arenado","3B","COL","@ PIT",4.22,"Taillon, R 3.31","R",0.282,0.374,0.261,0,0,0,3,4800,27.1,9.1,11.49,11.49,"%",57,2.4,14,2.9
"Cameron Maybin","OF","LAA","vs NYY",4.01,"Tanaka, R 6.55","R",0.261,0.352,0.127,0,0,0,1,4800,27.3,9.4,9.06,9.06,"%",51,1.9,7,1.5
"Brett Gardner","OF","NYY","@ LAA",4.49,"Meyer, R 4.08","L",0.259,0.357,0.236,0,0,0,1,4800,29.1,9.3,11.66,11.66,"%",53,2.4,9,1.9
"Matt Holliday","1B","NYY","@ LAA",4.49,"Meyer, R 4.08","R",0.286,0.395,0.245,0,0,0,4,4700,28.5,8.7,11.94,11.94,"%",52,2.5,6,1.3
"Jay Bruce","1B/OF","NYM","vs CHC",4.53,"Lackey, R 5.12","L",0.258,0.361,0.271,0,0,0,4,4700,30.1,9.1,11.22,11.22,"%",48,2.4,28,6
"Jose Altuve","2B","HOU","vs TEX",4.43,"Darvish, R 3.07","R",0.325,0.395,0.194,0,0,0,3,4700,26.1,9.5,10.22,10.22,"%",58,2.2,0,NA
"Carlos Correa","SS","HOU","vs TEX",4.43,"Darvish, R 3.07","R",0.294,0.379,0.213,0,0,0,4,4700,25.5,9.1,10.47,10.47,"%",59,2.2,5,1.1
"Zack Cozart","SS","CIN","@ SD",4.04,"Perdomo, R 5.47","R",0.329,0.423,0.251,0,0,0,2,4700,28.2,9.8,11.19,11.19,"%",57,2.4,0,NA
"Daniel Murphy","2B","WSH","vs ATL",5.29,"Foltynewicz, R 3.48","L",0.339,0.401,0.212,0,0,0,3,4700,29.6,9.6,12.73,12.73,"%",56,2.7,10,2.1
"Miguel Sano","3B","MIN","vs SEA",5.57,"Gallardo, R 6.26","R",0.289,0.417,0.304,0,0,0,4,4600,31.1,9.9,13.75,13.75,"%",56,3,0,NA
"Jonathan Schoop","2B","BAL","@ CWS",5.24,"Pelfrey, R 3.80","R",0.281,0.361,0.24,0,0,0,6,4600,22.4,7.9,10.09,10.09,"%",61,2.2,16,3.5
"Xander Bogaerts","SS","BOS","vs PHI",6.54,"Eickhoff, R 5.29","R",0.325,0.365,0.127,0,0,0,3,4600,28.7,8.5,15.35,15.35,"%",61,3.3,0,NA
"Mookie Betts","OF","BOS","vs PHI",6.54,"Eickhoff, R 5.29","R",0.265,0.353,0.193,0,0,0,1,4600,32.6,9.2,15.35,15.35,"%",53,3.3,29,6.3
"Andrew McCutchen","OF","PIT","vs COL",4.78,"Freeland, L 3.21","R",0.251,0.333,0.185,0,0,0,6,4600,23.2,7.8,8.54,8.54,"%",53,1.9,9,2
"Starlin Castro","2B","NYY","@ LAA",4.49,"Meyer, R 4.08","R",0.328,0.386,0.21,0,0,0,5,4600,24.9,9.2,9.99,9.99,"%",59,2.2,8,1.7
"Aaron Hicks","OF","NYY","@ LAA",4.49,"Meyer, R 4.08","R",0.317,0.429,0.267,0,0,0,2,4600,29.9,10,11.38,11.38,"%",54,2.5,7,1.5
"Anthony Rizzo","1B","CHC","@ NYM",3.97,"deGrom, R 4.75","L",0.246,0.377,0.223,0,0,0,3,4600,26.2,9.1,10.46,10.46,"%",57,2.3,9,2
"Neil Walker","2B","NYM","vs CHC",4.53,"Lackey, R 5.12","B",0.271,0.353,0.192,0,0,0,2,4600,25.9,8,10.68,10.68,"%",52,2.3,3,0.7
"Avisail Garcia","OF","CWS","vs BAL",5.26,"Miley, L 3.27","R",0.333,0.397,0.221,0,0,0,4,4500,29.5,8.9,11.21,11.21,"%",49,2.5,21,4.7
"Mitch Moreland","1B","BOS","vs PHI",6.54,"Eickhoff, R 5.29","L",0.279,0.377,0.206,0,0,0,4,4500,28.5,7.9,14.8,14.8,"%",57,3.3,8,1.8
"Kris Bryant","3B","CHC","@ NYM",3.97,"deGrom, R 4.75","R",0.272,0.405,0.267,0,0,0,2,4500,26.8,9.6,10.33,10.33,"%",57,2.3,3,0.7
