"Rank","TRank","Price","Ratio","Value","Name","Team","Game","Pos","Order","R","HR","RBI","SB","AB","1B","2B","3B","BB","HBP","CS","W","SO","IP","CG","SHO","ER","H","BB__1","HBP__1"
1,1,4300,100,43,"Freddie Freeman","ATL",NA,"1B/3B",3,3,2,2,1,5,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,11800,27.7542372881356,32.75,"Noah Syndergaard","NYM",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,7,0,0,1,5,0,0
3,2,3100,103.225806451613,32,"Chris Owings","ARI",NA,"SS/OF",5,2,1,1,2,4,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2,9600,32.03125,30.75,"Jake Arrieta","CHC",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,7,0,0,3,3,2,0
5,3,3800,71.0526315789474,27,"Robinson Cano","SEA",NA,"2B",3,1,1,5,0,5,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,3,6000,44.1666666666667,26.5,"Scott Feldman","CIN",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,6,0,0,0,4,1,0
7,4,9900,25.8080808080808,25.55,"Lance McCullers","HOU",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10,7,0,0,3,6,0,1
8,4,4300,58.1395348837209,25,"Starling Marte","PIT",NA,"OF",2,2,1,2,0,5,3,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,5,3000,83.3333333333333,25,"Robinson Chirinos","TEX",NA,"C",7,2,1,3,0,3,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,6,3500,71.4285714285714,25,"Joey Gallo","TEX",NA,"1B/3B",8,1,1,5,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,5,11600,20.9913793103448,24.35,"Johnny Cueto","SF",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,7,0,0,2,5,3,1
12,7,3700,64.8648648648649,24,"Adam Duvall","CIN",NA,"OF",4,2,1,2,0,4,2,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,8,3300,72.7272727272727,24,"Steven Souza","TB",NA,"OF",5,2,1,3,0,2,0,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,6,4200,55.2380952380952,23.2,"Chris Devenski","HOU",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,4,0,0,1,3,0,0
