"JD Martinez_DET","Miguel Cabrera_DET","Corey Dickerson_TB","Brian Dozier_MIN","Jose Abreu_CWS","Logan Morrison_TB","Miguel Sano_MIN","Max Kepler_MIN","Ian Kinsler_DET","Avisail Garcia_CWS","Steven Souza_TB","Justin Upton_DET","Brad Miller_TB","Victor Martinez_DET","Evan Longoria_TB","Robbie Grossman_MIN","Melky Cabrera_CWS","Todd Frazier_CWS","Tim Anderson_CWS","Joe Mauer_MIN","Wilson Ramos_TB","Leury Garcia_CWS","Matt Davidson_CWS","Colby Rasmus_TB","Kennys Vargas_MIN","Kevin Kiermaier_TB","Alex Avila_DET","Nicholas Castellanos_DET","Yoan Moncada_CWS","Matt Duffy_TB","Jorge Polanco_MIN","Byron Buxton_MIN","Tyler Collins_DET","Jake Bauers_TB","Andrew Romine_DET","Jose Iglesias_DET","James McCann_DET","Tyler Saladino_CWS","Rickie Weeks_TB","Eduardo Escobar_MIN","Mallex Smith_TB","Yolmer Sanchez_CWS","JaCoby Jones_DET","Charlie Tilson_CWS","Peter Bourjos_TB","Jesus Sucre_TB","Tim Beckham_TB","Jason Castro_MIN","Eddie Rosario_MIN","Dixon Machado_DET","John Hicks_DET","Mikie Mahtook_DET","Derek Norris_TB","Curt Casali_TB","Chris Gimenez_MIN","Daniel Robertson_TB","Jim Adduci_DET","Jacob May_CWS","Cody Asche_CWS","Willy Garcia_CWS","Michael Martinez_TB","Geovany Soto_CWS","Omar Narvaez_CWS","Shane Peterson_TB","Ehire Adrianza_MIN","Kevan Smith_CWS","Zack Collins_CWS"
10,8,0,0,0,0,0,0,10,0,0,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,3,8,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,27,0,0,0,0,0,0,22,0,0,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,18,0,17,23,18,0,0,0,0,0,7,0,0,0,0,0,0,5,0,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
0,0,42,0,0,36,0,0,0,0,35,0,28,0,40,0,0,0,0,0,0,0,0,15,0,40,0,0,0,0,0,0,0,0,0,0,0,0,14,0,7,0,0,0,6,12,37,0,0,0,0,0,30,0,0,22,0,0,0,0,2,0,0,9,0,0,0
0,0,0,32,0,0,32,27,0,0,0,0,0,0,0,23,0,0,0,27,0,0,0,0,13,0,0,0,0,0,30,28,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,24,29,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,38,0,0,0,0,36,0,0,0,0,0,0,34,30,31,0,0,31,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,9,0,9,21,0,0,8,0
0,0,36,0,0,39,0,0,0,0,32,0,27,0,38,0,0,0,0,0,0,0,0,15,0,38,0,0,0,0,0,0,0,0,0,0,0,0,11,0,7,0,0,0,4,10,34,0,0,0,0,0,29,0,0,18,0,0,0,0,2,0,0,9,0,0,0
0,0,0,32,0,0,34,28,0,0,0,0,0,0,0,25,0,0,0,28,0,0,0,0,14,0,0,0,0,0,32,30,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,24,30,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,2,0,0
0,0,0,27,0,0,28,29,0,0,0,0,0,0,0,20,0,0,0,27,0,0,0,0,10,0,0,0,0,0,27,25,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,24,25,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0
10,22,0,0,0,0,0,0,33,0,0,30,0,31,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,23,0,17,25,21,0,0,0,0,0,7,0,0,0,0,0,0,5,4,10,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
0,0,0,0,36,0,0,0,0,37,0,0,0,0,0,0,33,29,30,0,0,30,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,8,0,10,20,0,0,7,0
