"","P","P","C","1B","2B","3B","SS","OF","OF","OF"
"1","Jacob deGrom","Alex Meyer","Buster Posey","Anthony Rizzo","Ian Kinsler","Justin Turner","Corey Seager","Kyle Schwarber","Yasiel Puig","Andrew Toles"
"2","Corey Kluber","Drew Pomeranz","Yasmani Grandal","Eric Thames","Jose Altuve","Justin Turner","Corey Seager","Kyle Schwarber","Joc Pederson","Josh Reddick"
"3","Corey Kluber","Justin Verlander","Yasmani Grandal","Adrian Gonzalez","Josh Harrison","Justin Turner","Jordy Mercer","AJ Pollock","Yasiel Puig","Andrew Toles"
"4","Corey Kluber","Alex Meyer","Yan Gomes","Paul Goldschmidt","Jonathan Villar","Kris Bryant","Corey Seager","Bryce Harper","Joc Pederson","Andrew Toles"
"5","Corey Kluber","Alex Meyer","Yasmani Grandal","Matt Carpenter","Rougned Odor","Eduardo Nunez","Corey Seager","Nelson Cruz","Carlos Gomez","Yasiel Puig"
"6","Corey Kluber","Alex Meyer","Buster Posey","Brandon Belt","Kolten Wong","Eduardo Nunez","Jordy Mercer","Kyle Schwarber","AJ Pollock","Joc Pederson"
"7","Corey Kluber","Jacob deGrom","James McCann","Paul Goldschmidt","Kolten Wong","Justin Turner","Chris Owings","Yasmany Tomas","Josh Reddick","Andrew Toles"
"8","Jacob deGrom","Drew Pomeranz","Yasmani Grandal","Brandon Belt","Kolten Wong","Kris Bryant","Corey Seager","Nelson Cruz","AJ Pollock","Andrew Toles"
"9","Corey Kluber","Jon Lester","Salvador Perez","Matt Carpenter","Cesar Hernandez","Justin Turner","Corey Seager","Andrew Toles","Chris Marrero","Guillermo Heredia"
"10","Jon Lester","Alex Meyer","Yasmani Grandal","Miguel Cabrera","Dee Gordon","Justin Turner","Corey Seager","Bryce Harper","Christian Yelich","AJ Pollock"
"11","Jon Lester","Drew Pomeranz","Buster Posey","Paul Goldschmidt","Rougned Odor","Justin Turner","Jordy Mercer","Nelson Cruz","Joc Pederson","Andrew Toles"
"12","Jon Lester","Drew Pomeranz","Yan Gomes","Adrian Gonzalez","Josh Harrison","Kris Bryant","Corey Seager","Kyle Schwarber","Yasiel Puig","Yasmany Tomas"
"13","Justin Verlander","Jacob deGrom","Buster Posey","Eric Thames","Cesar Hernandez","Eduardo Nunez","Jordy Mercer","Josh Reddick","Andrew Toles","Chris Marrero"
"14","Jon Lester","Jacob deGrom","Yasmani Grandal","Eric Thames","Jonathan Villar","David Freese","Chris Owings","Yasiel Puig","Joc Pederson","Andrew Toles"
"15","Justin Verlander","Alex Meyer","Yasmani Grandal","Anthony Rizzo","Rougned Odor","Kris Bryant","Jordy Mercer","Bryce Harper","Kyle Schwarber","Josh Reddick"
"16","Corey Kluber","Drew Pomeranz","Buster Posey","Adrian Gonzalez","Dee Gordon","Eduardo Nunez","Corey Seager","Christian Yelich","Andrew Toles","Jaff Decker"
"17","Corey Kluber","Drew Pomeranz","Buster Posey","Brandon Belt","Jonathan Villar","Justin Turner","Chris Owings","Carlos Gomez","Yasiel Puig","Chris Marrero"
