P,P,C,1B,2B,3B,SS,OF,OF,OF
Corey Kluber,Adam Conley,Jett Bandy,Trey Mancini,Jose Ramirez,Manny Machado,JJ Hardy,Ryan Braun,Mark Trumbo,Craig Gentry
Corey Kluber,Jacob deGrom,Alex Avila,Trey Mancini,Chad Pinder,Manny Machado,JJ Hardy,Adam Jones,Khris Davis,Craig Gentry
Justin Verlander,Adam Conley,Alex Avila,Trey Mancini,Ian Kinsler,Manny Machado,JJ Hardy,Mark Trumbo,Yoenis Cespedes,Craig Gentry
Corey Kluber,Justin Verlander,Travis d'Arnaud,Trey Mancini,Scooter Gennett,Manny Machado,JJ Hardy,Mark Trumbo,Adam Duvall,Craig Gentry
Johnny Cueto,Trevor Cahill,Travis d'Arnaud,Lucas Duda,Jonathan Schoop,Manny Machado,JJ Hardy,Mark Trumbo,Yoenis Cespedes,Craig Gentry
Justin Verlander,Sean Manaea,Miguel Montero,Trey Mancini,Jose Ramirez,Kris Bryant,JJ Hardy,Mark Trumbo,Adam Jones,Craig Gentry
Cole Hamels,Adam Conley,Welington Castillo,Trey Mancini,Austin Barnes,Manny Machado,JJ Hardy,Bryce Harper,Yasiel Puig,Craig Gentry
Corey Kluber,Adam Conley,Jose Lobaton,Trey Mancini,Daniel Murphy,Manny Machado,JJ Hardy,Bryce Harper,Adam Jones,Craig Gentry
Sean Manaea,Dylan Bundy,Robinson Chirinos,Trey Mancini,Jonathan Schoop,Stephen Drew,JJ Hardy,Bryce Harper,Adam Jones,Craig Gentry
Justin Verlander,Adam Conley,Robinson Chirinos,Trey Mancini,Jose Ramirez,Manny Machado,Elvis Andrus,Mark Trumbo,Adam Jones,Craig Gentry
Sean Manaea,Trevor Cahill,Welington Castillo,Trey Mancini,Jose Ramirez,Stephen Drew,JJ Hardy,Bryce Harper,Mark Trumbo,Craig Gentry
Jon Lester,Justin Verlander,Austin Hedges,Trey Mancini,Jonathan Schoop,Manny Machado,JJ Hardy,Yoenis Cespedes,Matt Kemp,Craig Gentry
Justin Verlander,Sean Manaea,Welington Castillo,Trey Mancini,Austin Barnes,Justin Turner,JJ Hardy,Mark Trumbo,Yasiel Puig,Craig Gentry
