Name_Team,2017-04-02,2017-04-03
Jeff Mathis_ARI,18.0,0.0
Jake Arrieta_CHC,NA,25.3
Johnny Cueto_SF,NA,12.45
Kenta Maeda_LAD,NA,8.45
Lance McCullers_HOU,NA,25.9
Carlos Carrasco_CLE,NA,23.15
Matt Shoemaker_LAA,NA,11.05
Jake Odorizzi_TB,NA,8.1
Hisashi Iwakuma_SEA,NA,9.3
Sean Manaea_OAK,NA,8.7
Adam Wainwright_STL,NA,16.25
CC Sabathia_NYY,NA,16.25
Zach Davies_MIL,NA,-8.05
Tyler Anderson_COL,NA,17.35
Martin Perez_TEX,NA,10.1
Clayton Richard_SD,NA,27.8
Patrick Corbin_ARI,NA,1.6
Mike Trout_LAA,NA,10.0
Nolan Arenado_COL,NA,11.0
Ryan Braun_MIL,NA,19.0
Charlie Blackmon_COL,NA,10.0
Carlos Gonzalez_COL,NA,7.0
Michael Brantley_CLE,NA,8.0
Edwin Encarnacion_CLE,NA,2.0
Jose Altuve_HOU,NA,3.0
Carlos Correa_HOU,NA,2.0
Carlos Santana_CLE,NA,21.0
Francisco Lindor_CLE,NA,2.0
DJ LeMahieu_COL,NA,5.0
Corey Seager_LAD,NA,0.0
Trevor Story_COL,NA,18.0
Robinson Cano_SEA,NA,7.0
Nelson Cruz_SEA,NA,0.0
George Springer_HOU,NA,5.0
Jonathan Villar_MIL,NA,0.0
Jean Segura_SEA,NA,0.0
Jose Ramirez_CLE,NA,2.0
Rougned Odor_TEX,NA,3.0
Shin-Soo Choo_TEX,NA,3.0
Kyle Seager_SEA,NA,5.0
Wil Myers_SD,NA,10.0
Keon Broxton_MIL,NA,2.0
Gerardo Parra_COL,NA,19.0
Mike Napoli_TEX,NA,9.0
Carlos Gomez_TEX,NA,0.0
Alex Bregman_HOU,NA,0.0
Albert Pujols_LAA,NA,0.0
Khris Davis_OAK,NA,2.0
Domingo Santana_MIL,NA,11.0
Elvis Andrus_TEX,NA,2.0
Evan Gattis_HOU,NA,2.0
Nomar Mazara_TEX,NA,10.0
Carlos Beltran_HOU,NA,0.0
Adrian Gonzalez_LAD,NA,3.0
Yasiel Puig_LAD,NA,0.0
Rajai Davis_OAK,NA,17.0
Joey Gallo_TEX,NA,19.0
Travis Shaw_MIL,NA,16.0
Yasmani Grandal_LAD,NA,0.0
Logan Forsythe_LAD,NA,8.0
Kole Calhoun_LAA,NA,7.0
Orlando Arcia_MIL,NA,0.0
Josh Reddick_HOU,NA,3.0
Mitch Haniger_SEA,NA,7.0
Justin Turner_LAD,NA,3.0
Trevor Plouffe_OAK,NA,0.0
Brandon Guyer_CLE,NA,5.0
Cameron Maybin_LAA,NA,8.0
Ryon Healy_OAK,NA,19.0
Marcus Semien_OAK,NA,9.0
Jesus Aguilar_MIL,NA,5.0
Mark Reynolds_COL,NA,12.0
Brian McCann_HOU,NA,14.0
Danny Valencia_SEA,NA,8.0
Ryan Schimpf_SD,NA,5.0
Franklin Gutierrez_LAD,NA,3.0
Stephen Vogt_OAK,NA,0.0
Jefry Marte_LAA,NA,9.0
Tony Wolters_COL,NA,2.0
Yan Gomes_CLE,NA,4.0
Leonys Martin_SEA,NA,0.0
Yangervis Solarte_SD,NA,19.0
Albert Almora_CHC,NA,3.0
Robinson Chirinos_TEX,NA,0.0
Austin Jackson_CLE,NA,10.0
Manuel Margot_SD,NA,13.0
Yunel Escobar_LAA,NA,5.0
Yandy Diaz_CLE,NA,0.0
Marwin Gonzalez_HOU,NA,14.0
Jarrod Dyson_SEA,NA,5.0
Hunter Renfroe_SD,NA,3.0
Kolten Wong_STL,NA,3.0
Yonder Alonso_OAK,NA,7.0
Andrelton Simmons_LAA,NA,7.0
Ryan Rua_TEX,NA,2.0
Mike Zunino_SEA,NA,3.0
Gorkys Hernandez_SF,NA,20.0
Peter Bourjos_TB,NA,2.0
Jed Lowrie_OAK,NA,24.0
Danny Espinosa_LAA,NA,18.0
Jett Bandy_MIL,NA,6.0
Chris Marrero_SF,NA,2.0
Travis Jankowski_SD,NA,4.0
Enrique Hernandez_LAD,NA,2.0
Daniel Robertson_TB,NA,0.0
Rickie Weeks_TB,NA,0.0
Matt Joyce_OAK,NA,0.0
Austin Hedges_SD,NA,0.0
Erick Aybar_SD,NA,15.0
Martin Maldonado_LAA,NA,9.0
