"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Projection_fc","Projection_dfn_perturbed"
"WR","Antonio Brown (7498956)","Antonio Brown",7498956,9700,"KC@Pit 08:30PM ET","Pit","Antonio","Brown","KC",27.29,28.4,22.35,28.4
"WR","Julio Jones (7498881)","Julio Jones",7498881,9200,"Car@Atl 01:00PM ET","Atl","Julio","Jones","Car",19.41,25.2,19.64,25.2
"WR","DeAndre Hopkins (7498839)","DeAndre Hopkins",7498839,8400,"Ten@Hou 01:00PM ET","Hou","DeAndre","Hopkins","Ten",19.09,18.3,19.49,18.3
"WR","Dez Bryant (7498944)","Dez Bryant",7498944,7900,"Dal@SF 04:25PM ET","Dal","Dez","Bryant","SF",0,0,0,0
"QB","Cam Newton (7498689)","Cam Newton",7498689,7800,"Car@Atl 01:00PM ET","Car","Cam","Newton","Atl",23.46,24,22.74,24
"RB","David Johnson (7498800)","David Johnson",7498800,7800,"LA@Ari 04:25PM ET","Ari","David","Johnson","LA",20.41,20.1,20.76,20.1
"WR","Amari Cooper (7498897)","Amari Cooper",7498897,7600,"Oak@Bal 01:00PM ET","Oak","Amari","Cooper","Bal",16.13,16.7,14.34,16.7
"QB","Drew Brees (7498711)","Drew Brees",7498711,7600,"NO@SD 04:25PM ET","NO","Drew","Brees","SD",21.25,23,20.72,23
"WR","Alshon Jeffery (7498907)","Alshon Jeffery",7498907,7500,"Det@Chi 01:00PM ET","Chi","Alshon","Jeffery","Det",15.45,19.2,15.16,19.2
"RB","Le'Veon Bell (7498829)","Le'Veon Bell",7498829,7500,"KC@Pit 08:30PM ET","Pit","Le'Veon","Bell","KC",20.18,19.9,15.05,19.9
"WR","Brandin Cooks (7498940)","Brandin Cooks",7498940,7400,"NO@SD 04:25PM ET","NO","Brandin","Cooks","SD",18.28,16.2,18.32,16.2
"QB","Matthew Stafford (7498698)","Matthew Stafford",7498698,7300,"Det@Chi 01:00PM ET","Det","Matthew","Stafford","Chi",20.31,20.7,21.78,20.7
"WR","Marvin Jones Jr. (7498906)","Marvin Jones",7498906,7300,"Det@Chi 01:00PM ET","Det","Marvin","Jones","Chi",18.53,19.5,18.35,19.5
"WR","Larry Fitzgerald (7498923)","Larry Fitzgerald",7498923,7200,"LA@Ari 04:25PM ET","Ari","Larry","Fitzgerald","LA",19.97,17.2,16.68,17.2
"WR","Kelvin Benjamin (7498887)","Kelvin Benjamin",7498887,7100,"Car@Atl 01:00PM ET","Car","Kelvin","Benjamin","Atl",17.76,15.5,19.3,15.5
"QB","Ben Roethlisberger (7498722)","Ben Roethlisberger",7498722,7100,"KC@Pit 08:30PM ET","Pit","Ben","Roethlisberger","KC",20.96,22.5,18.55,22.5
"RB","Lamar Miller (7498729)","Lamar Miller",7498729,7000,"Ten@Hou 01:00PM ET","Hou","Lamar","Miller","Ten",19.13,17.1,17.79,17.1
"WR","Brandon Marshall (7498856)","Brandon Marshall",7498856,7000,"Sea@NYJ 01:00PM ET","NYJ","Brandon","Marshall","Sea",15.57,16.4,14.73,16.4
"QB","Matt Ryan (7498686)","Matt Ryan",7498686,7000,"Car@Atl 01:00PM ET","Atl","Matt","Ryan","Car",18.75,18.6,16.7,18.6
"QB","Philip Rivers (7498713)","Philip Rivers",7498713,6900,"NO@SD 04:25PM ET","SD","Philip","Rivers","NO",20.52,22.7,19.99,22.7
"RB","Ezekiel Elliott (7498822)","Ezekiel Elliott",7498822,6900,"Dal@SF 04:25PM ET","Dal","Ezekiel","Elliott","SF",17.41,16.3,15.21,16.3
"RB","DeMarco Murray (7498727)","DeMarco Murray",7498727,6800,"Ten@Hou 01:00PM ET","Ten","DeMarco","Murray","Hou",17.42,15,12.9,15
"RB","LeSean McCoy (7498754)","LeSean McCoy",7498754,6700,"Buf@NE 01:00PM ET","Buf","LeSean","McCoy","NE",14.97,15.6,14.94,15.6
"QB","Derek Carr (7498693)","Derek Carr",7498693,6700,"Oak@Bal 01:00PM ET","Oak","Derek","Carr","Bal",19.57,20.1,17.55,20.1
"WR","Demaryius Thomas (7498914)","Demaryius Thomas",7498914,6700,"Den@TB 04:05PM ET","Den","Demaryius","Thomas","TB",15.57,17.2,17.42,17.2
"RB","Todd Gurley (7498802)","Todd Gurley",7498802,6700,"LA@Ari 04:25PM ET","LA","Todd","Gurley","Ari",12.91,15.5,14.39,15.5
"QB","Russell Wilson (7498675)","Russell Wilson",7498675,6600,"Sea@NYJ 01:00PM ET","Sea","Russell","Wilson","NYJ",19.22,19.7,17.97,19.7
"RB","Matt Forte (7498743)","Matt Forte",7498743,6600,"Sea@NYJ 01:00PM ET","NYJ","Matt","Forte","Sea",14.25,15,14.66,15
"WR","Willie Snead (7498939)","Willie Snead",7498939,6600,"NO@SD 04:25PM ET","NO","Willie","Snead","SD",14.4,16.5,14.23,16.5
"QB","Kirk Cousins (7498671)","Kirk Cousins",7498671,6500,"Cle@Was 01:00PM ET","Was","Kirk","Cousins","Cle",19.5,21.4,19.46,21.4
"TE","Rob Gronkowski (7498989)","Rob Gronkowski",7498989,6500,"Buf@NE 01:00PM ET","NE","Rob","Gronkowski","Buf",14.99,14.6,13.88,14.6
"RB","C.J. Anderson (7498791)","C.J. Anderson",7498791,6500,"Den@TB 04:05PM ET","Den","C.J.","Anderson","TB",18.23,16.4,15.57,16.4
"WR","Mike Evans (7498920)","Mike Evans",7498920,6500,"Den@TB 04:05PM ET","TB","Mike","Evans","Den",18.85,15,15.56,15
"WR","Michael Crabtree (7498892)","Michael Crabtree",7498892,6400,"Oak@Bal 01:00PM ET","Oak","Michael","Crabtree","Bal",14.97,14.7,13.39,14.7
"WR","Emmanuel Sanders (7498913)","Emmanuel Sanders",7498913,6400,"Den@TB 04:05PM ET","Den","Emmanuel","Sanders","TB",16.81,15.5,17.87,15.5
"TE","Jordan Reed (7498976)","Jordan Reed",7498976,6300,"Cle@Was 01:00PM ET","Was","Jordan","Reed","Cle",16.36,15,14.74,15
"WR","Eric Decker (7498857)","Eric Decker",7498857,6300,"Sea@NYJ 01:00PM ET","NYJ","Eric","Decker","Sea",0,0,0,0
"QB","Carson Palmer (7498706)","Carson Palmer",7498706,6300,"LA@Ari 04:25PM ET","Ari","Carson","Palmer","LA",19.68,20.3,18.86,20.3
"RB","Melvin Gordon (7498809)","Melvin Gordon",7498809,6300,"NO@SD 04:25PM ET","SD","Melvin","Gordon","NO",20.09,18,16,18
"WR","DeSean Jackson (7498845)","DeSean Jackson",7498845,6200,"Cle@Was 01:00PM ET","Was","DeSean","Jackson","Cle",14.39,15.9,14.28,15.9
"RB","DeAngelo Williams (7498823)","DeAngelo Williams",7498823,6200,"KC@Pit 08:30PM ET","Pit","DeAngelo","Williams","KC",7.96,5.3,5.88,5.3
"WR","Doug Baldwin (7498858)","Doug Baldwin",7498858,6100,"Sea@NYJ 01:00PM ET","Sea","Doug","Baldwin","NYJ",17.56,15.9,15.8,15.9
"RB","Christine Michael (7498745)","Christine Michael",7498745,6000,"Sea@NYJ 01:00PM ET","Sea","Christine","Michael","NYJ",14.32,11.2,13.89,11.2
"TE","Greg Olsen (7498994)","Greg Olsen",7498994,6000,"Car@Atl 01:00PM ET","Car","Greg","Olsen","Atl",17.64,13.6,14.46,13.6
"QB","Tony Romo (7498715)","Tony Romo",7498715,6000,"Dal@SF 04:25PM ET","Dal","Tony","Romo","SF",0,0,0,0
"WR","Jeremy Maclin (7498955)","Jeremy Maclin",7498955,6000,"KC@Pit 08:30PM ET","KC","Jeremy","Maclin","Pit",15.76,17.7,15.11,17.7
"QB","Joe Flacco (7498690)","Joe Flacco",7498690,5900,"Oak@Bal 01:00PM ET","Bal","Joe","Flacco","Oak",18.32,17.9,16.5,17.9
"RB","Mark Ingram (7498807)","Mark Ingram",7498807,5900,"NO@SD 04:25PM ET","NO","Mark","Ingram","SD",15.99,19.1,14.79,19.1
"WR","Travis Benjamin (7498937)","Travis Benjamin",7498937,5900,"NO@SD 04:25PM ET","SD","Travis","Benjamin","NO",18.87,17,17.26,17
"QB","Brock Osweiler (7498665)","Brock Osweiler",7498665,5800,"Ten@Hou 01:00PM ET","Hou","Brock","Osweiler","Ten",16.49,18.3,17.24,18.3
"WR","Julian Edelman (7498871)","Julian Edelman",7498871,5800,"Buf@NE 01:00PM ET","NE","Julian","Edelman","Buf",14.09,13.4,14.94,13.4
"WR","Golden Tate (7498905)","Golden Tate",7498905,5800,"Det@Chi 01:00PM ET","Det","Golden","Tate","Chi",11.2,12.8,13.47,12.8
"WR","Mohamed Sanu (7498883)","Mohamed Sanu",7498883,5700,"Car@Atl 01:00PM ET","Atl","Mohamed","Sanu","Car",11.07,11.9,10.96,11.9
"QB","Dak Prescott (7498720)","Dak Prescott",7498720,5700,"Dal@SF 04:25PM ET","Dal","Dak","Prescott","SF",19.22,19.2,16.58,19.2
"RB","Spencer Ware (7498828)","Spencer Ware",7498828,5700,"KC@Pit 08:30PM ET","KC","Spencer","Ware","Pit",13.58,11.2,10.93,11.2
"RB","Charles Sims (7498789)","Charles Sims",7498789,5600,"Den@TB 04:05PM ET","TB","Charles","Sims","Den",14.7,16.6,14.31,16.6
"QB","Alex Smith (7498721)","Alex Smith",7498721,5600,"KC@Pit 08:30PM ET","KC","Alex","Smith","Pit",16.93,19.2,16.31,19.2
"QB","Marcus Mariota (7498667)","Marcus Mariota",7498667,5500,"Ten@Hou 01:00PM ET","Ten","Marcus","Mariota","Hou",15.42,17,15.2,17
"RB","Devonta Freeman (7498765)","Devonta Freeman",7498765,5500,"Car@Atl 01:00PM ET","Atl","Devonta","Freeman","Car",11.8,12.7,13.88,12.7
"QB","Tyrod Taylor (7498680)","Tyrod Taylor",7498680,5400,"Buf@NE 01:00PM ET","Buf","Tyrod","Taylor","NE",17.4,18.7,16.04,18.7
"WR","Sammy Watkins (7498876)","Sammy Watkins",7498876,5400,"Buf@NE 01:00PM ET","Buf","Sammy","Watkins","NE",0,0,0,0
"QB","Trevor Siemian (7498703)","Trevor Siemian",7498703,5400,"Den@TB 04:05PM ET","Den","Trevor","Siemian","TB",14.62,16.3,14.66,16.3
"QB","Jameis Winston (7498704)","Jameis Winston",7498704,5400,"Den@TB 04:05PM ET","TB","Jameis","Winston","Den",17.24,16.3,15.08,16.3
"RB","Jamaal Charles (7498824)","Jamaal Charles",7498824,5400,"KC@Pit 08:30PM ET","KC","Jamaal","Charles","Pit",8.82,10.1,10.03,10.1
"WR","Will Fuller (7498843)","Will Fuller",7498843,5300,"Ten@Hou 01:00PM ET","Hou","Will","Fuller","Ten",15.34,12.1,13.97,12.1
"QB","Ryan Fitzpatrick (7498674)","Ryan Fitzpatrick",7498674,5300,"Sea@NYJ 01:00PM ET","NYJ","Ryan","Fitzpatrick","Sea",15.36,16.7,14.41,16.7
"QB","Jay Cutler (7498695)","Jay Cutler",7498695,5300,"Det@Chi 01:00PM ET","Chi","Jay","Cutler","Det",0,0,0,0
"RB","Doug Martin (7498787)","Doug Martin",7498787,5300,"Den@TB 04:05PM ET","TB","Doug","Martin","Den",0,0,0,0
"QB","Jimmy Garoppolo (7498682)","Jimmy Garoppolo",7498682,5200,"Buf@NE 01:00PM ET","NE","Jimmy","Garoppolo","Buf",0,0,0,0
"WR","Mike Wallace (7498893)","Mike Wallace",7498893,5200,"Oak@Bal 01:00PM ET","Bal","Mike","Wallace","Oak",13.65,10.6,12.05,10.6
"RB","Theo Riddick (7498779)","Theo Riddick",7498779,5200,"Det@Chi 01:00PM ET","Det","Theo","Riddick","Chi",13.7,13.1,13.98,13.1
"QB","Jacoby Brissett (7498683)","Jacoby Brissett",7498683,5100,"Buf@NE 01:00PM ET","NE","Jacoby","Brissett","Buf",15.42,18.5,12.46,18.5
"WR","Michael Floyd (7498926)","Michael Floyd",7498926,5100,"LA@Ari 04:25PM ET","Ari","Michael","Floyd","LA",11.22,13.1,13.22,13.1
"QB","Matt Cassel (7498663)","Matt Cassel",7498663,5000,"Ten@Hou 01:00PM ET","Ten","Matt","Cassel","Hou",0,0,0,0
"QB","Brandon Weeden (7498664)","Brandon Weeden",7498664,5000,"Ten@Hou 01:00PM ET","Hou","Brandon","Weeden","Ten",0,0,0,0
"QB","Tom Savage (7498666)","Tom Savage",7498666,5000,"Ten@Hou 01:00PM ET","Hou","Tom","Savage","Ten",0,0,0,0
"WR","Tajae Sharpe (7498841)","Tajae Sharpe",7498841,5000,"Ten@Hou 01:00PM ET","Ten","Tajae","Sharpe","Hou",11.06,12.5,10.81,12.5
"TE","Delanie Walker (7498966)","Delanie Walker",7498966,5000,"Ten@Hou 01:00PM ET","Ten","Delanie","Walker","Hou",12.4,11.7,11.36,11.7
"QB","Josh McCown (7498668)","Josh McCown",7498668,5000,"Cle@Was 01:00PM ET","Cle","Josh","McCown","Was",0,0,0,0
"QB","Charlie Whitehurst (7498669)","Charlie Whitehurst",7498669,5000,"Cle@Was 01:00PM ET","Cle","Charlie","Whitehurst","Was",0,0,0,0
"QB","Colt McCoy (7498670)","Colt McCoy",7498670,5000,"Cle@Was 01:00PM ET","Was","Colt","McCoy","Cle",0,0,0,0
"QB","Cody Kessler (7498672)","Cody Kessler",7498672,5000,"Cle@Was 01:00PM ET","Cle","Cody","Kessler","Was",12.6,15.5,10.83,15.5
"QB","Nate Sudfeld (7498673)","Nate Sudfeld",7498673,5000,"Cle@Was 01:00PM ET","Was","Nate","Sudfeld","Cle",0,0,0,0
"QB","Bryce Petty (7498676)","Bryce Petty",7498676,5000,"Sea@NYJ 01:00PM ET","NYJ","Bryce","Petty","Sea",0,0,0,0
"QB","Geno Smith (7498677)","Geno Smith",7498677,5000,"Sea@NYJ 01:00PM ET","NYJ","Geno","Smith","Sea",0,0,0,0
"QB","Trevone Boykin (7498678)","Trevone Boykin",7498678,5000,"Sea@NYJ 01:00PM ET","Sea","Trevone","Boykin","NYJ",0,0,0,0
"QB","Christian Hackenberg (7498679)","Christian Hackenberg",7498679,5000,"Sea@NYJ 01:00PM ET","NYJ","Christian","Hackenberg","Sea",0,0,0,0
"QB","EJ Manuel (7498681)","EJ Manuel",7498681,5000,"Buf@NE 01:00PM ET","Buf","EJ","Manuel","NE",0,0,0,0
"QB","Cardale Jones (7498684)","Cardale Jones",7498684,5000,"Buf@NE 01:00PM ET","Buf","Cardale","Jones","NE",0,0,0,0
"RB","LeGarrette Blount (7498755)","LeGarrette Blount",7498755,5000,"Buf@NE 01:00PM ET","NE","LeGarrette","Blount","Buf",15.7,14.1,13.78,14.1
"QB","Derek Anderson (7498685)","Derek Anderson",7498685,5000,"Car@Atl 01:00PM ET","Car","Derek","Anderson","Atl",0,0,0,0
"QB","Matt Schaub (7498687)","Matt Schaub",7498687,5000,"Car@Atl 01:00PM ET","Atl","Matt","Schaub","Car",0,0,0,0
"QB","Joe Webb (7498688)","Joe Webb",7498688,5000,"Car@Atl 01:00PM ET","Car","Joe","Webb","Atl",0,0,0,0
"QB","Ryan Mallett (7498691)","Ryan Mallett",7498691,5000,"Oak@Bal 01:00PM ET","Bal","Ryan","Mallett","Oak",0,0,0,0
"QB","Matt McGloin (7498692)","Matt McGloin",7498692,5000,"Oak@Bal 01:00PM ET","Oak","Matt","McGloin","Bal",0,0,0,0
"QB","Connor Cook (7498694)","Connor Cook",7498694,5000,"Oak@Bal 01:00PM ET","Oak","Connor","Cook","Bal",0,0,0,0
"QB","Dan Orlovsky (7498696)","Dan Orlovsky",7498696,5000,"Det@Chi 01:00PM ET","Det","Dan","Orlovsky","Chi",0,0,0,0
"QB","Brian Hoyer (7498697)","Brian Hoyer",7498697,5000,"Det@Chi 01:00PM ET","Chi","Brian","Hoyer","Det",14.08,18.6,13.65,18.6
