"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Actual_fpts"
"P","Jose De Leon",7900,"NYY@TB 07:10PM ET",8.713,"TB",NA,NA,NA,NA,NA
"OF","Mike Trout",4800,"LAA@Oak 10:05PM ET",10.447,"LAA",8.96,10.3,10.25,NA,10
"3B","Nolan Arenado",4800,"Col@Mil 07:40PM ET",9.881,"Col",8.76,7.1,7.96,NA,11
"3B/OF","Kris Bryant",4700,"ChC@StL 08:15PM ET",9.953,"ChC",8.64,7.7,8.44,NA,0
"OF","Ryan Braun",4700,"Col@Mil 07:40PM ET",9.138,"Mil",9.26,8.9,9.15,NA,19
"OF","Carlos Gonzalez",4600,"Col@Mil 07:40PM ET",8.46,"Col",7.83,9.4,8.05,NA,7
"OF","Charlie Blackmon",4600,"Col@Mil 07:40PM ET",10.014,"Col",8.36,8.9,8.44,NA,10
"1B","Paul Goldschmidt",4600,"SF@Ari 09:40PM ET",9.88,"Ari",7.06,8.2,9.56,NA,18
"1B","Anthony Rizzo",4500,"ChC@StL 08:15PM ET",9.237,"ChC",8.59,8.5,8.55,NA,2
"OF","Michael Brantley",4500,"Cle@Tex 08:05PM ET",6,"Cle",6.49,7.1,9.68,NA,8
"OF","Ian Desmond",4400,"Col@Mil 07:40PM ET",8.585,"Col",NA,0,NA,NA,0
"1B","Edwin Encarnacion",4400,"Cle@Tex 08:05PM ET",9.296,"Cle",8.64,8.9,9.74,NA,2
"2B","Jose Altuve",4400,"Sea@Hou 08:10PM ET",10.043,"Hou",9.37,8.7,9.95,NA,3
"SS","Carlos Correa",4400,"Sea@Hou 08:10PM ET",8.301,"Hou",8.04,8.5,8.93,NA,2
"OF","David Dahl",4300,"Col@Mil 07:40PM ET",7.778,"Col",NA,0,NA,NA,0
"1B","Carlos Santana",4300,"Cle@Tex 08:05PM ET",8.312,"Cle",8.06,9.5,9.7,NA,21
"2B","Jason Kipnis",4300,"Cle@Tex 08:05PM ET",8.398,"Cle",NA,0,NA,NA,0
"SS","Francisco Lindor",4300,"Cle@Tex 08:05PM ET",8.139,"Cle",7.88,9.1,9.59,NA,2
