"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Actual_fpts"
"2B","Jose Altuve",4400,"Hou@Sea 05:10PM ET",2,"Hou",9.9,7.9,8.59,9.9,4
"OF","Nelson Cruz",4400,"Hou@Sea 05:10PM ET",3,"Sea",7.47,7,8.54,8.1,15
"2B","Robinson Cano",4300,"Hou@Sea 05:10PM ET",3.5,"Sea",9.52,8.8,8.21,8.7,11
"2B/SS","Jean Segura",4300,"Hou@Sea 05:10PM ET",9.667,"Sea",6.91,7.2,8.04,8.6,0
"SS","Carlos Correa",4300,"Hou@Sea 05:10PM ET",5.833,"Hou",9.03,7.1,7.87,8.8,9
"1B","Paul Goldschmidt",4300,"Ari@SF 04:35PM ET",14.167,"Ari",10.12,9.4,9.26,9.6,0
"3B","Kyle Seager",4000,"Hou@Sea 05:10PM ET",4.833,"Sea",7.66,8.3,7.37,8.4,10
"OF","George Springer",4000,"Hou@Sea 05:10PM ET",11,"Hou",9.84,8.4,7.76,9.5,0
"OF","Lorenzo Cain",3900,"Oak@KC 04:15PM ET",8.4,"KC",6.75,7.2,8.84,7.8,12
"1B","Eric Hosmer",3800,"Oak@KC 04:15PM ET",5,"KC",7.46,7.9,8.09,7.9,2
"OF","Khris Davis",3800,"Oak@KC 04:15PM ET",11.667,"Oak",7.41,8.4,8.43,9,16
"OF","Hunter Pence",3700,"Ari@SF 04:35PM ET",5.833,"SF",6.77,7.2,7.84,8.1,10
"OF","Rajai Davis",3600,"Oak@KC 04:15PM ET",5.167,"Oak",6.4,6.7,7.08,7.6,8
"OF","Alex Gordon",3600,"Oak@KC 04:15PM ET",6,"KC",5.78,7.4,8.09,7.4,0
"3B","Alex Bregman",3600,"Hou@Sea 05:10PM ET",4.5,"Hou",7.19,7,6.34,8.1,3
"1B/C","Buster Posey",3600,"Ari@SF 04:35PM ET",6.6,"SF",7.08,7.3,7.98,7.7,2
"1B","Brandon Belt",3600,"Ari@SF 04:35PM ET",14.333,"SF",7.27,7.6,8.19,8.7,4
"3B/SS","Eduardo Nunez",3600,"Ari@SF 04:35PM ET",9.667,"SF",6.45,7.4,7.56,8.3,3
"1B/OF","Brandon Moss",3500,"Oak@KC 04:15PM ET",3.333,"KC",5.96,7.1,7.07,7.4,2
"OF","Jorge Soler",3500,"Oak@KC 04:15PM ET",0,"KC",NA,0,NA,0,NA
"C","Evan Gattis",3500,"Hou@Sea 05:10PM ET",6.333,"Hou",6.99,6.5,6.81,7.5,0
"OF","Mitch Haniger",3500,"Hou@Sea 05:10PM ET",10.333,"Sea",6.35,6.8,7.42,7.3,12
"OF","Denard Span",3500,"Ari@SF 04:35PM ET",2.667,"SF",6.02,7.8,7.59,7.3,5
"OF","AJ. Pollock",3500,"Ari@SF 04:35PM ET",12.4,"Ari",8.24,8.4,NA,9.3,0
"2B/OF","Whit Merrifield",3400,"Oak@KC 04:15PM ET",0,"KC",NA,0,NA,0,NA
"3B","Trevor Plouffe",3400,"Oak@KC 04:15PM ET",2.167,"Oak",5.76,6.4,6.15,7,0
"OF","Peter O'Brien",3400,"Oak@KC 04:15PM ET",0,"KC",NA,0,NA,0,NA
"OF","Carlos Beltran",3400,"Hou@Sea 05:10PM ET",4.833,"Hou",7.68,5.9,7.07,7.5,3
"2B","Joe Panik",3400,"Ari@SF 04:35PM ET",8.5,"SF",5.84,6.3,6.12,7.3,4
"3B","Jake Lamb",3400,"Ari@SF 04:35PM ET",11.333,"Ari",6.23,5.8,7.21,6.4,3
