Rk,ID,Player,Pos,Week,Team,Opp,Pass Yds,TD,Int,Rush Yds,TD,Rec,Yds,TD,Fantasy Points
1,2593,Aaron Rodgers,QB,6,GB,SD,275,3,1,19,0,0,0,0,23.90
2,4314,Tom Brady,QB,6,NE,IND,298,3,1,2,0,0,0,0,23.12
3,7242,Drew Brees,QB,6,NO,ATL,312,2,1,3,0,0,0,0,22.78
4,14986,DeAndre Hopkins,WR,6,HOU,JAX,0,0,0,0,0,7,94,1,22.40
5,16524,Devonta Freeman,RB,6,ATL,NO,0,0,0,82,1,4,34,0,21.60
6,8355,Julian Edelman,WR,6,NE,IND,0,0,0,2,0,7,82,1,21.40
7,14967,Le'Veon Bell,RB,6,PIT,ARI,0,0,0,77,1,4,36,0,21.30
8,11792,Arian Foster,RB,6,HOU,JAX,0,0,0,78,1,4,31,0,20.90
9,2699,Matt Forte,RB,6,CHI,DET,0,0,0,74,1,4,34,0,20.80
10,16389,Odell Beckham Jr,WR,6,NYG,PHI,0,0,0,1,0,6,84,1,20.50
11,12845,AJ Green,WR,6,CIN,BUF,0,0,0,0,0,6,85,1,20.50
12,13291,Julio Jones,WR,6,ATL,NO,0,0,0,0,0,6,82,1,20.20
13,14008,Andrew Luck,QB,6,IND,NE,285,2,1,16,0,0,0,0,20
14,11197,Demaryius Thomas,WR,6,DEN,CLE,0,0,0,0,0,6,80,1,20
15,11667,Brandon Marshall,WR,6,NYJ,WAS,0,0,0,0,0,6,80,1,20
16,6029,Calvin Johnson,WR,6,DET,CHI,0,0,0,0,0,6,79,1,19.90
17,5571,Larry Fitzgerald,WR,6,ARI,PIT,0,0,0,0,0,6,79,1,19.90
18,13227,Randall Cobb,WR,6,GB,SD,0,0,0,1,0,6,77,1,19.80
19,14536,Russell Wilson,QB,6,SEA,CAR,225,2,1,37,0,0,0,0,19.70
20,11063,Emmanuel Sanders,WR,6,DEN,CLE,0,0,0,1,0,6,75,1,19.60
21,8914,Jeremy Maclin,WR,6,KC,MIN,0,0,0,0,0,6,76,1,19.60
22,13443,Colin Kaepernick,QB,6,SF,BAL,224,2,1,36,0,0,0,0,19.56
23,15076,Keenan Allen,WR,6,SD,GB,0,0,0,0,0,6,75,1,19.50
24,10974,Rob Gronkowski,TE,6,NE,IND,0,0,0,0,0,6,74,1,19.40
25,13320,Cam Newton,QB,6,CAR,SEA,215,2,1,36,0,0,0,0,19.20
26,16568,Brandin Cooks,WR,6,NO,ATL,0,0,0,1,0,6,71,1,19.20
27,732,Matt Ryan,QB,6,ATL,NO,286,2,1,6,0,0,0,0,19.04
28,4807,Adrian Peterson,RB,6,MIN,KC,0,0,0,93,1,2,16,0,18.90
29,12841,Andy Dalton,QB,6,CIN,BUF,260,2,1,14,0,0,0,0,18.80
30,16020,Jarvis Landry,WR,6,MIA,TEN,0,0,0,2,0,6,66,1,18.80
31,11056,Antonio Brown,WR,6,PIT,ARI,0,0,0,3,0,5,74,1,18.70
32,14005,TY Hilton,WR,6,IND,NE,0,0,0,0,0,5,77,1,18.70
33,8244,Philip Rivers,QB,6,SD,GB,286,2,1,2,0,0,0,0,18.64
34,2428,Carson Palmer,QB,6,ARI,PIT,278,2,1,4,0,0,0,0,18.52
35,16763,Marcus Mariota,QB,6,TEN,MIA,237,2,1,20,0,0,0,0,18.48
36,4932,Eli Manning,QB,6,NYG,PHI,279,2,1,3,0,0,0,0,18.46
37,11527,Sam Bradford,QB,6,PHI,NYG,274,2,1,4,0,0,0,0,18.36
38,8283,Ryan Fitzpatrick,QB,6,NYJ,WAS,248,2,1,14,0,0,0,0,18.32
39,9038,Matthew Stafford,QB,6,DET,CHI,266,2,1,6,0,0,0,0,18.24
40,6739,Alex Smith,QB,6,KC,MIN,228,2,1,21,0,0,0,0,18.22
41,16245,Blake Bortles,QB,6,JAX,HOU,232,2,1,18,0,0,0,0,18.08
42,13799,Ryan Tannehill,QB,6,MIA,TEN,245,2,1,12,0,0,0,0,18
43,13124,DeMarco Murray,RB,6,PHI,NYG,0,0,0,55,1,4,25,0,18
44,16263,Allen Robinson,WR,6,JAX,HOU,0,0,0,0,0,5,70,1,18
45,8972,Jay Cutler,QB,6,CHI,DET,245,2,1,11,0,0,0,0,17.90
46,5282,Josh McCown,QB,6,CLE,DEN,247,2,1,10,0,0,0,0,17.88
47,16141,Willie Snead,WR,6,NO,ATL,0,0,0,0,0,5,68,1,17.80
48,9447,Michael Vick,QB,6,PIT,ARI,217,2,1,21,0,0,0,0,17.78
49,15138,Eddie Lacy,RB,6,GB,SD,0,0,0,80,1,2,17,0,17.70
50,15974,Jordan Matthews,WR,6,PHI,NYG,0,0,0,0,0,5,67,1,17.70
51,16497,Teddy Bridgewater,QB,6,MIN,KC,220,2,1,18,0,0,0,0,17.60
52,7328,Peyton Manning,QB,6,DEN,CLE,264,2,1,0,0,0,0,0,17.56
53,16640,John Brown,WR,6,ARI,PIT,0,0,0,1,0,5,64,1,17.50
54,611,Joe Flacco,QB,6,BAL,SF,249,2,1,5,0,0,0,0,17.46
55,14187,Alshon Jeffery,WR,6,CHI,DET,0,0,0,0,0,5,64,1,17.40
56,9369,Justin Forsett,RB,6,BAL,SF,0,0,0,64,1,3,19,0,17.30
57,11712,Anquan Boldin,WR,6,SF,BAL,0,0,0,0,0,5,62,1,17.20
58,8358,Brian Hoyer,QB,6,HOU,JAX,246,2,1,3,0,0,0,0,17.14
59,13337,Mark Ingram,RB,6,NO,ATL,0,0,0,60,1,3,20,0,17
60,13957,Kendall Wright,WR,6,TEN,MIA,0,0,0,1,0,5,58,1,16.90
61,14918,Tyler Eifert,TE,6,CIN,BUF,0,0,0,0,0,5,57,1,16.70
62,14868,EJ Manuel,QB,6,BUF,CIN,203,2,1,15,0,0,0,0,16.62
63,1181,Martellus Bennett,TE,6,CHI,DET,0,0,0,0,0,5,53,1,16.30
64,6302,James Jones,WR,6,GB,SD,0,0,0,0,0,4,62,1,16.20
65,12386,Marshawn Lynch,RB,6,SEA,CAR,0,0,0,66,1,2,15,0,16.10
66,5820,Frank Gore,RB,6,IND,NE,0,0,0,66,1,2,14,0,16
67,8529,Mike Wallace,WR,6,MIN,KC,0,0,0,0,0,4,60,1,16
68,16668,Carlos Hyde,RB,6,SF,BAL,0,0,0,66,1,2,13,0,15.90
69,16253,Allen Hurns,WR,6,JAX,HOU,0,0,0,0,0,4,59,1,15.90
70,14252,Kirk Cousins,QB,6,WAS,NYJ,234,2,2,4,0,0,0,0,15.76
71,13887,Travis Benjamin,WR,6,CLE,DEN,0,0,0,0,0,4,57,1,15.70
72,11182,Eric Decker,WR,6,NYJ,WAS,0,0,0,0,0,4,57,1,15.70
73,13162,Leonard Hankerson,WR,6,ATL,NO,0,0,0,0,0,4,54,1,15.40
74,7884,Antonio Gates,TE,6,SD,GB,0,0,0,0,0,4,52,1,15.20
75,12239,Chris Ivory,RB,6,NYJ,WAS,0,0,0,73,1,1,7,0,15
76,13027,Julius Thomas,TE,6,JAX,HOU,0,0,0,0,0,4,41,1,14.10
77,11488,Jimmy Graham,TE,6,SEA,CAR,0,0,0,0,0,3,43,1,13.30
78,16491,Richard Rodgers,TE,6,GB,SD,0,0,0,0,0,3,36,1,12.60
79,12296,LeGarrette Blount,RB,6,NE,IND,0,0,0,59,1,0,3,0,12.20
80,16112,Jeremy Hill,RB,6,CIN,BUF,0,0,0,44,1,1,8,0,12.20
81,12317,Danny Woodhead,RB,6,SD,GB,0,0,0,33,0,5,38,0,12.10
82,14916,Giovani Bernard,RB,6,CIN,BUF,0,0,0,52,0,4,28,0,12
83,12708,Dion Lewis,RB,6,NE,IND,0,0,0,40,0,4,38,0,11.80
84,11932,LeSean McCoy,RB,6,BUF,CIN,0,0,0,64,0,3,19,0,11.30
85,11611,Golden Tate,WR,6,DET,CHI,0,0,0,1,0,5,62,0,11.30
86,16163,Antonio Andrews,RB,6,TEN,MIA,0,0,0,31,1,1,11,0,11.20
87,13791,Lamar Miller,RB,6,MIA,TEN,0,0,0,59,0,3,19,0,10.80
88,1658,Greg Olsen,TE,6,CAR,SEA,0,0,0,0,0,5,57,0,10.70
89,6767,Pierre Garcon,WR,6,WAS,NYJ,0,0,0,0,0,5,57,0,10.70
90,15048,Travis Kelce,TE,6,KC,MIN,0,0,0,0,0,5,53,0,10.30
91,49,Denver Broncos,DST,6,DEN,CLE,0,0,0,0,0,0,0,0,10
