"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts","RankTargets","RollingTargetPctg","FreqInd","TierRank","ValueWR"
"RB","Le'Veon Bell",9800,"PIT@CLE 01:00PM ET",26.293,"PIT","CLE",26.26,26.293,0,0,0,0,0,0
"RB","David Johnson",9400,"ARI@DET 01:00PM ET",26.613,"ARI","DET",25.51,26.613,0,0,0,0,0,0
"WR","Antonio Brown",8800,"PIT@CLE 01:00PM ET",21.456,"PIT","CLE",23.3,21.456,0,0,0,0,0,0
"WR","Julio Jones",8500,"ATL@CHI 01:00PM ET",20.094,"ATL","CHI",23.87,20.094,0,0,0,0,0,0
"WR","Odell Beckham",8300,"NYG@DAL 08:30PM ET",18.612,"NYG","DAL",0,18.612,0,0,0,0,0,0
"RB","LeSean McCoy",8200,"NYJ@BUF 01:00PM ET",21.287,"BUF","NYJ",19.71,21.287,0,0,0,0,0,0
"RB","Ezekiel Elliott",8100,"NYG@DAL 08:30PM ET",22.731,"DAL","NYG",0,22.731,0,0,0,0,0,0
"WR","AJ Green",8000,"BAL@CIN 01:00PM ET",19.84,"CIN","BAL",22.98,19.84,0,0,0,0,0,0
"WR","Mike Evans",7800,"TB@MIA 01:00PM ET",19.756,"TB","MIA",21.01,19.756,0,0,0,0,0,0
"WR","Jordy Nelson",7600,"SEA@GB 04:25PM ET",18.983,"GB","SEA",17.83,18.983,0,0,0,0,0,0
"WR","Dez Bryant",7500,"NYG@DAL 08:30PM ET",16.229,"DAL","NYG",14.83,16.229,0,0,0,0,0,0
"RB","DeMarco Murray",7400,"OAK@TEN 01:00PM ET",19.363,"TEN","OAK",17.07,19.363,0,0,0,0,0,0
"QB","Ben Roethlisberger",7300,"PIT@CLE 01:00PM ET",18.98,"PIT","CLE",23.98,18.98,0,0,0,0,0,0
"WR","Amari Cooper",7200,"OAK@TEN 01:00PM ET",14.547,"OAK","TEN",19.03,14.547,0,0,0,0,0,0
"QB","Cam Newton",7100,"CAR@SF 04:25PM ET",18.617,"CAR","SF",21.73,18.617,0,0,0,0,0,0
"RB","Devonta Freeman",7000,"ATL@CHI 01:00PM ET",18.444,"ATL","CHI",18.61,18.444,0,0,0,0,0,0
"QB","Aaron Rodgers",7000,"SEA@GB 04:25PM ET",26.073,"GB","SEA",21.6,26.073,0,0,0,0,0,0
"QB","Matt Ryan",6900,"ATL@CHI 01:00PM ET",24.759,"ATL","CHI",19.38,24.759,0,0,0,0,0,0
"WR","TY Hilton",6900,"IND@LAR 04:05PM ET",18.238,"IND","LAR",18.82,18.238,0,0,0,0,0,0
"QB","Russell Wilson",6900,"SEA@GB 04:25PM ET",18.257,"SEA","GB",24.26,18.257,0,0,0,0,0,0
"QB","Marcus Mariota",6800,"OAK@TEN 01:00PM ET",18.463,"TEN","OAK",20.55,18.463,0,0,0,0,0,0
"QB","Derek Carr",6700,"OAK@TEN 01:00PM ET",19.299,"OAK","TEN",19.48,19.299,0,0,0,0,0,0
"WR","Doug Baldwin",6700,"SEA@GB 04:25PM ET",17.372,"SEA","GB",18.96,17.372,0,0,0,0,0,0
"QB","Jameis Winston",6600,"TB@MIA 01:00PM ET",18.069,"TB","MIA",22.85,18.069,0,0,0,0,0,0
"WR","Golden Tate",6500,"ARI@DET 01:00PM ET",14.035,"DET","ARI",14.24,14.035,0,0,0,0,0,0
"RB","Jay Ajayi",6500,"TB@MIA 01:00PM ET",14.738,"MIA","TB",18.93,14.738,0,0,0,0,0,0
"QB","Andrew Luck",6500,"IND@LAR 04:05PM ET",22.713,"IND","LAR",19.23,22.713,0,0,0,0,0,0
"QB","Kirk Cousins",6400,"PHI@WAS 01:00PM ET",21.018,"WAS","PHI",21.61,21.018,0,0,0,0,0,0
"RB","Jordan Howard",6300,"ATL@CHI 01:00PM ET",16.807,"CHI","ATL",13.77,16.807,0,0,0,0,0,0
"QB","Dak Prescott",6300,"NYG@DAL 08:30PM ET",19.427,"DAL","NYG",18.03,19.427,0,0,0,0,0,0
"QB","Tyrod Taylor",6200,"NYJ@BUF 01:00PM ET",18.795,"BUF","NYJ",16.45,18.795,0,0,0,0,0,0
"WR","Sammy Watkins",6200,"NYJ@BUF 01:00PM ET",10.75,"BUF","NYJ",15.94,10.75,0,0,0,0,0,0
"TE","Greg Olsen",6200,"CAR@SF 04:25PM ET",13.331,"CAR","SF",14.87,13.331,0,0,0,0,0,0
"QB","Matthew Stafford",6100,"ARI@DET 01:00PM ET",18.44,"DET","ARI",18.17,18.44,0,0,0,0,0,0
