"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"OF","George Springer",5700,"HOU@KC 08:15PM ET",9.778,"HOU","KC",10.62,9.1,9.11,NA,"1","1",9
"SS","Carlos Correa",5600,"HOU@KC 08:15PM ET",9.623,"HOU","KC",9.31,8.3,9.2,NA,"3","4",0
"2B","Jose Altuve",5500,"HOU@KC 08:15PM ET",9.621,"HOU","KC",10.64,9.2,9.92,NA,"2","3",5
"OF","Michael Conforto",5100,"NYM@TEX 08:05PM ET",9.808,"NYM","TEX",8.26,9.2,8.75,NA,"1","1",6
"SS","Elvis Andrus",4900,"NYM@TEX 08:05PM ET",9.211,"TEX","NYM",7.02,8.4,9.22,NA,"2","3",3
"1B/OF","Marwin Gonzalez",4800,"HOU@KC 08:15PM ET",8.646,"HOU","KC",NA,0,7.58,NA,"x","x",NA
"3B","Kris Bryant",4800,"MIA@CHC 08:05PM ET",9.321,"CHC","MIA",8.93,9.4,10.01,NA,"2","2",2
"OF","Domingo Santana",4800,"SF@MIL 08:10PM ET",8.182,"MIL","SF",7.67,8,7.95,NA,"2","2",19
"3B","Travis Shaw",4800,"SF@MIL 08:10PM ET",9.235,"MIL","SF",NA,7.3,8.35,NA,"x","4",9
"OF","Carlos Beltran",4700,"HOU@KC 08:15PM ET",7.078,"HOU","KC",7.19,6.6,7.75,NA,"5","5",7
"OF","Giancarlo Stanton",4700,"MIA@CHC 08:05PM ET",9.196,"MIA","CHC",8.33,7.9,8.24,NA,"2","2",2
"1B","Anthony Rizzo",4700,"MIA@CHC 08:05PM ET",8.877,"CHC","MIA",9.48,9.4,9.69,NA,"3","3",16
"OF","Ryan Braun",4700,"SF@MIL 08:10PM ET",8.581,"MIL","SF",NA,0,NA,NA,"x","x",NA
"3B/OF","Eduardo Nunez",4700,"SF@MIL 08:10PM ET",7.661,"SF","MIL",7.15,8.6,8.62,NA,"2","2",10
"1B/OF","Eric Thames",4700,"SF@MIL 08:10PM ET",9.66,"MIL","SF",NA,NA,NA,NA,"3","x",NA
"1B","Justin Bour",4600,"MIA@CHC 08:05PM ET",8.745,"MIA","CHC",NA,0,NA,NA,"x","x",NA
"OF","Yoenis Cespedes",4600,"NYM@TEX 08:05PM ET",9.278,"NYM","TEX",NA,0,NA,NA,"x","x",NA
"1B","Lucas Duda",4500,"NYM@TEX 08:05PM ET",8.5,"NYM","TEX",6.88,8.2,8.03,NA,"5","4",5
"OF","Marcell Ozuna",4400,"MIA@CHC 08:05PM ET",9.105,"MIA","CHC",6.91,6.8,7.25,NA,"4","4",14
"3B","Adrian Beltre",4300,"NYM@TEX 08:05PM ET",9.857,"TEX","NYM",NA,0,9.19,NA,"x","x",NA
"2B","Neil Walker",4300,"NYM@TEX 08:05PM ET",7.981,"NYM","TEX",NA,NA,NA,NA,"4","x",NA
"1B/OF","Jay Bruce",4300,"NYM@TEX 08:05PM ET",8.547,"NYM","TEX",7.36,8.7,8.33,NA,"3","3",30
