"Michael Conforto_NYM","Giancarlo Stanton_MIA","Justin Bour_MIA","Eric Thames_MIL","Elvis Andrus_TEX","Lucas Duda_NYM","Domingo Santana_MIL","Travis Shaw_MIL","Ryan Braun_MIL","Eduardo Nunez_SF","Neil Walker_NYM","Kris Bryant_CHC","Jay Bruce_NYM","Anthony Rizzo_CHC","Yoenis Cespedes_NYM","Marcell Ozuna_MIA","Brandon Belt_SF","Buster Posey_SF","Brandon Crawford_SF","Adrian Beltre_TEX","David Wright_NYM","Joey Gallo_TEX","Javier Baez_CHC","Denard Span_SF","Hernan Perez_MIL","Shin-Soo Choo_TEX","Nomar Mazara_TEX","Christian Yelich_MIA","Kyle Schwarber_CHC","Hunter Pence_SF","Dee Gordon_MIA","Ian Happ_CHC","Keon Broxton_MIL","Wilmer Flores_NYM","Jonathan Villar_MIL","Jose Reyes_NYM","Asdrubal Cabrera_NYM","Carlos Gomez_TEX","Ben Zobrist_CHC","Willson Contreras_CHC","Jesus Aguilar_MIL","Joe Panik_SF","Jarrett Parker_SF","Christian Arroyo_SF","Jason Heyward_CHC","JT Realmuto_MIA","Nick Franklin_MIL","Travis d'Arnaud_NYM","Peter O'Brien_TEX","TJ Rivera_NYM","Eric Sogard_MIL","Mac Williamson_SF","Mike Napoli_TEX","Curtis Granderson_NYM","Brandon Nimmo_NYM","Addison Russell_CHC","Nick Hundley_SF","Jett Bandy_MIL","Kelby Tomlinson_SF","Jurickson Profar_TEX","Miguel Montero_CHC","Martin Prado_MIA","Manny Pina_MIL","Kirk Nieuwenhuis_MIL","Andrew Susac_MIL","Juan Lagares_NYM","Gavin Cecchini_NYM","Jon Jay_CHC","Jeimer Candelario_CHC","Albert Almora_CHC","Aaron Hill_SF","Orlando Arcia_MIL","Robinson Chirinos_TEX","Delino DeShields_TEX","Matt Reynolds_NYM","Rougned Odor_TEX","Kevin Plawecki_NYM","Gorkys Hernandez_SF","Conor Gillaspie_SF","Pete Kozma_TEX","Brett Nicholas_TEX","Tommy La Stella_CHC","Justin Ruggiano_SF","Austin Slater_SF","Orlando Calixte_SF","Derek Dietrich_MIA","Michael Morse_SF","Rene Rivera_NYM","Jonathan Lucroy_TEX","Jared Hoying_TEX","Ryan Rua_TEX","Hanser Alberto_TEX","Destin Hood_MIA","Tyler Moore_MIA","Tomas Telis_MIA","JT Riddle_MIA","Tim Federowicz_SF","Drew Stubbs_TEX","Ichiro Suzuki_MIA","Christian Colon_MIA","Steve Lombardozzi_MIA","Adeiny Hechavarria_MIA","AJ Ellis_MIA","Chris Marrero_SF","Mike Aviles_MIA","Eloy Jimenez_CHC","Drew Robinson_TEX","Miguel Rojas_MIA"
109.848780487805,0,0,0,0,-0.119565217391304,0,0,0,0,4.04409672830725,0,-3.20175438596491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9848484848485,-1.05072463768116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.35798319327731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.81225296442688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,79.0922448979592,8.70295983086681,0,0,0,0,0,0,0,0,0,0,0,0,5.12571428571429,0,0,0,0,0,0,0,0,0,0,0,15.36,0,0,-4.42753623188406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73693379790941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.89213709677419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8.70295983086681,88.9526570048309,0,0,0,0,0,0,0,0,0,0,0,0,5.46859903381643,0,0,0,0,0,0,0,0,0,0,0,17.712077294686,0,0,21.2200929152149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.68825910931174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.85862068965517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,91.4525252525252,0,0,-4.23172905525847,18.5519568151147,24.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.993842364532,0,0,0,0,0,0,0,3.12436974789916,0,3.84487179487179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.21739130434783,0,0,0,0,21.7142857142857,0,0,0,0,0,0,0,0,4.917004048583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,68.3294629898404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.45714285714286,0,0,0,3.59082125603865,7.89275362318841,0,0,0,0,0,0,0,0,0,0,2.52941176470588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.010101010101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.63508064516129,0,-0.84288824383164,0,0,0,0,0,0,0,0,0,0,0,0,4.42692307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.119565217391304,0,0,0,0,85.9354838709677,0,0,0,0,24.7379310344828,0,-11.8793103448276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.8351449275362,28.0119047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3115763546798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.35714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-4.23172905525847,0,0,53.0099667774086,3.53949579831933,8.83766233766234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.61904761904762,0,0,0,0,0,0,0,2.92380952380952,0,-9.62753036437247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.89723320158103,0,0,0,0,9.75789473684211,0,0,0,0,0,0,0,0,-2.09761904761905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,18.5519568151147,0,0,3.53949579831933,74.995652173913,-16.8025362318841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.935960591133005,0,0,0,0,0,0,0,10.1492063492063,0,1.63461538461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18.2083333333333,0,0,0,0,1.13571428571429,0,0,0,0,0,0,0,0,4.98658536585366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,24.875,0,0,8.83766233766234,-16.8025362318841,67.4444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.294117647058824,0,0,0,0,0,0,0,-25.7761904761905,0,-24.9076923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.2435897435897,0,0,0,0,16.7857142857143,0,0,0,0,0,0,0,0,13.4683333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,45.6994720965309,0,0,0,0,0,0,8.49814986123959,1.1115221987315,18.9492063492063,0,0,0,0,9.98809523809524,0,0,0,0,0,9.83010752688172,0,0,0,0,0,0,0,0,0,0,0,12.2908212560386,0,0.329230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
