"Name","Salary","Team","Position","OppTeam","Projections"
"Sandy Leon",0,"BOS","C","NYY",0
"Jackie Bradley",0,"BOS","OF","NYY",0
"Steve Selsky",0,"BOS","OF","NYY",0
"Marco Hernandez",0,"BOS","SS","NYY",0
"Masahiro Tanaka",0,"NYY","SP","BOS",0
"Mitch Moreland",0,"BOS","1B","NYY",0
"Hanley Ramirez",0,"BOS","DH","NYY",0
"Chris Sale",0,"BOS","SP","NYY",0
"Norichika Aoki",0,"HOU","OF","CLE",0
"Xander Bogaerts",0,"BOS","SS","NYY",0
"Andrew Benintendi",0,"BOS","OF","NYY",0
"Mookie Betts",0,"BOS","OF","NYY",0
"Jacoby Ellsbury",0,"NYY","OF","BOS",0
"Aaron Hicks",0,"NYY","OF","BOS",0
"Dexter Fowler",0,"STL","OF","TOR",0
"Adam Wainwright",0,"STL","SP","TOR",0
"Aledmys Diaz",0,"STL","SS","TOR",0
"Matt Carpenter",0,"STL","1B","TOR",0
"Stephen Piscotty",0,"STL","OF","TOR",0
"Peter Kozma",0,"NYY","SS","BOS",0
"Austin Romine",0,"NYY","C","BOS",0
"Starlin Castro",0,"NYY","2B","BOS",0
"Matt Holliday",0,"NYY","DH","BOS",0
"Chase Headley",0,"NYY","3B","BOS",0
"Aaron Judge",0,"NYY","OF","BOS",0
"Chris Carter",0,"NYY","1B","BOS",0
"Evan Gattis",0,"HOU","C","CLE",0
"Yulieski Gurriel",0,"HOU","1B","CLE",0
"Corey Kluber",0,"CLE","SP","HOU",0
"Julio Urias",0,"LAD","SP","SFG",0
"Carlos Santana",0,"CLE","1B","HOU",0
"Francisco Lindor",0,"CLE","SS","HOU",0
"Michael Brantley",0,"CLE","OF","HOU",0
"Christopher Taylor",0,"LAD","SS","SFG",0
"Yasmani Grandal",0,"LAD","C","SFG",0
"Corey Seager",0,"LAD","SS","SFG",0
"Enrique Hernandez",0,"LAD","OF","SFG",0
"Justin Turner",0,"LAD","3B","SFG",0
"Yasiel Puig",0,"LAD","OF","SFG",0
"Adrian Gonzalez",0,"LAD","1B","SFG",0
"Edwin Encarnacion",0,"CLE","DH","HOU",0
"Jose Ramirez",0,"CLE","2B","HOU",0
"Jose Altuve",0,"HOU","2B","CLE",0
"Carlos Beltran",0,"HOU","DH","CLE",0
"Carlos Correa",0,"HOU","SS","CLE",0
"Brian McCann",0,"HOU","C","CLE",0
"Alex Bregman",0,"HOU","3B","CLE",0
"Josh Reddick",0,"HOU","OF","CLE",0
"Michael Fiers",0,"HOU","SP","CLE",0
"Jason Kipnis",0,"CLE","2B","HOU",0
"Lonnie Chisenhall",0,"CLE","OF","HOU",0
"Abraham Almonte",0,"CLE","OF","HOU",0
"Yan Gomes",0,"CLE","C","HOU",0
"Randal Grichuk",0,"STL","OF","TOR",0
"Greg Garcia",0,"STL","2B","TOR",0
"Kole Calhoun",0,"LAA","OF","OAK",0
"Yunel Escobar",0,"LAA","3B","OAK",0
"Mike Trout",0,"LAA","OF","OAK",0
"Albert Pujols",0,"LAA","DH","OAK",0
"Jefry Marte",0,"LAA","1B","OAK",0
"Ricky Nolasco",0,"LAA","SP","OAK",0
"Jered Weaver",0,"SDP","SP","ARI",0
"Austin Hedges",0,"SDP","C","ARI",0
"Hunter Renfroe",0,"SDP","OF","ARI",0
"Ryan Schimpf",0,"SDP","3B","ARI",0
"Jabari Blash",0,"SDP","OF","ARI",0
"Erick Aybar",0,"SDP","SS","ARI",0
"Andrelton Simmons",0,"LAA","SS","OAK",0
"Cameron Maybin",0,"LAA","OF","OAK",0
"Yonder Alonso",0,"OAK","1B","LAA",0
"Stephen Vogt",0,"OAK","C","LAA",0
"Trevor Plouffe",0,"OAK","3B","LAA",0
"Matt Joyce",0,"OAK","OF","LAA",0
"Adam Rosales",0,"OAK","SS","LAA",0
"Khris Davis",0,"OAK","OF","LAA",0
"Jed Lowrie",0,"OAK","2B","LAA",0
"Martin Maldonado",0,"LAA","C","OAK",0
"Danny Espinosa",0,"LAA","2B","OAK",0
"Kendall Graveman",0,"OAK","SP","LAA",0
"Jaff Decker",0,"OAK","OF","LAA",0
"Ryon Healy",0,"OAK","3B","LAA",0
"Yangervis Solarte",0,"SDP","2B","ARI",0
"Wil Myers",0,"SDP","1B","ARI",0
"Russell Martin",0,"TOR","C","STL",0
"Justin Smoak",0,"TOR","1B","STL",0
"Chris Coghlan",0,"TOR","OF","STL",0
"Devon Travis",0,"TOR","2B","STL",0
"Ryan Goins",0,"TOR","2B","STL",0
"Jose Bautista",0,"TOR","OF","STL",0
"Ezequiel Carrera",0,"TOR","OF","STL",0
"Eric Fryer",0,"STL","C","TOR",0
"Kolten Wong",0,"STL","2B","TOR",0
"Adam Wainwright",0,"STL","SP","TOR",0
"Casey Lawrence",0,"TOR","SP","STL",0
"Kevin Pillar",0,"TOR","OF","STL",0
"Casey Lawrence",0,"TOR","SP","STL",0
"Taijuan Walker",0,"ARI","SP","SDP",0
"Jeff Mathis",0,"ARI","C","SDP",0
"Chris Herrmann",0,"ARI","C","SDP",0
"Taijuan Walker",0,"ARI","SP","SDP",0
"Jered Weaver",0,"SDP","SP","ARI",0
"Manuel Margot",0,"SDP","OF","ARI",0
"Brandon Drury",0,"ARI","2B","SDP",0
"Yasmany Tomas",0,"ARI","OF","SDP",0
"A.J. Pollock",0,"ARI","OF","SDP",0
"David Peralta",0,"ARI","OF","SDP",0
"Chris Owings",0,"ARI","SS","SDP",0
"Jake Lamb",0,"ARI","3B","SDP",0
"Julio Urias",0,"LAD","SP","SFG",0
"Matt Moore",0,"SFG","SP","LAD",0
"Adonis Garcia",0,"ATL","3B","NYM",0
"Nick Markakis",0,"ATL","OF","NYM",0
"Tyler Flowers",0,"ATL","C","NYM",0
"Dansby Swanson",0,"ATL","SS","NYM",0
"R.A. Dickey",0,"ATL","SP","NYM",0
"Matt Kemp",0,"ATL","OF","NYM",0
"Freddie Freeman",0,"ATL","1B","NYM",0
"Noah Syndergaard",0,"NYM","SP","ATL",0
"Travis d'Arnaud",0,"NYM","C","ATL",0
"R.A. Dickey",0,"ATL","SP","NYM",0
"Ender Inciarte",0,"ATL","OF","NYM",0
"Brandon Phillips",0,"ATL","2B","NYM",0
"Justin Verlander",0,"DET","SP","SEA",0
"Ian Kinsler",0,"DET","2B","SEA",0
"Hisashi Iwakuma",0,"SEA","SP","DET",0
"Andrew Romine",0,"DET","SS","SEA",0
"Jean Segura",0,"SEA","SS","DET",0
"Mitch Haniger",0,"SEA","OF","DET",0
"Robinson Cano",0,"SEA","2B","DET",0
"James McCann",0,"DET","C","SEA",0
"Jim Adduci",0,"DET","OF","SEA",0
"Nick Castellanos",0,"DET","3B","SEA",0
"Tyler Collins",0,"DET","OF","SEA",0
"Victor Martinez",0,"DET","DH","SEA",0
"Justin Upton",0,"DET","OF","SEA",0
"Alex Avila",0,"DET","C","SEA",0
"Jose Reyes",0,"NYM","3B","ATL",0
"Curtis Granderson",0,"NYM","OF","ATL",0
"Jeremy Hellickson",0,"PHI","SP","MIA",0
"Andrew Knapp",0,"PHI","C","MIA",0
"Edinson Volquez",0,"MIA","SP","PHI",0
"Dee Gordon",0,"MIA","2B","PHI",0
"Martin Prado",0,"MIA","3B","PHI",0
"Freddy Galvis",0,"PHI","SS","MIA",0
"Brock Stassi",0,"PHI","1B","MIA",0
"Aaron Altherr",0,"PHI","OF","MIA",0
"Cesar Hernandez",0,"PHI","2B","MIA",0
"Odubel Herrera",0,"PHI","OF","MIA",0
"Maikel Franco",0,"PHI","3B","MIA",0
"Daniel Nava",0,"PHI","OF","MIA",0
"Christian Yelich",0,"MIA","OF","PHI",0
"Giancarlo Stanton",0,"MIA","OF","PHI",0
"Asdrubal Cabrera",0,"NYM","SS","ATL",0
"Michael Conforto",0,"NYM","OF","ATL",0
"Yoenis Cespedes",0,"NYM","OF","ATL",0
"Jay Bruce",0,"NYM","OF","ATL",0
"Neil Walker",0,"NYM","2B","ATL",0
"Noah Syndergaard",0,"NYM","SP","ATL",0
"Edinson Volquez",0,"MIA","SP","PHI",0
"Marcell Ozuna",0,"MIA","OF","PHI",0
"J.T. Realmuto",0,"MIA","C","PHI",0
"Justin Bour",0,"MIA","1B","PHI",0
"Adeiny Hechavarria",0,"MIA","SS","PHI",0
"Nelson Cruz",0,"SEA","DH","DET",0
"Taylor Motter",0,"SEA","SS","DET",0
"Adam Eaton",0,"WAS","OF","COL",0
"Gio Gonzalez",0,"WAS","SP","COL",0
"Trea Turner",0,"WAS","SS","COL",0
"Bryce Harper",0,"WAS","OF","COL",0
"Ryan Zimmerman",0,"WAS","1B","COL",0
"Antonio Senzatela",0,"COL","SP","WAS",0
"Dustin Garneau",0,"COL","C","WAS",0
"Carlos Gonzalez",0,"COL","OF","WAS",0
"Nolan Arenado",0,"COL","3B","WAS",0
"Mark Reynolds",0,"COL","1B","WAS",0
"Trevor Story",0,"COL","SS","WAS",0
"Stephen Cardullo",0,"COL","2B","WAS",0
"Daniel Murphy",0,"WAS","2B","COL",0
"Anthony Rendon",0,"WAS","3B","COL",0
"Brandon Crawford",0,"SFG","SS","LAD",0
"Buster Posey",0,"SFG","C","LAD",0
"Nick Hundley",0,"SFG","C","LAD",0
"Joe Panik",0,"SFG","2B","LAD",0
"Drew Stubbs",0,"SFG","OF","LAD",0
"Eduardo Nunez",0,"SFG","OF","LAD",0
