"Name","Salary","Team","Position","OppTeam","Projections"
"J.J. Hardy",3100,"BAL","SS","HOU",4.57
"Jesus Sucre",2800,"TBR","C","MIN",5.34
"Steve Souza",4100,"TBR","OF","MIN",7.7
"Adam Jones",3700,"BAL","OF","HOU",6.02
"Chris Davis",3800,"BAL","1B","HOU",6.43
"Jonathan Schoop",3400,"BAL","2B","HOU",4.92
"Mark Trumbo",3900,"BAL","OF","HOU",5.99
"Welington Castillo",3600,"BAL","C","HOU",4.83
"Daniel Robertson",2600,"TBR","2B/3B","MIN",5.8
"Tim Beckham",2800,"TBR","SS","MIN",6.07
"Colby Rasmus",3500,"TBR","OF","MIN",6.36
"Kennys Vargas",3500,"MIN","1B","TBR",7.14
"Byron Buxton",3300,"MIN","OF","TBR",5.54
"Corey Dickerson",4600,"TBR","OF","MIN",8.51
"Kevin Kiermaier",3500,"TBR","OF","MIN",6.69
"Derek Norris",2700,"TBR","C","MIN",5.74
"Logan Morrison",4200,"TBR","1B","MIN",7.34
"Evan Longoria",3700,"TBR","3B","MIN",7.77
"Manny Machado",4200,"BAL","3B","HOU",7.29
"Seth Smith",3400,"BAL","OF","HOU",6.24
"Jake Marisnick",3000,"HOU","OF","BAL",5.36
"Norichika Aoki",3000,"HOU","OF","BAL",5.3
"Marwin Gonzalez",3800,"HOU","3B/OF","BAL",6.47
"Brian McCann",3300,"HOU","C","BAL",6.57
"Gerardo Parra",4100,"COL","OF","STL",8.16
"Nolan Arenado",5300,"COL","3B","STL",10.6
"DJ LeMahieu",4500,"COL","2B","STL",7.77
"Charlie Blackmon",5600,"COL","OF","STL",11.06
"Yulieski Gurriel",3000,"HOU","1B","BAL",6.54
"Alex Bregman",4000,"HOU","3B","BAL",6.05
"Carlos Correa",5000,"HOU","SS","BAL",9.63
"Hyun-Soo Kim",3200,"BAL","OF","HOU",5.06
"Trey Mancini",3300,"BAL","1B/OF","HOU",5.08
"George Springer",4000,"HOU","OF","BAL",9.69
"Josh Reddick",4000,"HOU","OF","BAL",6.91
"Evan Gattis",3600,"HOU","C","BAL",6.87
"Carlos Beltran",3300,"HOU","OF","BAL",6.89
"Jose Altuve",5100,"HOU","2B","BAL",10.02
"Chris Gimenez",2600,"MIN","C","TBR",5.08
"Eduardo Escobar",2900,"MIN","3B/SS","TBR",5.39
"Chris Herrmann",3700,"ARI","C/OF","MIL",6.21
"Yasmany Tomas",4100,"ARI","OF","MIL",7.09
"Brandon Drury",4100,"ARI","2B","MIL",6.5
"Chris Owings",4600,"ARI","OF/SS","MIL",7.29
"Jeff Mathis",2400,"ARI","C","MIL",5.36
"Gregor Blanco",3200,"ARI","OF","MIL",6.7
"Daniel Descalso",2800,"ARI","3B/OF","MIL",5.38
"Nick Ahmed",3500,"ARI","SS","MIL",5.41
"Jake Lamb",5200,"ARI","3B","MIL",9.96
"Paul Goldschmidt",5400,"ARI","1B","MIL",10.05
"J.D. Martinez",4900,"DET","OF","CHW",9.1
"Alex Avila",3400,"DET","1B/C","CHW",6.03
"Tyler Collins",2700,"DET","OF","CHW",5.9
"Jose Iglesias",2400,"DET","SS","CHW",5.61
"Miguel Cabrera",4500,"DET","1B","CHW",10.22
"David Peralta",4600,"ARI","OF","MIL",8.2
"John Hicks",2700,"DET","1B/C","CHW",5.36
"Victor Martinez",3800,"DET","1B","CHW",7.38
"Reymond Fuentes",3600,"ARI","OF","MIL",5.6
"Travis Shaw",3800,"MIL","3B","ARI",6.26
"Miguel Sano",4600,"MIN","3B","TBR",7.56
"Max Kepler",4200,"MIN","OF","TBR",7.74
"Brian Dozier",4500,"MIN","2B","TBR",8.82
"Joe Mauer",3600,"MIN","1B","TBR",5.67
"Robbie Grossman",3700,"MIN","OF","TBR",6.5
"Eddie Rosario",2800,"MIN","OF","TBR",5.49
"Jorge Polanco",3300,"MIN","SS","TBR",5.45
"Jason Castro",2800,"MIN","C","TBR",5.66
"Manuel Pina",3200,"MIL","C","ARI",5.53
"Eric Sogard",3100,"MIL","2B","ARI",5.29
"Domingo Santana",3600,"MIL","OF","ARI",7.15
"Eric Thames",4700,"MIL","1B","ARI",6.44
"Jonathan Villar",4500,"MIL","2B","ARI",7.96
"Hernan Perez",3400,"MIL","3B/OF","ARI",6.58
"Keon Broxton",3900,"MIL","OF","ARI",5.04
"Orlando Arcia",3300,"MIL","SS","ARI",4.52
"Jett Bandy",3200,"MIL","C","ARI",4.92
"Carlos Gonzalez",4900,"COL","OF","STL",8.93
"Mark Reynolds",4900,"COL","1B","STL",8.23
"Christopher Taylor",3700,"LAD","2B","CHC",6.82
"Cody Bellinger",3900,"LAD","1B/OF","CHC",5.27
"Yasmani Grandal",3600,"LAD","C","CHC",6.07
"Adrian Gonzalez",3200,"LAD","1B","CHC",5.75
"Logan Forsythe",3700,"LAD","2B/3B","CHC",6.54
"Austin Barnes",2900,"LAD","C","CHC",5.68
"Franklin Gutierrez",3200,"LAD","OF","CHC",6.24
"Enrique Hernandez",2900,"LAD","OF/SS","CHC",6.89
"Yasiel Puig",3500,"LAD","OF","CHC",6.38
"Corey Seager",4400,"LAD","SS","CHC",6.55
"Addison Russell",3300,"CHC","SS","LAD",4.13
"Ben Zobrist",4200,"CHC","2B/OF","LAD",4.49
"Kris Bryant",4800,"CHC","3B","LAD",5.88
"Willson Contreras",3400,"CHC","C","LAD",4.09
"Javier Baez",4200,"CHC","2B/SS","LAD",4.25
"Chase Utley",3000,"LAD","1B/2B","CHC",5.18
"Jason Heyward",3400,"CHC","OF","LAD",4.36
"Ian Happ",4200,"CHC","2B","LAD",4.53
"Michael Conforto",5300,"NYM","OF","PIT",9.36
"Curtis Granderson",3400,"NYM","OF","PIT",6.75
"Jordy Mercer",3700,"PIT","SS","NYM",5.32
"Josh Harrison",3900,"PIT","2B/3B","NYM",6.78
"Francisco Cervelli",3200,"PIT","C","NYM",5.63
"Adam Frazier",4700,"PIT","2B/OF","NYM",8.38
"John Jaso",3000,"PIT","1B/OF","NYM",5.8
"Wilmer Flores",3600,"NYM","1B/3B","PIT",6.04
"Travis d'Arnaud",3300,"NYM","C","PIT",5.53
"David Freese",3400,"PIT","3B","NYM",5.85
"Josh Bell",3700,"PIT","1B","NYM",7.68
"Andrew McCutchen",3200,"PIT","OF","NYM",7.1
"Jay Bruce",4500,"NYM","1B/OF","PIT",9.14
"T.J. Rivera",3100,"NYM","1B/3B","PIT",5.79
"Neil Walker",3800,"NYM","2B","PIT",7.85
"Lucas Duda",3800,"NYM","1B","PIT",6.71
"Rene Rivera",2600,"NYM","C","PIT",4.87
"Gregory Polanco",4300,"PIT","OF","NYM",7.87
"Asdrubal Cabrera",3600,"NYM","SS","PIT",6.97
"Jose Reyes",3700,"NYM","3B/SS","PIT",7.17
"Kyle Schwarber",3900,"CHC","OF","LAD",4.69
"Anthony Rizzo",4700,"CHC","1B","LAD",4.89
"Stephen Piscotty",4500,"STL","OF","COL",10.34
"Dexter Fowler",4800,"STL","OF","COL",10.26
"Thomas Pham",3800,"STL","OF","COL",8.22
"Trevor Story",4600,"COL","SS","STL",8.62
"Ryan Hanigan",2900,"COL","C","STL",5.91
"Brandon Phillips",3900,"ATL","2B","SFG",5.48
"Nick Markakis",3400,"ATL","OF","SFG",6.09
"Dansby Swanson",3000,"ATL","SS","SFG",5.5
"Yadier Molina",4000,"STL","C","COL",7.82
"Kolten Wong",4200,"STL","2B","COL",8.02
"Tony Wolters",3300,"COL","C","STL",6.37
"Ian Desmond",4600,"COL","1B/OF","STL",9.06
"Patrick Valaika",3800,"COL","SS","STL",6.74
"Aledmys Diaz",4500,"STL","SS","COL",9
"Jhonny Peralta",3800,"STL","3B","COL",7.24
"Randal Grichuk",4700,"STL","OF","COL",8.27
"Matt Carpenter",4800,"STL","1B","COL",9.89
"Jedd Gyorko",4700,"STL","3B","COL",10.18
"Tyler Flowers",3300,"ATL","C","SFG",5.65
"Matt Kemp",4000,"ATL","OF","SFG",7.17
"Buster Posey",4200,"SFG","1B/C","ATL",8.12
"Denard Span",3600,"SFG","OF","ATL",7.35
"Joe Panik",3700,"SFG","2B","ATL",7.46
"Christian Arroyo",3000,"SFG","3B/SS","ATL",6.12
"Brandon Crawford",3500,"SFG","SS","ATL",7.53
"Gorkys Hernandez",2600,"SFG","OF","ATL",5.95
"Justin Ruggiano",2700,"SFG","OF","ATL",5.91
"Mac Williamson",3000,"SFG","OF","ATL",5.25
"Eduardo Nunez",3800,"SFG","3B/OF","ATL",6.48
"Nick Hundley",3000,"SFG","C","ATL",5.31
"Jace Peterson",2800,"ATL","2B/OF","SFG",5.07
"Kurt Suzuki",2900,"ATL","C","SFG",4.74
"Ender Inciarte",3900,"ATL","OF","SFG",6.17
"Danny Santana",2900,"ATL","2B/OF","SFG",4.53
"Rio Ruiz",2700,"ATL","3B","SFG",5.11
"Brandon Belt",3800,"SFG","1B/OF","ATL",7.93
"Matt Adams",3400,"ATL","1B/OF","SFG",5.71
"Justin Upton",3600,"DET","OF","CHW",7.1
"Nick Castellanos",3400,"DET","3B","CHW",7.05
"Lorenzo Cain",3600,"KCR","OF","CLE",7.04
"Alex Gordon",3100,"KCR","OF","CLE",5.45
"Austin Jackson",3000,"CLE","OF","KCR",6.12
"Eric Hosmer",3600,"KCR","1B","CLE",7.55
"Salvador Perez",3500,"KCR","C","CLE",6.8
"Whit Merrifield",3400,"KCR","2B","CLE",5.57
"Alcides Escobar",2400,"KCR","SS","CLE",5.61
"Cheslor Cuthbert",3200,"KCR","3B","CLE",5.53
"Jason Kipnis",4200,"CLE","2B","KCR",5.91
"Yan Gomes",3500,"CLE","C","KCR",5.1
"Russell Martin",3200,"TOR","C","TEX",6.41
"Josh Donaldson",4600,"TOR","3B","TEX",8.92
"Troy Tulowitzki",3900,"TOR","SS","TEX",7.58
"Carlos Santana",4200,"CLE","1B","KCR",8.08
"Francisco Lindor",4500,"CLE","SS","KCR",9.3
"Jose Ramirez",3700,"CLE","2B/3B","KCR",7.45
"Edwin Encarnacion",4400,"CLE","1B","KCR",8.91
"Michael Brantley",4400,"CLE","OF","KCR",6.18
"Mike Moustakas",3700,"KCR","3B","CLE",7.31
"Jorge Bonifacio",3500,"KCR","OF","CLE",5.58
"Ben Revere",3200,"LAA","OF","MIA",5.12
"Cliff Pennington",2100,"LAA","2B/SS","MIA",4.92
"Cameron Maybin",4700,"LAA","OF","MIA",6.81
"Luis Valbuena",3100,"LAA","1B/3B","MIA",6.58
"Dee Gordon",4400,"MIA","2B","LAA",6.97
"Giancarlo Stanton",4300,"MIA","OF","LAA",7.52
"Christian Yelich",3800,"MIA","OF","LAA",7.76
"J.T. Realmuto",3800,"MIA","C","LAA",5.56
"Andrelton Simmons",3900,"LAA","SS","MIA",6.38
"Danny Espinosa",2900,"LAA","2B","MIA",5.43
"Roberto Perez",2400,"CLE","C","KCR",4.37
"Jorge Soler",3400,"KCR","OF","CLE",5.66
"Brandon Moss",3600,"KCR","OF","CLE",5.98
"Daniel Robertson",2500,"CLE","OF","KCR",4.63
"Martin Maldonado",2100,"LAA","C","MIA",5.62
"Kole Calhoun",3100,"LAA","OF","MIA",7.12
"Albert Pujols",4200,"LAA","1B","MIA",7.19
"Mike Trout",5500,"LAA","OF","MIA",11
"Kevin Pillar",3700,"TOR","OF","TEX",7.8
"Ryan Goins",2900,"TOR","SS","TEX",5.75
"Khris Davis",4300,"OAK","OF","NYY",7.79
"Jed Lowrie",4300,"OAK","2B","NYY",5.73
"Matt Joyce",3400,"OAK","OF","NYY",6.1
"Chad Pinder",2700,"OAK","2B/SS","NYY",5.41
"Trevor Plouffe",3300,"OAK","3B","NYY",6.75
"Rajai Davis",3500,"OAK","OF","NYY",6.13
"Yonder Alonso",4100,"OAK","1B","NYY",7.15
"Adam Rosales",2200,"OAK","SS","NYY",5.37
"Ryon Healy",3500,"OAK","1B/3B","NYY",6.48
"Chris Carter",4000,"NYY","1B","OAK",6.41
"Starlin Castro",3500,"NYY","2B","OAK",6.74
"Matt Holliday",3600,"NYY","1B","OAK",6.94
"Brett Gardner",4600,"NYY","OF","OAK",6.94
"Chase Headley",3200,"NYY","3B","OAK",5.59
"Aaron Judge",4900,"NYY","OF","OAK",7.87
"Didi Gregorius",4100,"NYY","SS","OAK",6.56
"Ronald Torreyes",2600,"NYY","3B/SS","OAK",4.61
"Gary Sanchez",4600,"NYY","C","OAK",7.4
"Stephen Vogt",3200,"OAK","C","NYY",6.19
"Elvis Andrus",3900,"TEX","SS","TOR",7.47
"Jose Bautista",4800,"TOR","OF","TEX",8.15
"Devon Travis",3600,"TOR","2B","TEX",5.88
"Jared Hoying",2800,"TEX","OF","TOR",6.53
"Kendrys Morales",3600,"TOR","1B","TEX",8.32
"Luke Maile",2300,"TOR","C","TEX",4.87
"Ezequiel Carrera",2700,"TOR","OF","TEX",5.88
"Chris Coghlan",2800,"TOR","3B","TEX",4.87
"Justin Smoak",3800,"TOR","1B","TEX",7.58
"Ryan Rua",3000,"TEX","1B/OF","TOR",6.42
"Robinson Chirinos",3000,"TEX","C","TOR",6.09
"Rougned Odor",3700,"TEX","2B","TOR",8.39
"Mike Napoli",3900,"TEX","1B","TOR",7.08
"Nomar Mazara",4400,"TEX","OF","TOR",8.39
"Jonathan Lucroy",3600,"TEX","C","TOR",7.47
"Shin-Soo Choo",3800,"TEX","OF","TOR",8
"Delino DeShields",3300,"TEX","OF","TOR",6.7
"Joey Gallo",4100,"TEX","3B","TOR",8.16
"Justin Bour",4600,"MIA","1B","LAA",5.86
"Marcell Ozuna",3900,"MIA","OF","LAA",6.67
"Hunter Renfroe",3100,"SDP","OF","WAS",6.53
"Ryan Schimpf",3200,"SDP","3B","WAS",7.09
"Yangervis Solarte",2800,"SDP","2B","WAS",6.41
"Austin Hedges",2300,"SDP","C","WAS",5.45
"Erick Aybar",2100,"SDP","SS","WAS",4.92
"Ryan Zimmerman",4500,"WAS","1B","SDP",9.65
"Matthew Szczur",2600,"SDP","OF","WAS",5.71
"Cory Spangenberg",2500,"SDP","3B/OF","WAS",6.67
"Wil Myers",3500,"SDP","1B","WAS",8.2
"Andres Blanco",2700,"PHI","2B/3B","CIN",5.54
"Tommy Joseph",4000,"PHI","1B","CIN",7.99
"Aaron Altherr",4200,"PHI","OF","CIN",8.21
"Maikel Franco",3600,"PHI","3B","CIN",7.48
"Freddy Galvis",3000,"PHI","SS","CIN",6.17
"Cesar Hernandez",3900,"PHI","2B","CIN",7.34
"Andrew Knapp",3200,"PHI","C","CIN",5.29
"Cameron Rupp",3200,"PHI","C","CIN",6.12
"Michael Saunders",3500,"PHI","OF","CIN",7.49
"Anthony Rendon",4700,"WAS","3B","SDP",7.39
"Bryce Harper",5500,"WAS","OF","SDP",10.36
"Leury Garcia",3700,"CHW","OF","DET",6.4
"Melky Cabrera",3800,"CHW","OF","DET",7.38
"Todd Frazier",3900,"CHW","3B","DET",7.78
"Omar Narvaez",2800,"CHW","C","DET",5.32
"Matt Davidson",3800,"CHW","1B/3B","DET",5.98
"Andrew Romine",3000,"DET","2B/OF","CHW",5.78
"Timothy Anderson",4200,"CHW","SS","DET",6.34
"Carlos Sanchez",3400,"CHW","2B","DET",5.77
"Jose Abreu",5000,"CHW","1B","DET",7.6
"Avisail Garcia",4600,"CHW","OF","DET",7.05
"Jayson Werth",3700,"WAS","OF","SDP",7.77
"Michael Taylor",3800,"WAS","OF","SDP",5.78
"Daniel Murphy",5000,"WAS","2B","SDP",9.07
"Matt Wieters",3300,"WAS","C","SDP",6.31
"Trea Turner",4900,"WAS","SS","SDP",9.84
"Allen Cordoba",2300,"SDP","OF/SS","WAS",6.33
"Jose Lobaton",2400,"WAS","C","SDP",4.29
"Odubel Herrera",2900,"PHI","OF","CIN",7.14
"Tucker Barnhart",2700,"CIN","C","PHI",5.49
"Xander Bogaerts",4900,"BOS","SS","SEA",7.81
"Mitch Moreland",4700,"BOS","1B","SEA",8.08
"Hanley Ramirez",4700,"BOS","1B","SEA",7.49
"Jackie Bradley",4500,"BOS","OF","SEA",7.25
"Sandy Leon",3000,"BOS","C","SEA",6.03
"Christian Vazquez",2900,"BOS","C","SEA",5.83
"Deven Marrero",2700,"BOS","3B","SEA",5.94
"Josh Rutledge",2800,"BOS","3B","SEA",6.22
"Mookie Betts",5100,"BOS","OF","SEA",9.92
"Andrew Benintendi",4700,"BOS","OF","SEA",10.05
"J.T. Riddle",2600,"MIA","SS","LAA",5.53
"Ichiro Suzuki",2700,"MIA","OF","LAA",4.39
"Derek Dietrich",3200,"MIA","3B","LAA",6.64
"Tyler Moore",2700,"MIA","1B/OF","LAA",5.25
"Juan Graterol",2300,"LAA","C","MIA",5.44
"Dustin Pedroia",4400,"BOS","2B","SEA",7.61
"A.J. Ellis",2500,"MIA","C","LAA",4.17
"Jefry Marte",3300,"LAA","1B","MIA",5.9
"Jarrod Dyson",3100,"SEA","OF","BOS",6.07
"Nelson Cruz",4800,"SEA","OF","BOS",8.83
"Joey Votto",5000,"CIN","1B","PHI",9.85
"Jose Peraza",4100,"CIN","2B","PHI",6.52
"Billy Hamilton",5000,"CIN","OF","PHI",8.09
"Eugenio Suarez",4500,"CIN","3B","PHI",7.81
"Adam Duvall",4600,"CIN","OF","PHI",7.8
"Devin Mesoraco",2900,"CIN","C","PHI",5.66
"Scott Schebler",4500,"CIN","OF","PHI",7.47
"Zack Cozart",4200,"CIN","SS","PHI",7.4
"Mike Zunino",3100,"SEA","C","BOS",5.56
"Robinson Cano",4700,"SEA","2B","BOS",9.34
"Danny Valencia",3300,"SEA","1B","BOS",6.25
"Taylor Motter",3200,"SEA","2B/SS","BOS",5.39
"Kyle Seager",3700,"SEA","3B","BOS",7.16
"Carlos Ruiz",2800,"SEA","C","BOS",5.19
"Jean Segura",4500,"SEA","SS","BOS",6.69
"Benjamin Gamel",3500,"SEA","OF","BOS",6.07
"Guillermo Heredia",2800,"SEA","OF","BOS",5.48
"Aaron Hicks",4300,"NYY","OF","OAK",6.44
