"Name","Salary","Team","Position","OppTeam","Projections"
"Stephen Drew",3200,"WAS","3B/SS","ARI",5.9
"Ian Desmond",4600,"COL","1B/OF","PIT",8
"Tony Wolters",3200,"COL","C","PIT",6.47
"Brian Goodwin",4100,"WAS","OF","ARI",6.36
"Bryce Harper",5500,"WAS","OF","ARI",10.24
"Daniel Murphy",5000,"WAS","2B","ARI",9.09
"Ryan Zimmerman",4000,"WAS","1B","ARI",7.07
"Trevor Story",4200,"COL","SS","PIT",7.64
"Mark Reynolds",4800,"COL","1B","PIT",9.93
"Carlos Gonzalez",3600,"COL","OF","PIT",7.59
"Josh Bell",3800,"PIT","1B","COL",9.1
"Jordy Mercer",3300,"PIT","SS","COL",6.08
"Charlie Blackmon",5800,"COL","OF","PIT",11.3
"DJ LeMahieu",4500,"COL","2B","PIT",8.34
"Gerardo Parra",4800,"COL","OF","PIT",8.93
"Nolan Arenado",5500,"COL","3B","PIT",11.15
"Anthony Rendon",5000,"WAS","3B","ARI",7.64
"Chris Heisey",2500,"WAS","OF","ARI",5.22
"Mitch Moreland",3700,"BOS","1B","LAA",7.09
"Dustin Pedroia",4400,"BOS","2B","LAA",8.06
"J.D. Martinez",4800,"ARI","OF","WAS",6.33
"Mookie Betts",5400,"BOS","OF","LAA",10.14
"Jackie Bradley",3500,"BOS","OF","LAA",7.59
"Xander Bogaerts",3800,"BOS","SS","LAA",8.02
"Deven Marrero",2900,"BOS","3B","LAA",5.03
"Chris Iannetta",3400,"ARI","C","WAS",4.49
"Brandon Drury",3700,"ARI","2B","WAS",4.98
"A.J. Pollock",4700,"ARI","OF","WAS",6.26
"Chris Herrmann",3200,"ARI","C/OF","WAS",4.89
"Matt Wieters",3100,"WAS","C","ARI",5.67
"David Peralta",4500,"ARI","OF","WAS",6.47
"Paul Goldschmidt",5600,"ARI","1B","WAS",7.65
"Chris Owings",4300,"ARI","OF/SS","WAS",5.44
"Jake Lamb",4900,"ARI","3B","WAS",6.77
"Francisco Cervelli",3200,"PIT","C","COL",6.97
"David Freese",2700,"PIT","3B","COL",7.06
"Yoan Moncada",3400,"CHW","2B/3B","KCR",5.92
"Melky Cabrera",3700,"CHW","OF","KCR",6.7
"Timothy Anderson",3200,"CHW","SS","KCR",5.71
"Avisail Garcia",3600,"CHW","OF","KCR",6.79
"Adam Engel",3000,"CHW","OF","KCR",4.98
"Omar Narvaez",2700,"CHW","C","KCR",4.34
"Jose Abreu",4100,"CHW","1B","KCR",8.23
"Joe Mauer",3700,"MIN","1B","DET",6.54
"Jorge Polanco",3000,"MIN","SS","DET",6.18
"Jason Castro",2800,"MIN","C","DET",5.47
"Zachary Granite",3000,"MIN","OF","DET",5.95
"Miguel Sano",4100,"MIN","3B","DET",9.63
"Eddie Rosario",3600,"MIN","OF","DET",6.16
"Max Kepler",4100,"MIN","OF","DET",7.6
"Robbie Grossman",3700,"MIN","OF","DET",7.46
"Eduardo Escobar",3600,"MIN","3B/SS","DET",6.04
"Tyler Saladino",2800,"CHW","2B/SS","KCR",5.32
"Matt Davidson",3500,"CHW","1B/3B","KCR",6.34
"Alen Hanson",3200,"CHW","2B/OF","KCR",5.56
"Carlos Sanchez",2800,"CHW","2B","KCR",5.34
"Brandon Moss",2300,"KCR","OF","CHW",5.73
"Starling Marte",4200,"PIT","OF","COL",9.46
"Josh Harrison",3700,"PIT","2B/3B","COL",8.31
"Gregory Polanco",3500,"PIT","OF","COL",8.65
"Andrew McCutchen",4400,"PIT","OF","COL",9.86
"Jorge Bonifacio",3500,"KCR","OF","CHW",7.17
"Alcides Escobar",2900,"KCR","SS","CHW",5.29
"Lorenzo Cain",3100,"KCR","OF","CHW",7.81
"Mike Moustakas",3400,"KCR","3B","CHW",8.82
"Eric Hosmer",3600,"KCR","1B","CHW",8.44
"Salvador Perez",3500,"KCR","C","CHW",7.67
"Whit Merrifield",3800,"KCR","2B","CHW",8.21
"Alex Gordon",2100,"KCR","OF","CHW",5.5
"Christian Vazquez",2800,"BOS","C","LAA",5.39
"Andrew Benintendi",4600,"BOS","OF","LAA",9.1
"Cody Bellinger",5400,"LAD","1B/OF","ATL",10.41
"Yasmani Grandal",3900,"LAD","C","ATL",7.52
"Yasiel Puig",4400,"LAD","OF","ATL",5.83
"Joc Pederson",4000,"LAD","OF","ATL",7.08
"Justin Turner",4800,"LAD","3B","ATL",8.15
"Carlos Asuaje",3000,"SDP","2B","SFG",5.45
"Sean Rodriguez",2600,"ATL","1B/2B","LAD",5.1
"Corey Seager",5000,"LAD","SS","ATL",8.95
"Christopher Taylor",4800,"LAD","2B/OF","ATL",8.28
"Dansby Swanson",2700,"ATL","SS","LAD",4.05
"Tyler Flowers",2900,"ATL","C","LAD",4.12
"Nick Markakis",3300,"ATL","OF","LAD",5.22
"Brandon Phillips",4000,"ATL","2B","LAD",5.38
"Kurt Suzuki",3300,"ATL","C","LAD",4.52
"Logan Forsythe",3900,"LAD","2B/3B","ATL",6.65
"Freddie Freeman",5300,"ATL","1B/3B","LAD",6.61
"Cory Spangenberg",3200,"SDP","3B/OF","SFG",5.59
"Wil Myers",3600,"SDP","1B","SFG",6.61
"Gorkys Hernandez",2800,"SFG","OF","SDP",4.34
"Brandon Crawford",3100,"SFG","SS","SDP",5.73
"Buster Posey",4100,"SFG","1B/C","SDP",6.21
"Joe Panik",3300,"SFG","2B","SDP",5.64
"Denard Span",3400,"SFG","OF","SDP",6.55
"Nick Hundley",3200,"SFG","C","SDP",4.18
"Hunter Pence",2600,"SFG","OF","SDP",5.74
"Brandon Belt",3800,"SFG","1B/OF","SDP",6.84
"Eduardo Nunez",3500,"SFG","3B/OF","SDP",6.03
"Jose Pirela",3400,"SDP","OF","SFG",5.52
"Hunter Renfroe",3400,"SDP","OF","SFG",5.45
"Jabari Blash",3200,"SDP","OF","SFG",5.14
"Hector Sanchez",2700,"SDP","C","SFG",5.38
"Franchy Cordero",2900,"SDP","OF","SFG",5.44
"Erick Aybar",2700,"SDP","SS","SFG",5.05
"Matt Kemp",3800,"ATL","OF","LAD",5.56
"Johan Camargo",3600,"ATL","3B","LAD",3.91
"Cliff Pennington",2100,"LAA","2B/3B","BOS",3.25
"Shane Robinson",2400,"LAA","OF","BOS",3.68
"Martin Maldonado",2600,"LAA","C","BOS",4.1
"Chase Headley",3200,"NYY","3B","SEA",5.86
"Clint Frazier",3700,"NYY","OF","SEA",6
"Didi Gregorius",3900,"NYY","SS","SEA",7.38
"Jacoby Ellsbury",2900,"NYY","OF","SEA",6.16
