"Name","Salary","Team","Position","OppTeam","Projections"
"Marco Estrada",8800,"TOR","SP","STL",18.65
"Michael Wacha",6800,"STL","SP","TOR",21.69
"Dylan Covey",4300,"CHW","SP","KCR",6.69
"Danny Duffy",10400,"KCR","SP","CHW",24.37
"Ervin Santana",7100,"MIN","SP","TEX",18.99
"Andrew Cashner",5400,"TEX","SP","MIN",12.96
"Joseph Ross",5300,"WAS","SP","COL",12.12
"German Marquez",4200,"COL","SP","WAS",8.71
"Clayton Kershaw",14300,"LAD","SP","SFG",32.44
"Tyson Blach",5600,"SFG","RP","LAD",9.77
"J.C. Ramirez",4200,"LAA","SP","OAK",14.53
"Jesse Hahn",5500,"OAK","SP","LAA",13.46
"Clayton Richard",5100,"SDP","SP","ARI",12.48
"Patrick Corbin",5000,"ARI","SP","SDP",15.54
"Zach Davies",6600,"MIL","SP","CIN",12.66
"Scott Feldman",6000,"CIN","SP","MIL",12.08
"Gerrit Cole",8500,"PIT","SP","CHC",17.76
"Wei-Yin Chen",7600,"MIA","SP","PHI",17.38
"Kyle Hendricks",10200,"CHC","SP","PIT",18.46
"Erasmo Ramirez",4400,"TBR","SP","BAL",12.44
"Josh Tomlin",6300,"CLE","SP","HOU",12.38
"Wade Miley",6900,"BAL","SP","TBR",18.54
"Vincent Velasquez",9300,"PHI","SP","MIA",18.35
"Luis Severino",8300,"NYY","SP","BOS",17.97
"Julio Teheran",10000,"ATL","SP","NYM",17.38
"Robert Gsellman",7000,"NYM","SP","ATL",17
"Jordan Zimmermann",6400,"DET","SP","SEA",14.32
"Felix Hernandez",9500,"SEA","SP","DET",19.83
"Rick Porcello",9600,"BOS","SP","NYY",20.79
"Dallas Keuchel",9200,"HOU","SP","CLE",21.37
