"Name","Salary","Team","Position","OppTeam","Projections"
"Tyson Blach",6000,"SFG","SP","CHC",10.24
"Michael Foltynewicz",7500,"ATL","SP","PIT",19.67
"Gerrit Cole",9700,"PIT","SP","ATL",23.44
"John Lackey",9000,"CHC","SP","SFG",23.15
"Michael Fulmer",9900,"DET","SP","HOU",21.83
"Zack Greinke",12000,"ARI","SP","CHW",23.06
"Miguel Gonzalez",6400,"CHW","SP","ARI",9.29
"Brad Peacock",5700,"HOU","SP","DET",13.16
"Jake Odorizzi",8300,"TBR","SP","LAA",18.74
"J.C. Ramirez",7300,"LAA","SP","TBR",18.1
"Jerad Eickhoff",6900,"PHI","SP","COL",14.83
"Jeff Hoffman",6300,"COL","SP","PHI",15.24
"Ubaldo Jimenez",6100,"BAL","SP","MIN",12.38
"Jason Vargas",7700,"KCR","SP","NYY",15
"Michael Pineda",10500,"NYY","SP","KCR",22.4
"Scott Feldman",5900,"CIN","SP","CLE",11.13
"Josh Tomlin",7200,"CLE","SP","CIN",13.17
"Kyle Gibson",5200,"MIN","SP","BAL",9.19
