"Name","Salary","Team","Position","OppTeam","Projections"
"Matt Davidson",2900,"CHW","3B","KCR",6.03
"Avisail Garcia",3200,"CHW","OF","KCR",6
"Todd Frazier",4300,"CHW","3B","KCR",6.08
"Geovany Soto",2400,"CHW","C","KCR",4.79
"Leury Garcia",2600,"CHW","OF","KCR",3.45
"Kevin Pillar",3300,"TOR","OF","STL",5.59
"Kendrys Morales",3700,"TOR","1B","STL",5.71
"Jose Abreu",4100,"CHW","1B","KCR",5.74
"Melky Cabrera",3800,"CHW","OF","KCR",5.65
"Brandon Moss",3600,"KCR","OF","CHW",5.88
"Alcides Escobar",3300,"KCR","SS","CHW",5.1
"Alex Gordon",3700,"KCR","OF","CHW",5.88
"Jorge Bonifacio",3100,"KCR","OF","CHW",5.17
"Jacob May",2600,"CHW","OF","KCR",3.06
"Tyler Saladino",3300,"CHW","2B","KCR",5.31
"Timothy Anderson",3500,"CHW","SS","KCR",5.45
"Ezequiel Carrera",2800,"TOR","OF","STL",5.12
"Jose Bautista",4400,"TOR","OF","STL",5.82
"Yadier Molina",3300,"STL","C","TOR",5.43
"Stephen Piscotty",3900,"STL","OF","TOR",6.54
"Matt Carpenter",4100,"STL","1B","TOR",7.66
"Jose Martinez",2700,"STL","1B/OF","TOR",4.8
"Jedd Gyorko",3400,"STL","2B/3B","TOR",5.47
"Adam Eaton",5300,"WAS","OF","COL",10.21
"Randal Grichuk",3600,"STL","OF","TOR",5.66
"Aledmys Diaz",3900,"STL","SS","TOR",6.24
"Dexter Fowler",4200,"STL","OF","TOR",6.19
"Russell Martin",3600,"TOR","C","STL",4.68
"Justin Smoak",3000,"TOR","1B","STL",5.12
"Chris Coghlan",2400,"TOR","3B/OF","STL",4.58
"Devon Travis",3800,"TOR","2B","STL",4.49
"Kolten Wong",2900,"STL","2B","TOR",5.35
"Ryan Goins",2300,"TOR","2B/SS","STL",3.57
"Salvador Perez",3400,"KCR","C","CHW",8.11
"Eric Hosmer",3900,"KCR","1B","CHW",7.71
"Max Kepler",4200,"MIN","OF","TEX",8.43
"Brian Dozier",5000,"MIN","2B","TEX",8.36
"Kennys Vargas",4000,"MIN","1B","TEX",5.86
"Miguel Sano",4600,"MIN","3B","TEX",8.07
"Joe Mauer",4100,"MIN","1B","TEX",6.04
"Jason Castro",3200,"MIN","C","TEX",6
"Robbie Grossman",4000,"MIN","OF","TEX",6.8
"Orlando Arcia",3500,"MIL","SS","CIN",4.75
"Keon Broxton",3900,"MIL","OF","CIN",5.45
"Eric Thames",4200,"MIL","1B","CIN",9.46
"Jonathan Villar",4600,"MIL","2B","CIN",8.56
"Hernan Perez",3600,"MIL","OF/SS","CIN",5.39
"Ryan Braun",5000,"MIL","OF","CIN",9.29
"Travis Shaw",3600,"MIL","3B","CIN",8.3
"Jett Bandy",2800,"MIL","C","CIN",5.42
"Domingo Santana",3800,"MIL","OF","CIN",6.1
"Eduardo Escobar",3100,"MIN","SS","TEX",5.62
"Eddie Rosario",3900,"MIN","OF","TEX",5.59
"Jurickson Profar",3400,"TEX","OF","MIN",4.89
"Jonathan Lucroy",4100,"TEX","C","MIN",5.83
"Joey Gallo",3700,"TEX","3B","MIN",6.92
"Cheslor Cuthbert",3300,"KCR","3B","CHW",5.78
"Whit Merrifield",3500,"KCR","2B/OF","CHW",6.02
"Lorenzo Cain",4000,"KCR","OF","CHW",7.92
"Mike Moustakas",3200,"KCR","3B","CHW",8.51
"Elvis Andrus",3900,"TEX","SS","MIN",6.03
"Rougned Odor",4400,"TEX","2B","MIN",6.95
"Jorge Polanco",3800,"MIN","SS","TEX",5.74
"Byron Buxton",3900,"MIN","OF","TEX",4.38
"Carlos Gomez",4000,"TEX","OF","MIN",6.32
"Shin-Soo Choo",4300,"TEX","OF","MIN",7.31
"Mike Napoli",4000,"TEX","1B","MIN",6.16
"Nomar Mazara",3800,"TEX","OF","MIN",7.99
"Trea Turner",5100,"WAS","OF/SS","COL",10.86
"Bryce Harper",6100,"WAS","OF","COL",13.1
"C.J. Cron",3600,"LAA","1B","OAK",5.75
"Albert Pujols",4100,"LAA","1B","OAK",6.49
"Mike Trout",5300,"LAA","OF","OAK",9.59
"Andrelton Simmons",3100,"LAA","SS","OAK",5.51
"Cameron Maybin",3700,"LAA","OF","OAK",5.37
"Martin Maldonado",2400,"LAA","C","OAK",3.9
"Danny Espinosa",3000,"LAA","2B","OAK",5.09
"Kole Calhoun",3800,"LAA","OF","OAK",6.55
"Yunel Escobar",3200,"LAA","3B","OAK",5.96
"Ryon Healy",3100,"OAK","1B/3B","LAA",5.72
"Khris Davis",3600,"OAK","OF","LAA",8.41
"Stephen Vogt",2900,"OAK","C","LAA",6.36
"Yonder Alonso",2700,"OAK","1B","LAA",5.3
"Trevor Plouffe",3200,"OAK","3B","LAA",5.47
"Adam Rosales",2200,"OAK","2B/3B","LAA",4.45
"Matt Joyce",2300,"OAK","OF","LAA",5.51
"Corey Seager",4000,"LAD","SS","SFG",7.04
"Enrique Hernandez",3100,"LAD","OF/SS","SFG",6.29
"Eduardo Nunez",3200,"SFG","3B","LAD",4.99
"Brandon Belt",3200,"SFG","1B","LAD",3.39
"Hunter Pence",3400,"SFG","OF","LAD",5.56
"Buster Posey",3300,"SFG","C","LAD",5.64
"Brandon Crawford",2900,"SFG","SS","LAD",3.46
