"Name","Salary","Team","Position","OppTeam","Projections"
"Victor Martinez",3500,"DET","1B","OAK",6.84
"Nick Castellanos",3600,"DET","3B","OAK",7.02
"Andrew Romine",2100,"DET","OF/SS","OAK",5.57
"Justin Upton",4000,"DET","OF","OAK",7.15
"Tyler Collins",2600,"DET","OF","OAK",6.36
"Jose Iglesias",2500,"DET","SS","OAK",5.51
"Jim Adduci",2400,"DET","OF","OAK",5.63
"Alex Avila",3200,"DET","1B/C","OAK",5.83
"Miguel Cabrera",4600,"DET","1B","OAK",8.23
"Luis Valbuena",3200,"LAA","1B/3B","HOU",6.09
"Andrelton Simmons",2900,"LAA","SS","HOU",5.67
"Danny Espinosa",2800,"LAA","2B","HOU",4.66
"Kole Calhoun",3500,"LAA","OF","HOU",6.08
"Cameron Maybin",3400,"LAA","OF","HOU",5.4
"Jake Marisnick",2600,"HOU","OF","LAA",5.24
"Ben Revere",3000,"LAA","OF","HOU",5.63
"Cliff Pennington",2000,"LAA","2B/SS","HOU",4.82
"Ryon Healy",3300,"OAK","1B/3B","DET",7.47
"Matt Joyce",2500,"OAK","OF","DET",5.7
"Daniel Vogelbach",2700,"SEA","1B","TEX",5.57
"Jarrod Dyson",3000,"SEA","OF","TEX",6.65
"James McCann",2700,"DET","C","OAK",4.65
"Robinson Cano",4300,"SEA","2B","TEX",9.18
"Nelson Cruz",4200,"SEA","OF","TEX",8.75
"Taylor Motter",3200,"SEA","SS","TEX",6.13
"Kyle Seager",3800,"SEA","3B","TEX",8.01
"Bruce Maxwell",2600,"OAK","C","DET",5.24
"Rajai Davis",3600,"OAK","OF","DET",6.73
"Chad Pinder",2200,"OAK","2B/SS","DET",5.38
"Khris Davis",3800,"OAK","OF","DET",8.87
"Jed Lowrie",2800,"OAK","2B","DET",6.39
"Trevor Plouffe",3400,"OAK","3B","DET",6.14
"Adam Rosales",2400,"OAK","2B/SS","DET",5.28
"Jaff Decker",2100,"OAK","OF","DET",4.52
"Yonder Alonso",2900,"OAK","1B","DET",6.24
"Albert Pujols",3800,"LAA","1B","HOU",6.78
"Mike Trout",5100,"LAA","OF","HOU",9.59
"Gerardo Parra",4200,"COL","OF","ARI",8.61
"Jeff Mathis",2900,"ARI","C","COL",5.91
"Chris Owings",4600,"ARI","OF/SS","COL",8.41
"Charlie Blackmon",5300,"COL","OF","ARI",11.21
"DJ LeMahieu",4800,"COL","2B","ARI",9.2
"Mark Reynolds",4600,"COL","1B","ARI",7.7
"Carlos Gonzalez",4700,"COL","OF","ARI",10.01
"Nolan Arenado",5200,"COL","3B","ARI",10.5
"Yasmany Tomas",4700,"ARI","OF","COL",9.01
"Brandon Drury",4500,"ARI","2B","COL",7.98
"Trea Turner",4900,"WAS","SS","PHI",8.55
"Matt Wieters",3200,"WAS","C","PHI",5.7
"Jayson Werth",3600,"WAS","OF","PHI",6.09
"A.J. Pollock",5300,"ARI","OF","COL",10.44
"David Peralta",4700,"ARI","OF","COL",10.18
"Jake Lamb",5100,"ARI","3B","COL",10.65
"Paul Goldschmidt",5300,"ARI","1B","COL",10.8
"Trevor Story",4600,"COL","SS","ARI",8.16
"Ian Desmond",5000,"COL","OF","ARI",9.74
"Marwin Gonzalez",3400,"HOU","3B/OF","LAA",6.07
"Yulieski Gurriel",3200,"HOU","1B","LAA",6.27
"Alex Bregman",3800,"HOU","3B","LAA",5.58
"Norichika Aoki",3400,"HOU","OF","LAA",5.27
"Martin Maldonado",2200,"LAA","C","HOU",4.72
"Jefry Marte",3200,"LAA","1B","HOU",5.82
"Yunel Escobar",3000,"LAA","3B","HOU",6.51
"Evan Gattis",3700,"HOU","C","LAA",5.72
"Carlos Beltran",3700,"HOU","OF","LAA",6.29
"Brian McCann",3300,"HOU","C","LAA",6.63
"Nick Ahmed",3200,"ARI","SS","COL",6.45
"Dustin Garneau",3700,"COL","C","ARI",6.42
"Carlos Correa",4700,"HOU","SS","LAA",8.5
"George Springer",4300,"HOU","OF","LAA",8.48
"Jose Altuve",4700,"HOU","2B","LAA",9.02
"Josh Reddick",3400,"HOU","OF","LAA",7.34
"Danny Valencia",3300,"SEA","1B","TEX",6.51
"Carlos Ruiz",2500,"SEA","C","TEX",4.74
"Cory Spangenberg",3200,"SDP","3B/OF","LAD",5.59
"Erick Aybar",2600,"SDP","SS","LAD",5.06
"Austin Hedges",2700,"SDP","C","LAD",5.58
"Christopher Taylor",3200,"LAD","2B","SDP",5.29
"Joc Pederson",3700,"LAD","OF","SDP",6.12
"Kris Bryant",5000,"CHC","3B","NYY",7.63
"Kyle Schwarber",4400,"CHC","OF","NYY",7.23
"Anthony Rizzo",4900,"CHC","1B","NYY",8.85
"Hunter Renfroe",3300,"SDP","OF","LAD",6.04
"Ryan Schimpf",3600,"SDP","3B","LAD",6.15
"Cody Bellinger",3200,"LAD","OF","SDP",6.06
"Yasmani Grandal",3400,"LAD","C","SDP",6.31
"Andrew Toles",3200,"LAD","OF","SDP",6.17
"Manuel Margot",3400,"SDP","OF","LAD",6.43
"Jabari Blash",2400,"SDP","OF","LAD",5.58
"Yangervis Solarte",3500,"SDP","2B","LAD",6.51
"Wil Myers",4500,"SDP","1B","LAD",7.8
"Ben Zobrist",4200,"CHC","2B/OF","NYY",6.49
