"Name","Salary","Team","Position","OppTeam","Projections"
"Tyler Chatwood",0,"COL","SP","SFG",0
"Dixon Machado",0,"DET","SS","MIN",0
"Andrew Romine",0,"DET","SS","MIN",0
"Charlie Blackmon",0,"COL","OF","SFG",0
"DJ LeMahieu",0,"COL","2B","SFG",0
"Mark Reynolds",0,"COL","1B","SFG",0
"Nolan Arenado",0,"COL","3B","SFG",0
"Carlos Gonzalez",0,"COL","OF","SFG",0
"James McCann",0,"DET","C","MIN",0
"Tyler Collins",0,"DET","OF","MIN",0
"Ian Kinsler",0,"DET","2B","MIN",0
"Justin Verlander",0,"DET","SP","MIN",0
"Byron Buxton",0,"MIN","OF","DET",0
"Nick Castellanos",0,"DET","3B","MIN",0
"Miguel Cabrera",0,"DET","1B","MIN",0
"Justin Upton",0,"DET","OF","MIN",0
"Victor Martinez",0,"DET","DH","MIN",0
"Trevor Story",0,"COL","SS","SFG",0
"Gerardo Parra",0,"COL","OF","SFG",0
"Johnny Cueto",0,"SFG","SP","COL",0
"Chris Marrero",0,"SFG","1B","COL",0
"Joe Panik",0,"SFG","2B","COL",0
"Taijuan Walker",0,"ARI","SP","LAD",0
"A.J. Pollock",0,"ARI","OF","LAD",0
"Jake Lamb",0,"ARI","3B","LAD",0
"Paul Goldschmidt",0,"ARI","1B","LAD",0
"Chris Owings",0,"ARI","SS","LAD",0
"Eduardo Nunez",0,"SFG","3B","COL",0
"Brandon Crawford",0,"SFG","SS","COL",0
"Johnny Cueto",0,"SFG","SP","COL",0
"Tyler Chatwood",0,"COL","SP","SFG",0
"Tony Wolters",0,"COL","C","SFG",0
"Denard Span",0,"SFG","OF","COL",0
"Brandon Belt",0,"SFG","1B","COL",0
"Buster Posey",0,"SFG","C","COL",0
"Hunter Pence",0,"SFG","OF","COL",0
"Eddie Rosario",0,"MIN","OF","DET",0
"Jorge Polanco",0,"MIN","SS","DET",0
"Timothy Anderson",0,"CHW","SS","CLE",0
"Tyler Saladino",0,"CHW","2B","CLE",0
"Jose Quintana",0,"CHW","SP","CLE",0
"Melky Cabrera",0,"CHW","OF","CLE",0
"Jose Abreu",0,"CHW","1B","CLE",0
"Cody Asche",0,"CHW","OF","CLE",0
"Avisail Garcia",0,"CHW","OF","CLE",0
"Todd Frazier",0,"CHW","3B","CLE",0
"Adam Wainwright",0,"STL","SP","MIL",0
"Kolten Wong",0,"STL","2B","MIL",0
"Matt Carpenter",0,"STL","1B","MIL",0
"Aledmys Diaz",0,"STL","SS","MIL",0
"Dexter Fowler",0,"STL","OF","MIL",0
"Stephen Piscotty",0,"STL","OF","MIL",0
"Yadier Molina",0,"STL","C","MIL",0
"Jedd Gyorko",0,"STL","2B","MIL",0
"Randal Grichuk",0,"STL","OF","MIL",0
"Omar Narvaez",0,"CHW","C","CLE",0
"Jacob May",0,"CHW","OF","CLE",0
"Brian Dozier",0,"MIN","2B","DET",0
"Hector Santiago",0,"MIN","SP","DET",0
"Yan Gomes",0,"CLE","C","CHW",0
"Joe Mauer",0,"MIN","1B","DET",0
"Miguel Sano",0,"MIN","3B","DET",0
"Jason Castro",0,"MIN","C","DET",0
"Robbie Grossman",0,"MIN","OF","DET",0
"Max Kepler",0,"MIN","OF","DET",0
"Austin Jackson",0,"CLE","OF","CHW",0
"Brandon Guyer",0,"CLE","OF","CHW",0
"Jason Kipnis",0,"CLE","2B","CHW",0
"Carlos Santana",0,"CLE","1B","CHW",0
"Corey Kluber",0,"CLE","SP","CHW",0
"Francisco Lindor",0,"CLE","SS","CHW",0
"Michael Brantley",0,"CLE","OF","CHW",0
"Jose Ramirez",0,"CLE","2B","CHW",0
"Edwin Encarnacion",0,"CLE","DH","CHW",0
"Yasmany Tomas",0,"ARI","OF","LAD",0
"Brandon Drury",0,"ARI","2B","LAD",0
"Troy Tulowitzki",0,"TOR","SS","LAA",0
"Kendrys Morales",0,"TOR","DH","LAA",0
"Jose Bautista",0,"TOR","OF","LAA",0
"Russell Martin",0,"TOR","C","LAA",0
"Justin Smoak",0,"TOR","1B","LAA",0
"Trevor Cahill",0,"SDP","SP","MIA",0
"Devon Travis",0,"TOR","2B","LAA",0
"Chris Coghlan",0,"TOR","OF","LAA",0
"Ezequiel Carrera",0,"TOR","OF","LAA",0
"Kevin Pillar",0,"TOR","OF","LAA",0
"Cameron Maybin",0,"LAA","OF","TOR",0
"C.J. Cron",0,"LAA","1B","TOR",0
"Albert Pujols",0,"LAA","DH","TOR",0
"Andrelton Simmons",0,"LAA","SS","TOR",0
"Danny Espinosa",0,"LAA","2B","TOR",0
"Mat Latos",0,"TOR","SP","LAA",0
"Martin Maldonado",0,"LAA","C","TOR",0
"Manuel Margot",0,"SDP","OF","MIA",0
"Wil Myers",0,"SDP","1B","MIA",0
"Giancarlo Stanton",0,"MIA","OF","SDP",0
"Christian Yelich",0,"MIA","OF","SDP",0
"Martin Prado",0,"MIA","3B","SDP",0
"Justin Bour",0,"MIA","1B","SDP",0
"Marcell Ozuna",0,"MIA","OF","SDP",0
"Adam Conley",0,"MIA","SP","SDP",0
"Miguel Rojas",0,"MIA","SS","SDP",0
"J.T. Realmuto",0,"MIA","C","SDP",0
"Dee Gordon",0,"MIA","2B","SDP",0
"Adam Conley",0,"MIA","SP","SDP",0
"Ryan Schimpf",0,"SDP","3B","MIA",0
"Hunter Renfroe",0,"SDP","OF","MIA",0
"Yangervis Solarte",0,"SDP","2B","MIA",0
"Austin Hedges",0,"SDP","C","MIA",0
"Luis Sardinas",0,"SDP","SS","MIA",0
"Travis Jankowski",0,"SDP","OF","MIA",0
"Trevor Cahill",0,"SDP","SP","MIA",0
"Mike Trout",0,"LAA","OF","TOR",0
"Kole Calhoun",0,"LAA","OF","TOR",0
"Chase Utley",0,"LAD","2B","ARI",0
"Yasiel Puig",0,"LAD","OF","ARI",0
"Joc Pederson",0,"LAD","OF","ARI",0
"Alex Wood",0,"LAD","RP","ARI",0
"Sean Manaea",0,"OAK","SP","SEA",0
"Jed Lowrie",0,"OAK","2B","SEA",0
"Matt Joyce",0,"OAK","OF","SEA",0
"Rajai Davis",0,"OAK","OF","SEA",0
"Yasmani Grandal",0,"LAD","C","ARI",0
"Adrian Gonzalez",0,"LAD","1B","ARI",0
"Taijuan Walker",0,"ARI","SP","LAD",0
"Chris Iannetta",0,"ARI","C","LAD",0
"David Peralta",0,"ARI","OF","LAD",0
"Alex Wood",0,"LAD","RP","ARI",0
"Andrew Toles",0,"LAD","OF","ARI",0
"Justin Turner",0,"LAD","3B","ARI",0
"Corey Seager",0,"LAD","SS","ARI",0
