"Name","Salary","Team","Position","OppTeam","Projections"
"Anthony Rizzo",4800,"CHC","1B","SFG",6.38
"Kyle Schwarber",4300,"CHC","OF","SFG",7.58
"Kris Bryant",5100,"CHC","3B","SFG",10.45
"Ben Zobrist",3900,"CHC","2B/OF","SFG",8.39
"Matt Adams",3300,"ATL","OF","PIT",5.05
"David Freese",3200,"PIT","3B","ATL",5.85
"Josh Harrison",4000,"PIT","2B/3B","ATL",6.78
"Jordy Mercer",2700,"PIT","SS","ATL",5.3
"Adam Frazier",3700,"PIT","2B/OF","ATL",7.31
"John Jaso",3000,"PIT","1B/OF","ATL",5.92
"Addison Russell",3700,"CHC","SS","SFG",7.35
"Willson Contreras",3600,"CHC","C","SFG",7.49
"Nick Hundley",2800,"SFG","C","CHC",4.76
"Eduardo Nunez",3900,"SFG","3B/OF","CHC",5.89
"Joe Panik",2800,"SFG","2B","CHC",6.98
"Denard Span",3400,"SFG","OF","CHC",7.3
"Brandon Belt",4000,"SFG","1B/OF","CHC",7.18
"Jason Heyward",3300,"CHC","OF","SFG",5.89
"Jon Jay",3100,"CHC","OF","SFG",5.29
"Javier Baez",4000,"CHC","2B/SS","SFG",7.27
"Ian Happ",3900,"CHC","2B","SFG",7.72
"Francisco Cervelli",3200,"PIT","C","ATL",5.19
"Josh Bell",4200,"PIT","1B","ATL",7.42
"Daniel Robertson",2800,"TBR","3B/SS","LAA",5.3
"Steve Souza",3600,"TBR","OF","LAA",7.07
"Jesus Sucre",2700,"TBR","C","LAA",5.46
"Dansby Swanson",3600,"ATL","SS","PIT",5.17
"Rickie Weeks",2900,"TBR","1B","LAA",5.66
"Tim Beckham",3300,"TBR","SS","LAA",5.74
"Kevin Kiermaier",3700,"TBR","OF","LAA",5.97
"Evan Longoria",4100,"TBR","3B","LAA",7.62
"Logan Morrison",4100,"TBR","1B","LAA",6.93
"Derek Norris",2900,"TBR","C","LAA",4.98
"Nick Markakis",3600,"ATL","OF","PIT",6.31
"Brandon Phillips",3900,"ATL","2B","PIT",5.36
"Danny Santana",2900,"ATL","2B/OF","PIT",4.41
"Rio Ruiz",2700,"ATL","3B","PIT",4.71
"Jose Osuna",2900,"PIT","OF","ATL",5.74
"Andrew McCutchen",4200,"PIT","OF","ATL",7.45
"Jace Peterson",2900,"ATL","2B/OF","PIT",5.57
"Kurt Suzuki",3000,"ATL","C","PIT",4.41
"Tyler Flowers",3500,"ATL","C","PIT",5.32
"Matt Kemp",4400,"ATL","OF","PIT",6.68
"Ender Inciarte",4000,"ATL","OF","PIT",6.12
"Buster Posey",4200,"SFG","1B/C","CHC",7.21
"Christian Arroyo",3000,"SFG","3B/SS","CHC",5.83
"Chris Herrmann",3500,"ARI","C/OF","CHW",6.75
"Chris Owings",4500,"ARI","OF/SS","CHW",7.19
"Jeff Mathis",2300,"ARI","C","CHW",5.58
"Nick Ahmed",3400,"ARI","SS","CHW",5.43
"Yasmany Tomas",4200,"ARI","OF","CHW",7.59
"Brandon Drury",4000,"ARI","2B","CHW",6.69
"Victor Martinez",3700,"DET","1B","HOU",6.2
"David Peralta",4500,"ARI","OF","CHW",10.22
"Paul Goldschmidt",5500,"ARI","1B","CHW",10.46
"Jake Lamb",5600,"ARI","3B","CHW",10.51
"Gregor Blanco",3000,"ARI","OF","CHW",7.54
"Avisail Garcia",4400,"CHW","OF","ARI",6.76
"Tyler Saladino",3100,"CHW","2B/SS","ARI",5.62
"Matt Davidson",3600,"CHW","1B/3B","ARI",5.62
"Carlos Sanchez",3200,"CHW","2B","ARI",4.8
"Timothy Anderson",4200,"CHW","SS","ARI",5.4
"Omar Narvaez",2400,"CHW","C","ARI",5.04
"Leury Garcia",3400,"CHW","OF","ARI",5.43
"Jose Abreu",4500,"CHW","1B","ARI",6.76
"Todd Frazier",3900,"CHW","3B","ARI",7.07
"Melky Cabrera",3600,"CHW","OF","ARI",6.78
"Miguel Cabrera",4700,"DET","1B","HOU",8.88
