"Name","Salary","Team","Position","OppTeam","Projections"
"Tanner Roark",6100,"WAS","SP","ARI",16.38
"Anthony Banda",0,"ARI","SP","WAS",11.78
"Jason Vargas",8800,"KCR","SP","CHW",19.23
"Mike Pelfrey",5200,"CHW","SP","KCR",11.28
"Chris O'Grady",4600,"MIA","SP","CIN",11.26
"Robert Stephenson",6900,"CIN","SP","MIA",13.3
"Chad Kuhl",5600,"PIT","SP","COL",8.35
"German Marquez",7600,"COL","SP","PIT",8.5
"Julio Teheran",8400,"ATL","SP","LAD",17.14
"Rich Hill",11900,"LAD","SP","ATL",26.21
"Ariel Miranda",5000,"SEA","SP","NYY",15.95
"Masahiro Tanaka",8500,"NYY","SP","SEA",20.1
"David Price",9600,"BOS","SP","LAA",21.96
"J.C. Ramirez",5700,"LAA","SP","BOS",15.21
"Chris Archer",11700,"TBR","SP","TEX",24.17
"Andrew Cashner",6100,"TEX","SP","TBR",11.87
"Collin McHugh",8000,"HOU","SP","BAL",15.98
"Brent Suter",6200,"MIL","SP","PHI",13.76
"Chris Tillman",5100,"BAL","SP","HOU",12.6
"Jon Lester",12200,"CHC","SP","STL",19.85
"Matt Moore",7200,"SFG","SP","SDP",19.93
"Adam Wainwright",9200,"STL","SP","CHC",15.51
"Jeremy Hellickson",5800,"PHI","SP","MIL",13.92
"Sean Manaea",6000,"OAK","SP","NYM",18.01
"Jordan Zimmermann",5500,"DET","SP","MIN",10.35
"Kyle Gibson",4500,"MIN","SP","DET",10.33
"Danny Salazar",9700,"CLE","SP","TOR",23.34
"Marcus Stroman",8900,"TOR","SP","CLE",20.87
"Zack Wheeler",6900,"NYM","SP","OAK",18.05
"Luis Perdomo",6500,"SDP","SP","SFG",13.07
