"Name","Salary","Team","Position","OppTeam","Projections"
"Daniel Norris",7400,"DET","SP","OAK",14.62
"Sonny Gray",7400,"OAK","SP","DET",16.1
"Matt Shoemaker",8600,"LAA","SP","HOU",19.22
"Michael Fiers",7200,"HOU","SP","LAA",18.7
"Taijuan Walker",5200,"ARI","SP","COL",8.79
"Tyler Chatwood",5400,"COL","SP","ARI",9.36
"Andrew Cashner",6100,"TEX","SP","SEA",11.16
"Dillon Overton",4800,"SEA","SP","TEX",11.38
"Luis Severino",6100,"NYY","SP","CHC",18.8
"Jon Lester",11300,"CHC","SP","NYY",20.94
"Trevor Cahill",4100,"SDP","SP","LAD",19.51
"Brandon McCarthy",9400,"LAD","SP","SDP",20.85
"Johnny Cueto",9900,"SFG","SP","CIN",24.13
"Scott Feldman",5700,"CIN","SP","SFG",13.34
"Jeremy Hellickson",7400,"PHI","SP","WAS",17.87
"Tanner Roark",8200,"WAS","SP","PHI",18.27
"Chris Tillman",6400,"BAL","SP","CHW",13.76
"Zach Davies",7400,"MIL","SP","PIT",12.42
"Jose Quintana",7700,"CHW","SP","BAL",20.07
"Joseph Biagini",0,"TOR","SP","TBR",11.05
"Matt Harvey",7900,"NYM","SP","MIA",17.87
"Alex Cobb",8000,"TBR","SP","TOR",17.34
"Tyler Glasnow",7500,"PIT","SP","MIL",15.59
"Michael Wacha",6900,"STL","SP","ATL",20.31
"Michael Clevinger",5200,"CLE","SP","KCR",12.98
"Danny Duffy",9400,"KCR","SP","CLE",18.31
"Ervin Santana",7900,"MIN","SP","BOS",22.22
"Chris Sale",12900,"BOS","SP","MIN",28.9
"R.A. Dickey",6200,"ATL","SP","STL",12.52
"Jose Urena",4500,"MIA","SP","NYM",9.95
