Week,Fpts.Cash,Fpts.Win
1,134.50,228.42
2,138.62,222.14
3,144.72,232.26
4,143.52,215.28
5,149.70,239.94
6,152.70,250.80
7,171.92,231.72
8,124.20,206.72
9,141.98,217.12
10,,
11,139.34,219.90
12,,
13,,
14,,
15,,
