"Week","Min","Max"
"1","139.82","245.92"
"2","141.20","230.12"
"3","148.04","247.20"
"4","143.64","245.12"
"5","154.24","247.36"
"6","147.24","254.40"
"7","162.44","238.64"
"8","136.50","231.32"
"9","143.84","225.32"
"10","157.94","220.70"
"11","137.30","223.10"
"12","149.80","234.34"
"13","147.24","236.14"
"14","138.40","233.86"
"15","136.84","240.12"
