"Week","Min","Max"
"1","146.42","250.52"
"2","142.6","238.12"
"3","144.3","248.2"
"4","142.3","243.02"
"5","151.56","254.5"
"6","142.72","252.64"
"7","161.28","246.52"
"8","133.02","231.32"
"9","143.26","231.48"
"10","152.14","242.9"
"11","136.9","221.3"
"12","128.74","234.34"
"13","145.14","218.94"
"14","134.6","243.24"
"15","134.34","233.26"
