QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Drew Brees (7988774),Todd Gurley (7988944),Spencer Ware (7988967),Amari Cooper (7989085),Michael Thomas (7989003),Davante Adams (7989034),Greg Olsen (7989208),Anquan Boldin (7989147),Patriots  (7989682)
Matt Ryan (7988807),Spencer Ware (7988967),Dion Lewis (7988873),Julio Jones (7989069),Michael Crabtree (7989079),Davante Adams (7989034),Greg Olsen (7989208),Pierre Garcon (7989057),Patriots  (7989682)
Matt Ryan (7988807),Todd Gurley (7988944),Frank Gore (7988920),Julio Jones (7989069),Michael Thomas (7989003),Davante Adams (7989034),Eric Ebron (7989263),Allen Robinson (7989028),Patriots  (7989682)
Blake Bortles (7988786),Le'Veon Bell (7988957),Isaiah Crowell (7988899),Amari Cooper (7989085),Michael Crabtree (7989079),Davante Adams (7989034),Greg Olsen (7989208),Allen Robinson (7989028),Patriots  (7989682)
Matthew Stafford (7988847),Le'Veon Bell (7988957),Lamar Miller (7988948),Michael Crabtree (7989079),Michael Thomas (7989003),Davante Adams (7989034),Eric Ebron (7989263),Anquan Boldin (7989147),Patriots  (7989682)
Matt Ryan (7988807),Todd Gurley (7988944),Mark Ingram (7988862),Julio Jones (7989069),Amari Cooper (7989085),Davante Adams (7989034),Greg Olsen (7989208),Corey Coleman (7989051),Cowboys  (7989706)
Kirk Cousins (7988802),Todd Gurley (7988944),Jordan Howard (7988911),Amari Cooper (7989085),Michael Crabtree (7989079),Davante Adams (7989034),Eric Ebron (7989263),Pierre Garcon (7989057),Patriots  (7989682)
Matt Barkley (7988803),Le'Veon Bell (7988957),Spencer Ware (7988967),Michael Crabtree (7989079),Michael Thomas (7989003),Davante Adams (7989034),Greg Olsen (7989208),Cameron Meredith (7989061),Cowboys  (7989706)
Blake Bortles (7988786),Le'Veon Bell (7988957),Todd Gurley (7988944),Michael Thomas (7989003),Tyrell Williams (7989049),Davante Adams (7989034),Greg Olsen (7989208),Marqise Lee (7989026),Saints  (7989680)
Matt Ryan (7988807),Jordan Howard (7988911),Lamar Miller (7988948),Julio Jones (7989069),Amari Cooper (7989085),Davante Adams (7989034),Coby Fleener (7989170),Anquan Boldin (7989147),Patriots  (7989682)
Aaron Rodgers (7988790),Todd Gurley (7988944),Frank Gore (7988920),Antonio Brown (7989126),Michael Crabtree (7989079),Davante Adams (7989034),Greg Olsen (7989208),Jeremy Kerley (7989103),Patriots  (7989682)
Aaron Rodgers (7988790),Le'Veon Bell (7988957),Mark Ingram (7988862),Amari Cooper (7989085),Michael Thomas (7989003),Davante Adams (7989034),Coby Fleener (7989170),Pierre Garcon (7989057),Patriots  (7989682)
Colin Kaepernick (7988821),Le'Veon Bell (7988957),Todd Gurley (7988944),Amari Cooper (7989085),Michael Thomas (7989003),Davante Adams (7989034),Eric Ebron (7989263),Jeremy Kerley (7989103),Chargers  (7989689)
Matt Ryan (7988807),Todd Gurley (7988944),Spencer Ware (7988967),Julio Jones (7989069),Amari Cooper (7989085),Michael Crabtree (7989079),Eric Ebron (7989263),Anquan Boldin (7989147),Saints  (7989680)
Matt Ryan (7988807),Le'Veon Bell (7988957),Frank Gore (7988920),Julio Jones (7989069),Michael Crabtree (7989079),Davante Adams (7989034),Coby Fleener (7989170),Jeremy Kerley (7989103),Saints  (7989680)
Matt Ryan (7988807),DeMarco Murray (7988878),Isaiah Crowell (7988899),Julio Jones (7989069),Michael Thomas (7989003),Davante Adams (7989034),Greg Olsen (7989208),Anquan Boldin (7989147),Raiders  (7989695)
Matthew Stafford (7988847),Ezekiel Elliott (7988981),Jordan Howard (7988911),Amari Cooper (7989085),Michael Crabtree (7989079),Davante Adams (7989034),Greg Olsen (7989208),Anquan Boldin (7989147),Saints  (7989680)
Drew Brees (7988774),Le'Veon Bell (7988957),Todd Gurley (7988944),Michael Crabtree (7989079),Michael Thomas (7989003),Davante Adams (7989034),Jermaine Gresham (7989221),Corey Coleman (7989051),Raiders  (7989695)
Drew Brees (7988774),Le'Veon Bell (7988957),Frank Gore (7988920),Amari Cooper (7989085),Michael Thomas (7989003),Davante Adams (7989034),Dennis Pitta (7989242),Allen Robinson (7989028),Cowboys  (7989706)
Drew Brees (7988774),DeMarco Murray (7988878),Frank Gore (7988920),Michael Crabtree (7989079),Michael Thomas (7989003),Davante Adams (7989034),Greg Olsen (7989208),Pierre Garcon (7989057),Dolphins  (7989679)
